# surftimeconst,average_velocity_axis_0_t_inf__params_8o0,average_velocity_axis_0_t_inf__params_4o0,average_velocity_axis_0_t_inf__params_1o0
0.000000000000000000e+00,5.384809990204848518e-01,2.539605211530617801e-01,6.362816330696996481e-02
1.224489795918367319e-01,5.540572097602642909e-01,2.685978542886753306e-01,6.739237077406871890e-02
2.448979591836734637e-01,5.684479760333326359e-01,2.823090678791984054e-01,7.104539299484823045e-02
3.673469387755101678e-01,5.816948379710878969e-01,2.951212133055172160e-01,7.458703419649949373e-02
4.897959183673469274e-01,5.938393357049275290e-01,3.070613419485176965e-01,7.801709860621353076e-02
6.122448979591836871e-01,6.049230093662500973e-01,3.181565051890859475e-01,8.133539045118130806e-02
7.346938775510203357e-01,6.149873990864528350e-01,3.284337544081081806e-01,8.454171395859386151e-02
8.571428571428570953e-01,6.240740449969337522e-01,3.379201409864702188e-01,8.763587335564218539e-02
9.795918367346938549e-01,6.322244872290909701e-01,3.466427163050582738e-01,9.061767286951727396e-02
1.102040816326530503e+00,6.394802659143219437e-01,3.546285317447583907e-01,9.348691672741012149e-02
1.224489795918367374e+00,6.458829211840250162e-01,3.619046386864566700e-01,9.624340915651176387e-02
1.346938775510204023e+00,6.514739931695976427e-01,3.684980885110391569e-01,9.888695438401316762e-02
1.469387755102040671e+00,6.562950220024377224e-01,3.744359325993918963e-01,1.014173566371053270e-01
1.591836734693877542e+00,6.603875478139432653e-01,3.797452223324009335e-01,1.038344201429792918e-01
1.714285714285714191e+00,6.637931107355120597e-01,3.844530090909523135e-01,1.061379491288260007e-01
1.836734693877551061e+00,6.665532508985420046e-01,3.885863442559323033e-01,1.083277478218365175e-01
1.959183673469387710e+00,6.687095084344309992e-01,3.921722792082267817e-01,1.104036204492017947e-01
2.081632653061224580e+00,6.703034234745766096e-01,3.952378653287217936e-01,1.123653712381128544e-01
2.204081632653061007e+00,6.713765361503770679e-01,3.978101539983036616e-01,1.142128044157606909e-01
2.326530612244897878e+00,6.719703865932300513e-01,3.999161965978581534e-01,1.159457242093363261e-01
2.448979591836734748e+00,6.721265149345335699e-01,4.015830445082714806e-01,1.175639348460307404e-01
2.571428571428571175e+00,6.718864613056851898e-01,4.028377491104296881e-01,1.190672405530349420e-01
2.693877551020408045e+00,6.712917658380830321e-01,4.037073617852188767e-01,1.204554455575399391e-01
2.816326530612244916e+00,6.703839686631247741e-01,4.042189339135250359e-01,1.217283540867367259e-01
2.938775510204081343e+00,6.692046099122084257e-01,4.043995168762342662e-01,1.228857703678162827e-01
3.061224489795918213e+00,6.677952297167318862e-01,4.042761620542326684e-01,1.239274986279696594e-01
3.183673469387755084e+00,6.661973682080928327e-01,4.038759208284062874e-01,1.248533430943878364e-01
3.306122448979591955e+00,6.644525655176890533e-01,4.032258445796411683e-01,1.256631079942618079e-01
3.428571428571428381e+00,6.626023617769187801e-01,4.023529846888234118e-01,1.263565975547825404e-01
3.551020408163265252e+00,6.606882971171795793e-01,4.012843925368391185e-01,1.269336160031410976e-01
3.673469387755102122e+00,6.587519116698693500e-01,4.000471195045742778e-01,1.273939675665284599e-01
3.795918367346938549e+00,6.568347455663861023e-01,3.986682169729152125e-01,1.277374564721356354e-01
3.918367346938775420e+00,6.549783389381275134e-01,3.971747363227474681e-01,1.279638869471535767e-01
4.040816326530611846e+00,6.532242319164913713e-01,3.955937289349575336e-01,1.280730632187733475e-01
4.163265306122449161e+00,6.516139646328755752e-01,3.939522461904313433e-01,1.280647895141859283e-01
4.285714285714285587e+00,6.501890772186784684e-01,3.922773394700551641e-01,1.279388700605823270e-01
4.408163265306122014e+00,6.489911098052971727e-01,3.905960601547146527e-01,1.276951090851534965e-01
4.530612244897959329e+00,6.480616025241301426e-01,3.889354596252962981e-01,1.273333108150905557e-01
4.653061224489795755e+00,6.474420955065749439e-01,3.873225892626858125e-01,1.268532794775843464e-01
4.775510204081632182e+00,6.471741288840293649e-01,3.857845004477695183e-01,1.262548192998260155e-01
4.897959183673469497e+00,6.472992427878914157e-01,3.843482445614334608e-01,1.255377345090064600e-01
5.020408163265305923e+00,6.478589773495588844e-01,3.830408729845635185e-01,1.247018293323167160e-01
5.142857142857142350e+00,6.488948727004297812e-01,3.818894370980459585e-01,1.237469079969478331e-01
5.265306122448979664e+00,6.504484689719018942e-01,3.809209882827668814e-01,1.226727747300907362e-01
5.387755102040816091e+00,6.525613062953727894e-01,3.801625779196120547e-01,1.214792337589364751e-01
5.510204081632652517e+00,6.552749248022404771e-01,3.796412573894677456e-01,1.201660893106760442e-01
5.632653061224489832e+00,6.586308646239033004e-01,3.793840780732202767e-01,1.187331456125004236e-01
5.755102040816326259e+00,6.626706658917587145e-01,3.794180913517552489e-01,1.171802068916006356e-01
5.877551020408162685e+00,6.674358687372042853e-01,3.797703486059590405e-01,1.155070773751677160e-01
6.000000000000000000e+00,6.729680132916384672e-01,3.804679012167174745e-01,1.137135612903925619e-01
