# averaged_norm_measured_gradient_derivative,95CLI,correlation_time,95CLI,vs,surftimeconst
3.402089592809779788e+02,3.857351407711094637e+00,8.413169374016005175e-02,3.821665772757802649e-04,1.000000000000000000e+00,0.000000000000000000e+00
7.551840643195258735e+02,3.983331277365471834e+01,3.599526016575818610e-02,6.137326280752988805e-04,8.000000000000000000e+00,0.000000000000000000e+00
4.586935721974448370e+02,1.572068758194989258e+01,5.811585622243266303e-02,7.853882705568773943e-04,4.000000000000000000e+00,0.000000000000000000e+00
3.368536495403830031e+02,3.738751103416930288e+00,8.282133871271230019e-02,3.728094778979264062e-04,1.000000000000000000e+00,5.000000000000000000e-01
7.454285776735825948e+02,3.963390048284431089e+01,3.425399238151157627e-02,6.714542084329615766e-04,8.000000000000000000e+00,5.000000000000000000e-01
4.634991312031564235e+02,1.505305359511542029e+01,5.559088609809600956e-02,7.855924116748285542e-04,4.000000000000000000e+00,5.000000000000000000e-01
3.368567822862158891e+02,3.871382078086259337e+00,8.220240739858947210e-02,3.747149234978159834e-04,1.000000000000000000e+00,1.000000000000000000e+00
7.657943530163787500e+02,3.475525917969484624e+01,3.333027993896337665e-02,6.838611168074080560e-04,8.000000000000000000e+00,1.000000000000000000e+00
4.718261647089549342e+02,1.593884321187788977e+01,5.310866627612530200e-02,6.871308813359663275e-04,4.000000000000000000e+00,1.000000000000000000e+00
4.517977238271287206e+02,1.473801418233620097e+01,5.337668755960756073e-02,6.858617512421872307e-04,4.000000000000000000e+00,1.500000000000000000e+00
3.366596150241808800e+02,3.763678165344357396e+00,8.160427564348676777e-02,3.661454563827251348e-04,1.000000000000000000e+00,1.500000000000000000e+00
6.969001384447809642e+02,3.295593072384558297e+01,3.454627380264299608e-02,6.734980655633953381e-04,8.000000000000000000e+00,1.500000000000000000e+00
4.679250205168451657e+02,1.479728364783159478e+01,5.227698537147951185e-02,6.518097503690409300e-04,4.000000000000000000e+00,2.000000000000000000e+00
7.242155285019092616e+02,3.797424606600734620e+01,3.419089120031059553e-02,7.856020509295935953e-04,8.000000000000000000e+00,2.000000000000000000e+00
3.402351994320748645e+02,3.771313801288484147e+00,8.076912534391281207e-02,3.630481536004863722e-04,1.000000000000000000e+00,2.000000000000000000e+00
4.626024100972739461e+02,1.534131508529404897e+01,5.238899224078631678e-02,6.640700149273573135e-04,4.000000000000000000e+00,2.500000000000000000e+00
3.393007756316774817e+02,3.898385369644268739e+00,8.064325248016868120e-02,3.628814224853426198e-04,1.000000000000000000e+00,2.500000000000000000e+00
7.021732460710763917e+02,3.416289557805111343e+01,3.482367900831423446e-02,6.344000021042507176e-04,8.000000000000000000e+00,2.500000000000000000e+00
4.667600369508371614e+02,1.572735725074971747e+01,5.248611154014498625e-02,6.720972376944834258e-04,4.000000000000000000e+00,3.000000000000000000e+00
3.361873629692524901e+02,3.813767442959584919e+00,8.030658644981708560e-02,3.537590222301020761e-04,1.000000000000000000e+00,3.000000000000000000e+00
6.993881904803063208e+02,3.776328713342378762e+01,3.478244760423222781e-02,6.149769282492386930e-04,8.000000000000000000e+00,3.000000000000000000e+00
4.683249599420660161e+02,1.442785243452069999e+01,5.250579839818494965e-02,6.348882122049469843e-04,4.000000000000000000e+00,4.000000000000000000e+00
3.372716542445034520e+02,3.819414111937065481e+00,8.023343180204178804e-02,3.481430339250100219e-04,1.000000000000000000e+00,4.000000000000000000e+00
7.105860149067761995e+02,3.136257024226123846e+01,3.511591022649608596e-02,7.059405173669333188e-04,8.000000000000000000e+00,4.000000000000000000e+00
4.568477593580220741e+02,1.569179408128708708e+01,5.376812228040901698e-02,6.575225723629198743e-04,4.000000000000000000e+00,5.000000000000000000e+00
6.829542570111623263e+02,3.524252328306103266e+01,3.570069436320558176e-02,6.464582714659681227e-04,8.000000000000000000e+00,5.000000000000000000e+00
3.385026591941733614e+02,3.829134768986122594e+00,8.034066734426277556e-02,3.447214547517911637e-04,1.000000000000000000e+00,5.000000000000000000e+00
6.879607269286730116e+02,3.132606301063619014e+01,3.595245030176034973e-02,5.921548492457117405e-04,8.000000000000000000e+00,6.000000000000000000e+00
4.630289809154982663e+02,1.615848855514895988e+01,5.356993777016783032e-02,7.001257849474198979e-04,4.000000000000000000e+00,6.000000000000000000e+00
3.411518446821132784e+02,3.869790618880393662e+00,8.025418839273659732e-02,3.425048031445052056e-04,1.000000000000000000e+00,6.000000000000000000e+00
