# value,p_u_x,p_u_y,p_u_z
-8.268750000000000266e-01,3.428352848920714901e-01,4.501322604662804650e-01,3.475537980324640563e-01
-8.006249999999999201e-01,3.588991954609193624e-01,4.664078908857937633e-01,3.610400174262019535e-01
-7.743750000000000355e-01,3.733688891929004550e-01,4.719720490032279225e-01,3.829218673764703817e-01
-7.481249999999999289e-01,3.907668052008265169e-01,4.808816201175121208e-01,4.067042979121856527e-01
-7.218750000000000444e-01,4.043942425872964486e-01,5.012315737010024641e-01,4.129136518319034832e-01
-6.956249999999999378e-01,4.219570350870136544e-01,5.170020144510840687e-01,4.267288031041442942e-01
-6.693750000000000533e-01,4.400305442209208051e-01,5.211485087982841158e-01,4.460184258862087692e-01
-6.431249999999999467e-01,4.574087615200243540e-01,5.273625253119403888e-01,4.557812681181426240e-01
-6.168750000000000622e-01,4.735957131941254117e-01,5.495787440360868636e-01,4.704202267482180400e-01
-5.906249999999999556e-01,4.845481838398420504e-01,5.620688250265230002e-01,4.979104108262945583e-01
-5.643749999999999600e-01,4.995435394086454317e-01,5.748534951316423003e-01,5.106755409484102781e-01
-5.381249999999999645e-01,5.228223828093858661e-01,5.898745292628132519e-01,5.334473440698684898e-01
-5.118749999999999689e-01,5.388125664436860252e-01,5.968538202791739966e-01,5.508188077209419387e-01
-4.856249999999999734e-01,5.542201383982284790e-01,6.059237502698802125e-01,5.671654974777148306e-01
-4.593749999999999778e-01,5.681913135357249400e-01,6.168999317879949595e-01,5.788890582358823256e-01
-4.331249999999999822e-01,5.794155651872407997e-01,6.330074164642495171e-01,5.974489202114130482e-01
-4.068749999999999867e-01,5.976419617572225063e-01,6.463913916253363201e-01,6.089551928701767425e-01
-3.806249999999999911e-01,6.240179853426869316e-01,6.604469918334835432e-01,6.187740471054522517e-01
-3.543749999999999956e-01,6.406484570908969056e-01,6.661126644681517606e-01,6.298931070170668001e-01
-3.281250000000000000e-01,6.491166517254384205e-01,6.694709824766160722e-01,6.380438977128252143e-01
-3.018749999999999489e-01,6.567447307299840720e-01,6.696551411689737332e-01,6.564459194002788545e-01
-2.756249999999999534e-01,6.615024228255885763e-01,6.768785424751982971e-01,6.704387858340669082e-01
-2.493749999999999578e-01,6.743771139452238161e-01,6.866896803008288863e-01,6.817524367941505403e-01
-2.231249999999999623e-01,6.750079125184584861e-01,6.893302257179546588e-01,6.873095113442577730e-01
-1.968749999999999667e-01,6.905520848416035751e-01,6.954137958921282614e-01,7.031510209384547183e-01
-1.706249999999999711e-01,7.111426621670292603e-01,7.129313204550993266e-01,7.116704565287088613e-01
-1.443749999999999756e-01,7.242024461171281402e-01,7.141818425851611529e-01,7.145727194019282358e-01
-1.181249999999999800e-01,7.231122356309205301e-01,7.004752205126499875e-01,7.192213485921733485e-01
-9.187499999999998446e-02,7.438604850714262140e-01,6.983149052098641674e-01,7.309351472016297757e-01
-6.562499999999998890e-02,7.507861469331280624e-01,7.041771003164442044e-01,7.253697254714972509e-01
-3.937499999999999334e-02,7.372372730077556557e-01,7.016512682127993283e-01,7.370967491412562245e-01
-1.312499999999999778e-02,7.491495560136258725e-01,7.084192473604142837e-01,7.313405316435886983e-01
1.312499999999999778e-02,7.505055769822643885e-01,7.044353968836912783e-01,7.261012677344644839e-01
