# value,p_norm_ratio
3.906250000000000000e-02,6.794919765317038174e-02
1.171875000000000000e-01,3.102011902074474081e-01
1.953125000000000000e-01,5.351930992986642099e-01
2.734375000000000000e-01,6.934607211159857787e-01
3.515625000000000000e-01,8.082953132779738814e-01
4.296875000000000000e-01,8.767491581303479276e-01
5.078125000000000000e-01,8.914756318022545312e-01
5.859375000000000000e-01,8.793435535028489847e-01
6.640625000000000000e-01,8.407778015749138856e-01
7.421875000000000000e-01,7.962146879599961702e-01
8.203125000000000000e-01,7.396400663220087379e-01
8.984375000000000000e-01,6.662478809663161528e-01
9.765625000000000000e-01,5.964700919426724202e-01
1.054687500000000000e+00,5.262820851974076009e-01
1.132812500000000000e+00,4.606657734399202120e-01
1.210937500000000000e+00,4.003800725967007201e-01
1.289062500000000000e+00,3.478110637680842387e-01
1.367187500000000000e+00,3.012282523836032899e-01
1.445312500000000000e+00,2.607436988290480206e-01
1.523437500000000000e+00,2.244675884157759371e-01
1.601562500000000000e+00,1.941361681449878807e-01
1.679687500000000000e+00,1.675075148820832360e-01
1.757812500000000000e+00,1.454061245513206535e-01
1.835937500000000000e+00,1.263901896704874017e-01
1.914062500000000000e+00,1.102053635777690832e-01
1.992187500000000000e+00,9.588814316470722909e-02
2.070312500000000000e+00,8.385714609940594921e-02
2.148437500000000000e+00,7.371462078556129116e-02
2.226562500000000000e+00,6.420941151588774320e-02
2.304687500000000000e+00,5.643956157540710311e-02
2.382812500000000000e+00,4.999335359587732397e-02
2.460937500000000000e+00,4.393537591062508102e-02
2.539062500000000000e+00,3.928264609141686459e-02
2.617187500000000000e+00,3.493116045091460009e-02
2.695312500000000000e+00,3.074883723676733252e-02
2.773437500000000000e+00,2.736797999362687236e-02
2.851562500000000000e+00,2.429393468324882871e-02
2.929687500000000000e+00,2.149579261602364844e-02
3.007812500000000000e+00,1.920405185602529208e-02
3.085937500000000000e+00,1.719389005635687390e-02
3.164062500000000000e+00,1.540555905667934447e-02
3.242187500000000000e+00,1.384818248052493116e-02
3.320312500000000000e+00,1.240917901221041258e-02
3.398437500000000000e+00,1.136300031533808881e-02
3.476562500000000000e+00,1.030234117256648499e-02
3.554687500000000000e+00,9.263590513079150712e-03
3.632812500000000000e+00,8.218011822880861433e-03
3.710937500000000000e+00,7.627179021787169715e-03
3.789062500000000000e+00,7.005225808116022357e-03
3.867187500000000000e+00,6.285879088040955895e-03
3.945312500000000000e+00,5.949429309738872573e-03
4.023437500000000000e+00,5.262281429735345128e-03
4.101562500000000000e+00,4.774980079568938093e-03
4.179687500000000000e+00,4.383301659877111324e-03
4.257812500000000000e+00,4.030639549560695485e-03
4.335937500000000000e+00,3.699254985402176000e-03
4.414062500000000000e+00,3.319011541455919780e-03
4.492187500000000000e+00,3.141737971596507157e-03
4.570312500000000000e+00,2.812240102746379252e-03
4.648437500000000000e+00,2.590413250847447158e-03
4.726562500000000000e+00,2.384315106081831819e-03
4.804687500000000000e+00,2.210129613695140192e-03
4.882812500000000000e+00,2.055345184923498044e-03
4.960937500000000000e+00,1.860577079905063880e-03
