# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.439999999999999725e-01,2.975777502725290846e-01,7.454690046724748997e-02
6.899999999999999467e-01,2.939392493206522405e-01,7.179313253497501823e-02
1.034000000000000030e+00,2.995460476607834099e-01,6.985568922521012691e-02
1.377999999999999892e+00,2.983354385885341742e-01,6.661586170579181232e-02
1.723999999999999977e+00,2.917447297346287827e-01,6.469438319873532794e-02
2.068000000000000060e+00,2.825157874455995755e-01,6.358801613847187006e-02
2.411999999999999922e+00,2.741963052575663307e-01,6.268069659868720500e-02
2.758000000000000007e+00,2.646513678956671223e-01,6.138908335172780367e-02
3.101999999999999869e+00,2.567179591795615834e-01,6.017044968140661948e-02
3.446000000000000174e+00,2.505432045306151823e-01,5.897774144213844411e-02
3.791999999999999815e+00,2.471045622362869065e-01,5.803044549368539112e-02
4.136000000000000121e+00,2.442392313678674598e-01,5.685225225721667747e-02
4.482000000000000206e+00,2.391945176539491125e-01,5.585199628509253389e-02
4.828000000000000291e+00,2.355973261443661815e-01,5.516341872431736182e-02
5.171999999999999709e+00,2.348828766978441895e-01,5.449538682016490804e-02
5.517999999999999794e+00,2.329717295951885259e-01,5.346047156944388340e-02
5.862000000000000099e+00,2.308398117643295500e-01,5.247598086060948491e-02
6.206000000000000405e+00,2.289508590476957983e-01,5.160748222300642896e-02
6.551999999999999602e+00,2.291313035380418417e-01,5.070561530192854022e-02
6.895999999999999908e+00,2.307227310216067584e-01,4.982968563630556236e-02
7.240000000000000213e+00,2.325932282674378349e-01,4.898627371574396788e-02
7.586000000000000298e+00,2.349958568827445193e-01,4.808172450775365786e-02
7.929999999999999716e+00,2.378066746138083332e-01,4.717669383826311735e-02
8.273999999999999133e+00,2.402367077025924502e-01,4.622455702705474678e-02
8.619999999999999218e+00,2.426985838710847276e-01,4.526030217598572825e-02
8.964000000000000412e+00,2.442014145993697261e-01,4.431880602409862813e-02
9.307999999999999829e+00,2.441451779551192525e-01,4.319693128724304276e-02
9.653999999999999915e+00,2.442851817413766169e-01,4.191321856879033636e-02
9.997999999999999332e+00,2.444744804429636043e-01,4.063274595103343739e-02
