# value,p_w
8.984375000000000000e-02,2.878527301269906131e-04
2.695312500000000000e-01,2.116071332600123842e-03
4.492187500000000000e-01,5.545403507512461708e-03
6.289062500000000000e-01,9.219379967456991024e-03
8.085937500000000000e-01,1.568273536634347265e-02
9.882812500000000000e-01,1.928748944411499619e-02
1.167968750000000000e+00,2.680128230261223654e-02
1.347656250000000000e+00,3.360116606483750518e-02
1.527343750000000000e+00,3.859067480875157802e-02
1.707031250000000000e+00,4.622511643276451532e-02
1.886718750000000000e+00,5.271636503605378610e-02
2.066406250000000000e+00,6.000969969387648373e-02
2.246093750000000000e+00,6.431856596437347806e-02
2.425781250000000000e+00,6.916645599789753018e-02
2.605468750000000000e+00,7.591253022128108263e-02
2.785156250000000000e+00,8.114987282439309335e-02
2.964843750000000000e+00,8.436208964615057870e-02
3.144531250000000000e+00,8.764962698078367087e-02
3.324218750000000000e+00,9.050007341836878438e-02
3.503906250000000000e+00,9.358990077262308027e-02
3.683593750000000000e+00,9.618812003011731337e-02
3.863281250000000000e+00,9.735996319703471569e-02
4.042968750000000000e+00,1.004920938877733039e-01
4.222656250000000000e+00,1.051103796864868156e-01
4.402343750000000000e+00,1.054212838672226454e-01
4.582031250000000000e+00,1.103940608483528762e-01
4.761718750000000000e+00,1.090947807093328586e-01
4.941406250000000000e+00,1.113942115696203716e-01
5.121093750000000000e+00,1.113539900797169413e-01
5.300781250000000000e+00,1.123118375728744539e-01
5.480468750000000000e+00,1.134783285683900744e-01
5.660156250000000000e+00,1.132274585663824579e-01
5.839843750000000000e+00,1.130888096651530422e-01
6.019531250000000000e+00,1.125331354716514881e-01
6.199218750000000000e+00,1.134330070315294758e-01
6.378906250000000000e+00,1.142450866171896423e-01
6.558593750000000000e+00,1.154672344655500449e-01
6.738281250000000000e+00,1.127568677876638475e-01
6.917968750000000000e+00,1.129242413752588187e-01
7.097656250000000000e+00,1.126037518517077896e-01
7.277343750000000000e+00,1.121080579756371376e-01
7.457031250000000000e+00,1.106886816601486412e-01
7.636718750000000000e+00,1.100513396427131446e-01
7.816406250000000000e+00,1.092877574354166464e-01
7.996093750000000000e+00,1.084916038166491153e-01
8.175781250000000000e+00,1.099019886190782530e-01
8.355468750000000000e+00,1.065148438240464679e-01
8.535156250000000000e+00,1.056104035046947776e-01
8.714843750000000000e+00,1.066022850437899766e-01
8.894531250000000000e+00,1.056908954380573890e-01
9.074218750000000000e+00,1.042618847773662816e-01
9.253906250000000000e+00,1.037172043861566834e-01
9.433593750000000000e+00,1.016776360058128797e-01
9.613281250000000000e+00,9.775776567008848117e-02
9.792968750000000000e+00,9.727558833797007865e-02
9.972656250000000000e+00,9.687830044615372560e-02
1.015234375000000000e+01,9.708229577137764132e-02
1.033203125000000000e+01,9.391872278177355871e-02
1.051171875000000000e+01,9.290629737812089450e-02
1.069140625000000000e+01,9.179137838619558232e-02
1.087109375000000000e+01,8.977493785787138414e-02
1.105078125000000000e+01,8.902678819256983067e-02
1.123046875000000000e+01,8.784619872852271472e-02
1.141015625000000000e+01,8.674354026219076308e-02
