# value,p_j_0_0,p_j_0_1,p_j_0_2,p_j_1_0,p_j_1_1,p_j_1_2,p_j_2_0,p_j_2_1,p_j_2_2
-1.132031250000000000e+01,1.454463905541294316e-02,6.341414302664246175e-03,6.509215196819666954e-03,1.284962607008689403e-02,5.671523618704374554e-03,8.995327535774411826e-03,1.311081861670284482e-02,9.190959126047427985e-03,5.904075603514808389e-03
-1.096093750000000000e+01,1.592545536207085749e-02,6.755540873344349946e-03,7.091697311726261228e-03,1.414350965041245509e-02,5.882523298483524100e-03,9.784355259140231631e-03,1.372894648664544845e-02,1.006797296553634848e-02,6.434387168644075880e-03
-1.060156250000000000e+01,1.765036276938202267e-02,7.288914584810242403e-03,7.679836170475755688e-03,1.531647866529892849e-02,6.500435064244344807e-03,1.040209495980503815e-02,1.485398479826232319e-02,1.067429879465568547e-02,6.803886819656160961e-03
-1.024218750000000000e+01,1.911123001179193537e-02,8.103562428838221796e-03,8.582681274846706149e-03,1.649912610584746558e-02,6.877203103948601598e-03,1.124643713362949438e-02,1.562824565917466865e-02,1.120209196705383367e-02,7.739209663316383957e-03
-9.882812500000000000e+00,2.025799748924993204e-02,8.800228809531154134e-03,8.934080653837784755e-03,1.753381490438613716e-02,7.812125066907886842e-03,1.221113478812134445e-02,1.657676027328685089e-02,1.258243142875857708e-02,8.505337740749345510e-03
-9.523437500000000000e+00,2.142240623833350718e-02,9.563037533451428790e-03,9.599312370655243079e-03,1.830232011360440059e-02,8.872038967583732380e-03,1.284997210145693777e-02,1.807805265149540000e-02,1.335447393447303753e-02,8.831325485736923886e-03
-9.164062500000000000e+00,2.359836992286672847e-02,1.058903047034971158e-02,9.679176135891613339e-03,1.957900780741661517e-02,9.551945652024666084e-03,1.448420843400364047e-02,1.890121972658732191e-02,1.449112445854112106e-02,9.425308455769321886e-03
-8.804687500000000000e+00,2.582178751939380804e-02,1.145876786059673441e-02,1.062248640854536463e-02,2.092602812718444630e-02,1.041926940601359264e-02,1.541971013036450011e-02,2.010507652683084234e-02,1.571911816734135325e-02,1.044321161050363982e-02
-8.445312500000000000e+00,2.720181445596028813e-02,1.205364628580199958e-02,1.169785271765558070e-02,2.223923534616204303e-02,1.175266868615794554e-02,1.673414602092597112e-02,2.201487067951397522e-02,1.711251308733061083e-02,1.175716833701152819e-02
-8.085937500000000000e+00,2.999646676901001480e-02,1.343124526904317280e-02,1.285054134437196155e-02,2.353781186126959607e-02,1.309331559325629946e-02,1.762030561152634275e-02,2.347879951371684148e-02,1.870516310473327448e-02,1.334231033720400736e-02
-7.726562500000000000e+00,3.241730183739751497e-02,1.429152687400894739e-02,1.352024025911596067e-02,2.474171949628392597e-02,1.417600665955440556e-02,1.939766226696911997e-02,2.575634896388950823e-02,2.027186449561280482e-02,1.390774226590662729e-02
-7.367187500000000000e+00,3.458078559754387826e-02,1.576027236316455971e-02,1.515508103691853674e-02,2.671220660289334164e-02,1.546621992533763271e-02,2.059175548942886180e-02,2.701263519115040812e-02,2.183620473827449851e-02,1.517077955608812923e-02
-7.007812500000000000e+00,3.773197713722176161e-02,1.748801985314674123e-02,1.646301680860425345e-02,2.882642819689731559e-02,1.665473314333573013e-02,2.296483766466504012e-02,2.988758164438514928e-02,2.374485277767594479e-02,1.662298882629796928e-02
-6.648437500000000000e+00,3.999563888070348933e-02,1.899097526036945885e-02,1.822653430374093428e-02,3.106065772288032351e-02,1.837392157795996600e-02,2.583356176332152199e-02,3.214330687604758513e-02,2.707422774297005286e-02,1.889123155226704945e-02
-6.289062500000000000e+00,4.327819697527687803e-02,2.092299670140521789e-02,2.016236662023391732e-02,3.418981387871999900e-02,1.945540224806961357e-02,2.786872407680490021e-02,3.421765189747476288e-02,2.928514277456090859e-02,2.051618291530746263e-02
-5.929687500000000000e+00,4.628663364091369081e-02,2.288267495050608225e-02,2.272634816966620508e-02,3.694905776579609363e-02,2.253035515237649181e-02,3.018233033846195318e-02,3.710771222592017249e-02,3.140751495415961686e-02,2.258979638921544339e-02
-5.570312500000000000e+00,5.078606654079592664e-02,2.557013819465590171e-02,2.472503869870329440e-02,3.880797889265241024e-02,2.386004161127213904e-02,3.321324134152896929e-02,3.881124744752004196e-02,3.442026005909273184e-02,2.397358011410946621e-02
-5.210937500000000000e+00,5.492884971662075067e-02,2.771911326603212003e-02,2.773681887834347423e-02,4.205559565733804628e-02,2.659629550826419706e-02,3.650183894068304707e-02,4.171733167144596466e-02,3.752377969941646241e-02,2.558047583704858852e-02
-4.851562500000000000e+00,5.987066611695088941e-02,3.098007192366448656e-02,3.099153115046107340e-02,4.395347931440340278e-02,2.894573367964946298e-02,3.947659690998417403e-02,4.476700230446312156e-02,4.171623219873790006e-02,2.888805850327464189e-02
-4.492187500000000000e+00,6.306764202984156686e-02,3.521404307680960771e-02,3.551096994400947809e-02,4.795899383348781186e-02,3.244505506631670949e-02,4.453858941389390869e-02,4.718503329836671450e-02,4.570233600303872518e-02,3.245805985088333345e-02
-4.132812500000000000e+00,6.752214570682218975e-02,3.983619333032514809e-02,3.945381335770484915e-02,5.227079591811757686e-02,3.540231003757370737e-02,4.905976799267480065e-02,5.136211597969707332e-02,5.058641315542854872e-02,3.561698999216574707e-02
-3.773437500000000000e+00,7.181140655275738971e-02,4.500846082112825580e-02,4.430934931817436667e-02,5.600870546376855025e-02,3.938775492389506167e-02,5.432616444909690867e-02,5.397752186694357301e-02,5.530166980982283154e-02,3.852819813525090037e-02
-3.414062500000000000e+00,7.714115875286692292e-02,5.124440870298715284e-02,4.970584779661456343e-02,5.910243773862444705e-02,4.194840816317208648e-02,6.078868924011026492e-02,5.820520084655068926e-02,5.943777349447674357e-02,4.207779238121783782e-02
-3.054687500000000000e+00,8.002486162165632633e-02,5.729593103924048025e-02,5.845175581687279964e-02,6.306149795453040718e-02,4.690962268713822630e-02,6.566377628516369136e-02,6.197499072555406885e-02,6.450803497506202300e-02,4.636980402245017424e-02
-2.695312500000000000e+00,8.562687803915119966e-02,6.684789602765293937e-02,6.497986854419274261e-02,6.615977707161233012e-02,5.061243516706721152e-02,7.190784588719896508e-02,6.706231437807835816e-02,7.135887402309931682e-02,5.154889748531037846e-02
-2.335937500000000000e+00,8.942131124436800138e-02,7.591512191998270320e-02,7.632360355574432931e-02,7.042166598716878556e-02,5.587446714999098896e-02,7.640961449484631740e-02,7.107204906954349422e-02,7.685991683774034966e-02,5.684917479746229296e-02
-1.976562500000000000e+00,9.237843302568740644e-02,8.807588078080838545e-02,8.767223004554408616e-02,7.456172897720621251e-02,6.171665475061309525e-02,8.289501444655542062e-02,7.468670429910642672e-02,8.228599234229809489e-02,6.250164445184791528e-02
-1.617187500000000000e+00,9.342404491674359546e-02,1.020859739135732275e-01,1.030880220346092752e-01,7.836791984963474567e-02,6.811002084731866690e-02,8.807950741926434679e-02,7.904356567166317959e-02,8.959469992133015093e-02,6.832615613295249524e-02
-1.257812500000000000e+00,9.318603560710751743e-02,1.160738740426908028e-01,1.179113549655535220e-01,8.199136188550570914e-02,7.361206488528308778e-02,9.347955965977487736e-02,7.975040126649804439e-02,9.297442255951811341e-02,7.319200829567806821e-02
-8.984375000000000000e-01,9.548430707478489099e-02,1.285033035268834944e-01,1.308591713200201734e-01,8.288553628488723457e-02,7.947952051870431356e-02,9.915134173661857564e-02,8.337017376778929623e-02,9.855272807083557962e-02,8.090353574042942475e-02
-5.390625000000000000e-01,9.602917463975831069e-02,1.454331965817856342e-01,1.452119925204464757e-01,8.709238628760371248e-02,8.716953345982698942e-02,1.018097801207081265e-01,8.651596585668522299e-02,1.029912053370938135e-01,8.499931224521840856e-02
-1.796875000000000000e-01,9.661971625459926660e-02,1.603153692089635818e-01,1.596789188636208168e-01,8.784800850707287501e-02,9.254178997777569304e-02,1.040528076366559612e-01,8.814797071492663783e-02,1.043590103916477718e-01,8.997650883800668853e-02
1.796875000000000000e-01,9.629694138769501199e-02,1.553785740217118461e-01,1.596316626459715338e-01,8.731901825935381445e-02,9.671302314564714231e-02,1.047566250329618753e-01,8.630303994311543103e-02,1.036234982473552835e-01,9.522172277251947370e-02
5.390625000000000000e-01,9.250732310971068739e-02,1.427056599463821240e-01,1.450164840968158342e-01,8.756706301081013111e-02,1.025896150247210398e-01,1.055755472717290477e-01,8.536496647907403090e-02,1.030290204214278638e-01,1.002694897775674027e-01
8.984375000000000000e-01,8.724446243737761508e-02,1.298061890240795047e-01,1.287539376690154669e-01,8.372757055357261946e-02,1.068026986249279164e-01,9.959056674490662786e-02,8.581297473515468732e-02,9.865361511675713180e-02,1.039825541890326971e-01
