# value,p_w_0,p_w_1,p_w_2
-1.132031250000000000e+01,1.495269375434630024e-02,1.525815132578166484e-02,1.450403578774681068e-02
-1.096093750000000000e+01,1.628480561586847369e-02,1.624805242729297078e-02,1.599659928336366263e-02
-1.060156250000000000e+01,1.723805028343213322e-02,1.646336439587752984e-02,1.821805052867903757e-02
-1.024218750000000000e+01,1.760772564216596392e-02,1.825071769919209969e-02,1.924859397616690213e-02
-9.882812500000000000e+00,1.830899284185159848e-02,1.889721632056915943e-02,1.968155894534271214e-02
-9.523437500000000000e+00,1.917506934541517855e-02,2.031214161475486737e-02,2.031323744343008220e-02
-9.164062500000000000e+00,2.136450031264141777e-02,2.139062471801143200e-02,2.193226923566069658e-02
-8.804687500000000000e+00,2.351043499873732567e-02,2.346059670854440740e-02,2.280672309007965304e-02
-8.445312500000000000e+00,2.401312601188794124e-02,2.492663121383035044e-02,2.510227600824071342e-02
-8.085937500000000000e+00,2.457385644919784021e-02,2.549316809195838196e-02,2.602074284067328394e-02
-7.726562500000000000e+00,2.642678529558226130e-02,2.764609869046660146e-02,2.821988035043008700e-02
-7.367187500000000000e+00,2.917526035572111723e-02,2.983657998134049694e-02,3.015972002076567487e-02
-7.007812500000000000e+00,3.140483997457359233e-02,3.170224398941248051e-02,3.147138006276076205e-02
-6.648437500000000000e+00,3.359335595184652357e-02,3.363937015498435351e-02,3.312862332030436230e-02
-6.289062500000000000e+00,3.579737225852132332e-02,3.662823014828192614e-02,3.718210575239911525e-02
-5.929687500000000000e+00,3.642159059043036801e-02,3.821242996916342227e-02,3.853117706681920968e-02
-5.570312500000000000e+00,3.953009749439018866e-02,3.934300664339168002e-02,3.979004105553327758e-02
-5.210937500000000000e+00,3.951191827328202205e-02,4.138156973308689673e-02,4.490575757793519029e-02
-4.851562500000000000e+00,4.486809382502245092e-02,4.455898238170574038e-02,4.650437917152432099e-02
-4.492187500000000000e+00,4.919539087486348578e-02,4.802659814984371750e-02,5.014549637776160446e-02
-4.132812500000000000e+00,5.497666643286391874e-02,4.999991931035852044e-02,5.171209039463752627e-02
-3.773437500000000000e+00,5.822681057850960518e-02,5.328934344354072095e-02,5.446585127828631329e-02
-3.414062500000000000e+00,6.262471233140812221e-02,5.563781544926179462e-02,5.967245143577344646e-02
-3.054687500000000000e+00,6.560170988808981807e-02,5.853878951200921360e-02,6.193355263530444382e-02
-2.695312500000000000e+00,6.669137750303089085e-02,6.175928357758304899e-02,6.454402902798764274e-02
-2.335937500000000000e+00,7.143836906117118080e-02,6.633019269134592111e-02,6.830392536003450366e-02
-1.976562500000000000e+00,7.427796479378850902e-02,6.923580479892946227e-02,6.782109524083258789e-02
-1.617187500000000000e+00,7.923296050124682688e-02,7.005316991989860020e-02,7.357880874931564674e-02
-1.257812500000000000e+00,8.358010444511593251e-02,7.608274976842385739e-02,7.402570476782019404e-02
-8.984375000000000000e-01,9.018855203585017521e-02,7.875267574247353519e-02,7.702053254698322526e-02
-5.390625000000000000e-01,9.009885009223012053e-02,8.066087301816454724e-02,7.688719423257872609e-02
-1.796875000000000000e-01,9.115560712568956947e-02,8.074533217185643486e-02,8.080719701416620715e-02
1.796875000000000000e-01,8.801428313712679474e-02,8.042460331442591315e-02,8.061055092106624020e-02
5.390625000000000000e-01,8.984363447436376215e-02,7.851927343506923118e-02,7.608837129831662327e-02
8.984375000000000000e-01,8.596894042184871632e-02,7.755128090698176768e-02,7.513607669992941607e-02
1.257812500000000000e+00,7.970894864885649800e-02,7.447153965460631686e-02,7.420439028834767414e-02
1.617187500000000000e+00,7.603629871158146258e-02,7.375181542832616455e-02,7.029385004454100083e-02
1.976562500000000000e+00,7.180763692828662226e-02,7.368521346902291713e-02,6.756052288894852376e-02
2.335937500000000000e+00,6.389721531948061584e-02,6.946160289110375752e-02,6.475468124769782896e-02
2.695312500000000000e+00,5.943656352545696742e-02,6.495326494357255009e-02,6.312304854223563244e-02
3.054687500000000000e+00,5.503563608268429580e-02,6.249256599126315481e-02,5.864652316761453238e-02
3.414062500000000000e+00,5.325744951926276310e-02,5.800438832842336190e-02,5.832376616437014161e-02
3.773437500000000000e+00,5.163876151078817395e-02,5.401305177991674866e-02,5.241773153345560127e-02
4.132812500000000000e+00,4.802606228305580233e-02,5.237014094881978915e-02,5.219674120555790886e-02
4.492187500000000000e+00,4.621656390819481319e-02,4.848854361662207485e-02,4.936480958117192563e-02
4.851562500000000000e+00,4.301616941312770559e-02,4.581957334723082281e-02,4.738005804571945867e-02
5.210937500000000000e+00,3.870199796180505414e-02,4.436191468279894468e-02,4.430539716443281095e-02
5.570312500000000000e+00,3.569635651046651481e-02,4.223945277697010309e-02,4.060937575880912975e-02
5.929687500000000000e+00,3.424541880811433903e-02,3.957845706741720121e-02,3.935366399025070488e-02
6.289062500000000000e+00,3.072062868217796325e-02,3.740247720779327212e-02,3.679622457232190058e-02
6.648437500000000000e+00,2.922167862894186133e-02,3.512186407598907184e-02,3.582647508342937104e-02
7.007812500000000000e+00,2.752890820925224177e-02,3.274491255095619835e-02,3.205970979980456159e-02
7.367187500000000000e+00,2.545334269353600326e-02,3.067937595223263134e-02,3.281764780342668469e-02
7.726562500000000000e+00,2.506406060730437257e-02,2.809154120842095870e-02,2.937751573279643452e-02
8.085937500000000000e+00,2.216385767572887772e-02,2.781470511663094308e-02,2.722084041081877098e-02
8.445312500000000000e+00,2.112153144891369683e-02,2.493486269619946127e-02,2.551302691865925745e-02
