# time,omega_active^2,95CLI,vs,surftimeconst
9.999000000000000554e+00,3.178735768726738087e+01,3.756385836056280736e-01,1.000000000000000000e+00,0.000000000000000000e+00
9.999000000000000554e+00,3.099406788725038098e+01,1.008859969788848066e+00,4.000000000000000000e+00,0.000000000000000000e+00
9.999000000000000554e+00,3.170649462070463187e+01,1.963555149905212294e-01,5.000000000000000000e-01,0.000000000000000000e+00
9.999000000000000554e+00,3.162957382508695048e+01,1.122787775477310568e+00,8.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,4.164218532614913215e+01,1.972962820566316888e-01,5.000000000000000000e-01,2.500000000000000000e-01
9.996000000000000441e+00,4.090210858042379982e+01,8.579097346634457777e-01,4.000000000000000000e+00,2.500000000000000000e-01
9.996000000000000441e+00,4.116865296671464591e+01,3.553815220560952448e-01,1.000000000000000000e+00,2.500000000000000000e-01
9.996000000000000441e+00,4.439905859841533697e+01,1.240858974086363142e+00,8.000000000000000000e+00,2.500000000000000000e-01
9.996000000000000441e+00,8.346423869953241592e+01,1.713712607976396685e+00,8.000000000000000000e+00,5.000000000000000000e-01
9.996000000000000441e+00,6.951892868861295938e+01,1.982117121124062076e-01,5.000000000000000000e-01,5.000000000000000000e-01
9.996000000000000441e+00,7.231557165176747048e+01,9.596144451750157067e-01,4.000000000000000000e+00,5.000000000000000000e-01
9.996000000000000441e+00,6.930579989502609806e+01,3.744634182390325639e-01,1.000000000000000000e+00,5.000000000000000000e-01
9.996000000000000441e+00,1.143348606015293853e+02,2.287662342205868393e-01,5.000000000000000000e-01,7.500000000000000000e-01
9.996000000000000441e+00,1.254237590634743924e+02,1.323370556017753774e+00,4.000000000000000000e+00,7.500000000000000000e-01
9.996000000000000441e+00,1.148874037989835131e+02,4.278604229647991475e-01,1.000000000000000000e+00,7.500000000000000000e-01
9.996000000000000441e+00,1.466388072724943186e+02,2.610148086800585521e+00,8.000000000000000000e+00,7.500000000000000000e-01
9.999000000000000554e+00,1.748399724024000932e+02,3.409977980059967773e-01,5.000000000000000000e-01,1.000000000000000000e+00
9.999000000000000554e+00,2.370762989339481237e+02,3.358039326073522179e+00,8.000000000000000000e+00,1.000000000000000000e+00
9.999000000000000554e+00,2.042035234213725516e+02,2.289255216735412546e+00,4.000000000000000000e+00,1.000000000000000000e+00
9.999000000000000554e+00,1.780321565705320381e+02,6.659030981357876300e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,3.578710631128876685e+02,7.977452037401679519e+00,8.000000000000000000e+00,1.250000000000000000e+00
9.996000000000000441e+00,2.500828857057360608e+02,5.546696766035993376e-01,5.000000000000000000e-01,1.250000000000000000e+00
9.996000000000000441e+00,3.137445449400803454e+02,3.929558581714707621e+00,4.000000000000000000e+00,1.250000000000000000e+00
9.996000000000000441e+00,2.586177104188985822e+02,1.071315872689369675e+00,1.000000000000000000e+00,1.250000000000000000e+00
9.996000000000000441e+00,5.237045873140351659e+02,8.061900225007232024e+00,8.000000000000000000e+00,1.500000000000000000e+00
9.996000000000000441e+00,3.380974482841740496e+02,8.510085304846598531e-01,5.000000000000000000e-01,1.500000000000000000e+00
9.996000000000000441e+00,4.475678170571442251e+02,5.436137677534519597e+00,4.000000000000000000e+00,1.500000000000000000e+00
9.996000000000000441e+00,3.556116500329123369e+02,1.772297047193154729e+00,1.000000000000000000e+00,1.500000000000000000e+00
9.996000000000000441e+00,4.704075640250616743e+02,2.709450757938895560e+00,1.000000000000000000e+00,1.750000000000000000e+00
9.996000000000000441e+00,4.415596068344013929e+02,1.308259975603071057e+00,5.000000000000000000e-01,1.750000000000000000e+00
9.996000000000000441e+00,7.530989685328713676e+02,2.317582574114197769e+01,8.000000000000000000e+00,1.750000000000000000e+00
9.996000000000000441e+00,6.445890567591417266e+02,1.127377770069036877e+01,4.000000000000000000e+00,1.750000000000000000e+00
9.999000000000000554e+00,5.550774436453327780e+02,1.878406704613370115e+00,5.000000000000000000e-01,2.000000000000000000e+00
9.999000000000000554e+00,8.727023055560005105e+02,1.847233504486144184e+01,4.000000000000000000e+00,2.000000000000000000e+00
9.999000000000000554e+00,6.074886670916980620e+02,4.075046910113183429e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.999000000000000554e+00,1.005547719322807097e+03,1.981736311602392675e+01,8.000000000000000000e+00,2.000000000000000000e+00
9.999000000000000554e+00,2.784426035250164205e+03,8.447885466570600954e+01,4.000000000000000000e+00,3.000000000000000000e+00
9.999000000000000554e+00,3.183183929154966791e+03,1.459351576745006582e+02,8.000000000000000000e+00,3.000000000000000000e+00
9.999000000000000554e+00,1.338584375713576264e+03,1.414304824274561057e+01,1.000000000000000000e+00,3.000000000000000000e+00
9.999000000000000554e+00,1.160447221013737362e+03,5.588267551261810517e+00,5.000000000000000000e-01,3.000000000000000000e+00
