# value,p_u_x,p_u_y,p_u_z
-8.137499999999999734e-01,6.030300730057940733e-02,1.474344709592447789e-01,1.072666214381947231e-01
-7.612499999999999822e-01,8.354886053517915356e-02,1.893124096984046822e-01,1.455797702127934745e-01
-7.087499999999999911e-01,1.105405126199154320e-01,2.358999609892866722e-01,1.961348508306289817e-01
-6.562500000000000000e-01,1.420730683365682978e-01,2.926558632548730832e-01,2.539477286517347610e-01
-6.037500000000000089e-01,1.810765356257386660e-01,3.554162337971878971e-01,3.208372289208352157e-01
-5.512499999999999067e-01,2.297554641516796614e-01,4.225526589369442143e-01,3.977163155251173809e-01
-4.987499999999999156e-01,2.864159405294451899e-01,4.938885122908475700e-01,4.810870361422748820e-01
-4.462499999999999800e-01,3.503005209480313242e-01,5.697083102916500330e-01,5.665043179824031938e-01
-3.937499999999999889e-01,4.185577508634489852e-01,6.511516331895844667e-01,6.546575240598265788e-01
-3.412499999999999423e-01,4.992125168759987131e-01,7.298366594658560746e-01,7.454112218942293699e-01
-2.887499999999999512e-01,5.837402502825893569e-01,8.096501701585594457e-01,8.229786031841869187e-01
-2.362499999999999600e-01,6.695964222847605729e-01,8.748274819407455549e-01,8.924830555313767455e-01
-1.837499999999999689e-01,7.505585532536651616e-01,9.232262944316078634e-01,9.549347972604576018e-01
-1.312499999999999778e-01,8.339416243381535532e-01,9.640516726972947481e-01,9.996297214344831428e-01
-7.874999999999998668e-02,9.068139480369837857e-01,9.921965961116820942e-01,1.029107651054223638e+00
-2.624999999999999556e-02,9.668427577525647854e-01,1.008460475765413200e+00,1.043086804919389321e+00
2.624999999999999556e-02,1.012066639215133401e+00,1.009688370685365211e+00,1.034840119369971001e+00
7.874999999999998668e-02,1.043595886331409650e+00,9.875474323362929407e-01,1.017997359192796436e+00
1.312499999999999778e-01,1.056632884489050017e+00,9.534956023694308724e-01,9.856621304736505884e-01
1.837500000000000244e-01,1.055434909981434410e+00,9.023479979319412037e-01,9.283272831039944828e-01
2.362500000000000711e-01,1.033847355216779285e+00,8.396023811256998481e-01,8.586648316655609570e-01
2.887500000000000622e-01,9.982168251628888989e-01,7.688269923266064509e-01,7.870162956320022607e-01
3.412500000000000533e-01,9.483008385239749538e-01,6.984781182356522011e-01,7.102034197222396594e-01
3.937500000000000444e-01,8.768172776719355133e-01,6.241002037976368655e-01,6.317291385130280323e-01
4.462500000000000355e-01,7.914235764514397919e-01,5.467672912146114284e-01,5.489718724987960874e-01
4.987500000000000266e-01,7.033756865214741971e-01,4.760343024711287674e-01,4.675206878191404680e-01
5.512500000000000178e-01,6.151064929958630634e-01,4.070980817915004768e-01,3.911867203794998638e-01
6.037500000000000089e-01,5.301300738260300571e-01,3.440553172272408089e-01,3.217428490489113169e-01
6.562500000000000000e-01,4.417626225364469361e-01,2.826766639555587379e-01,2.604492172902725389e-01
7.087499999999999911e-01,3.584654373481124812e-01,2.279581655170615229e-01,2.081781191362496730e-01
7.612499999999999822e-01,2.848583066315528156e-01,1.799653491949619044e-01,1.615627879959220248e-01
8.137499999999999734e-01,2.243065009802356902e-01,1.387073734591848240e-01,1.222029667348571991e-01
