# omega_z*kolmogorov_time,p_x
-3.937500000000000000e+00,1.516256262978818325e+00
-3.812500000000000000e+00,1.514445184192103167e+00
-3.687500000000000000e+00,1.512508971138618152e+00
-3.562500000000000000e+00,1.510434105696542684e+00
-3.437500000000000000e+00,1.508205036106693431e+00
-3.312500000000000000e+00,1.505803776773682490e+00
-3.187500000000000000e+00,1.503209409009339748e+00
-3.062500000000000000e+00,1.500397452724369529e+00
-2.937500000000000000e+00,1.497339068222919289e+00
-2.812500000000000000e+00,1.494000031838889964e+00
-2.687500000000000000e+00,1.490339407043322462e+00
-2.562500000000000000e+00,1.486307800751506036e+00
-2.437500000000000000e+00,1.481845048620820338e+00
-2.312500000000000000e+00,1.476877108305281627e+00
-2.187500000000000000e+00,1.471311853859455621e+00
-2.062500000000000000e+00,1.465033372987641913e+00
-1.937500000000000000e+00,1.457894329981346049e+00
-1.812500000000000000e+00,1.449705776755014996e+00
-1.687500000000000000e+00,1.440223705573062896e+00
-1.562500000000000000e+00,1.429125660282015042e+00
-1.437500000000000000e+00,1.415975555805641051e+00
-1.312500000000000000e+00,1.400176158323905184e+00
-1.187500000000000000e+00,1.380901551530747451e+00
-1.062500000000000000e+00,1.356987546081078966e+00
-9.375000000000000000e-01,1.326740228586191117e+00
-8.125000000000000000e-01,1.287609451301167329e+00
-6.875000000000000000e-01,1.235544232269120135e+00
-5.625000000000000000e-01,1.163621150884611044e+00
-4.375000000000000000e-01,1.059278641488105244e+00
-3.125000000000000000e-01,8.983371792978184223e-01
-1.875000000000000000e-01,6.354368640923655498e-01
-6.250000000000000000e-02,2.190839313534953814e-01
6.250000000000000000e-02,-2.829397008190512874e-01
1.875000000000000000e-01,-6.779068077088050703e-01
3.125000000000000000e-01,-9.239993749845958337e-01
4.375000000000000000e-01,-1.075827813489713458e+00
5.625000000000000000e-01,-1.175218083674842040e+00
6.875000000000000000e-01,-1.244162403141978679e+00
8.125000000000000000e-01,-1.294231630426763147e+00
9.375000000000000000e-01,-1.331906372935667715e+00
1.062500000000000000e+00,-1.361046628163016470e+00
1.187500000000000000e+00,-1.384104717894335534e+00
1.312500000000000000e+00,-1.402723752541565894e+00
1.437500000000000000e+00,-1.418033998428553044e+00
1.562500000000000000e+00,-1.430825697837981636e+00
1.687500000000000000e+00,-1.441655545469634925e+00
1.812500000000000000e+00,-1.450929401995257662e+00
1.937500000000000000e+00,-1.458953772806213633e+00
2.062500000000000000e+00,-1.465961139999268470e+00
2.187500000000000000e+00,-1.472132075181798561e+00
2.312500000000000000e+00,-1.477608140188821251e+00
2.437500000000000000e+00,-1.482500933137728794e+00
2.562500000000000000e+00,-1.486899641060074329e+00
2.687500000000000000e+00,-1.490876176769718509e+00
2.812500000000000000e+00,-1.494489089387348812e+00
2.937500000000000000e+00,-1.497786513570908751e+00
3.062500000000000000e+00,-1.500808388124381443e+00
3.187500000000000000e+00,-1.503588135587919705e+00
3.312500000000000000e+00,-1.506153945821585793e+00
3.437500000000000000e+00,-1.508529767186701509e+00
3.562500000000000000e+00,-1.510736079889300365e+00
3.687500000000000000e+00,-1.512790505360740889e+00
3.812500000000000000e+00,-1.514708290926689571e+00
3.937500000000000000e+00,-1.516502698648611647e+00
