# omega_z*kolmogorov_time,p_y
-3.937500000000000000e+00,nan
-3.812500000000000000e+00,nan
-3.687500000000000000e+00,nan
-3.562500000000000000e+00,nan
-3.437500000000000000e+00,nan
-3.312500000000000000e+00,nan
-3.187500000000000000e+00,nan
-3.062500000000000000e+00,nan
-2.937500000000000000e+00,nan
-2.812500000000000000e+00,-6.262466666666667292e-01
-2.687500000000000000e+00,-6.407113076923075523e-01
-2.562500000000000000e+00,-4.009047761194031168e-01
-2.437500000000000000e+00,-2.516452840909089717e-01
-2.312500000000000000e+00,-4.417949635922331919e-01
-2.187500000000000000e+00,-5.045854022988506271e-01
-2.062500000000000000e+00,-4.809784258530170886e-01
-1.937500000000000000e+00,-4.027480815255430890e-01
-1.812500000000000000e+00,-3.670595577015930422e-01
-1.687500000000000000e+00,-3.009177777591684477e-01
-1.562500000000000000e+00,-2.066623123807498630e-01
-1.437500000000000000e+00,-9.992341999575714284e-02
-1.312500000000000000e+00,2.321489740497778217e-02
-1.187500000000000000e+00,1.166898006595217668e-01
-1.062500000000000000e+00,1.990068878012732634e-01
-9.375000000000000000e-01,2.714888706036875377e-01
-8.125000000000000000e-01,3.117880766669177128e-01
-6.875000000000000000e-01,3.180127596284293978e-01
-5.625000000000000000e-01,3.185458618515595863e-01
-4.375000000000000000e-01,2.923928894016770696e-01
-3.125000000000000000e-01,2.313596946401935972e-01
-1.875000000000000000e-01,1.574406845851715198e-01
-6.250000000000000000e-02,6.269118517925852119e-02
6.250000000000000000e-02,-4.320119738575759621e-02
1.875000000000000000e-01,-1.373955231528130871e-01
3.125000000000000000e-01,-2.196970602712065845e-01
4.375000000000000000e-01,-2.853456480753933655e-01
5.625000000000000000e-01,-3.304423630133498380e-01
6.875000000000000000e-01,-3.643660257843519545e-01
8.125000000000000000e-01,-3.632948309306017753e-01
9.375000000000000000e-01,-3.210379042531255056e-01
1.062500000000000000e+00,-2.487820934001754580e-01
1.187500000000000000e+00,-1.612101423960853874e-01
1.312500000000000000e+00,-5.217168957187651862e-02
1.437500000000000000e+00,6.457905112008840987e-02
1.562500000000000000e+00,1.701171500056993524e-01
1.687500000000000000e+00,2.471313536606082606e-01
1.812500000000000000e+00,2.978330753462597458e-01
1.937500000000000000e+00,2.824235211548034585e-01
2.062500000000000000e+00,2.718523628099170919e-01
2.187500000000000000e+00,2.008635630550620610e-01
2.312500000000000000e+00,1.211709747706420787e-01
2.437500000000000000e+00,-8.963394472361808918e-02
2.562500000000000000e+00,-1.241220888888888568e-01
2.687500000000000000e+00,-1.965409999999999935e-01
2.812500000000000000e+00,-3.695796760563380134e-01
2.937500000000000000e+00,-3.170602758620689188e-01
3.062500000000000000e+00,nan
3.187500000000000000e+00,nan
3.312500000000000000e+00,nan
3.437500000000000000e+00,nan
3.562500000000000000e+00,nan
3.687500000000000000e+00,nan
3.812500000000000000e+00,nan
3.937500000000000000e+00,nan
