# duxdy*kolmogorov_time,p_y
-3.937500000000000000e+00,nan
-3.812500000000000000e+00,nan
-3.687500000000000000e+00,nan
-3.562500000000000000e+00,nan
-3.437500000000000000e+00,nan
-3.312500000000000000e+00,nan
-3.187500000000000000e+00,nan
-3.062500000000000000e+00,nan
-2.937500000000000000e+00,nan
-2.812500000000000000e+00,nan
-2.687500000000000000e+00,nan
-2.562500000000000000e+00,nan
-2.437500000000000000e+00,nan
-2.312500000000000000e+00,nan
-2.187500000000000000e+00,nan
-2.062500000000000000e+00,nan
-1.937500000000000000e+00,nan
-1.812500000000000000e+00,-3.647119999999999806e-01
-1.687500000000000000e+00,4.894518918918920602e-02
-1.562500000000000000e+00,5.170302919708072605e-03
-1.437500000000000000e+00,-7.774828669410153992e-02
-1.312500000000000000e+00,5.874608511722732851e-02
-1.187500000000000000e+00,-2.948020213776720785e-02
-1.062500000000000000e+00,-4.908915408479837261e-02
-9.375000000000000000e-01,-1.212362307287217222e-01
-8.125000000000000000e-01,-1.918302411575558974e-01
-6.875000000000000000e-01,-2.526488365332621999e-01
-5.625000000000000000e-01,-3.284294524795303705e-01
-4.375000000000000000e-01,-3.746391907748783390e-01
-3.125000000000000000e-01,-3.872175162678194726e-01
-1.875000000000000000e-01,-3.395978222091344811e-01
-6.250000000000000000e-02,-1.637979292700159073e-01
6.250000000000000000e-02,1.731780326476328180e-01
1.875000000000000000e-01,3.374556095241373899e-01
3.125000000000000000e-01,3.772334748360104406e-01
4.375000000000000000e-01,3.355737143264528322e-01
5.625000000000000000e-01,2.446681498761335838e-01
6.875000000000000000e-01,1.656263510062277178e-01
8.125000000000000000e-01,9.905068718980515607e-02
9.375000000000000000e-01,5.164194315915461575e-02
1.062500000000000000e+00,-4.785626339053569711e-02
1.187500000000000000e+00,-1.620317334635099915e-01
1.312500000000000000e+00,-2.110638512558868918e-01
1.437500000000000000e+00,-2.374599000000002791e-01
1.562500000000000000e+00,-2.315169461206897927e-01
1.687500000000000000e+00,1.159190152671756430e-01
1.812500000000000000e+00,-5.862186756756758710e-01
1.937500000000000000e+00,nan
2.062500000000000000e+00,nan
2.187500000000000000e+00,nan
2.312500000000000000e+00,nan
2.437500000000000000e+00,nan
2.562500000000000000e+00,nan
2.687500000000000000e+00,nan
2.812500000000000000e+00,nan
2.937500000000000000e+00,nan
3.062500000000000000e+00,nan
3.187500000000000000e+00,nan
3.312500000000000000e+00,nan
3.437500000000000000e+00,nan
3.562500000000000000e+00,nan
3.687500000000000000e+00,nan
3.812500000000000000e+00,nan
3.937500000000000000e+00,nan
