# omega_z*kolmogorov_time,p_x
-3.937500000000000000e+00,2.930934326275829935e-02
-3.812500000000000000e+00,3.027287830131895202e-02
-3.687500000000000000e+00,3.130193990161251466e-02
-3.562500000000000000e+00,3.240345135932413273e-02
-3.437500000000000000e+00,3.358534763561662334e-02
-3.312500000000000000e+00,3.485676729448547451e-02
-3.187500000000000000e+00,3.622828986018825081e-02
-3.062500000000000000e+00,3.771223160206877562e-02
-2.937500000000000000e+00,3.932301711969288932e-02
-2.812500000000000000e+00,4.107765008045487914e-02
-2.687500000000000000e+00,4.299631457160629083e-02
-2.562500000000000000e+00,4.510314912722911823e-02
-2.437500000000000000e+00,4.742724777204287284e-02
-2.312500000000000000e+00,5.000395071076579878e-02
-2.187500000000000000e+00,5.287646688256655847e-02
-2.062500000000000000e+00,5.609786469108492962e-02
-1.937500000000000000e+00,5.973378538698336654e-02
-1.812500000000000000e+00,6.386625556884460708e-02
-1.687500000000000000e+00,6.859829990548280132e-02
-1.562500000000000000e+00,7.405892972723387979e-02
-1.437500000000000000e+00,8.040723747808189992e-02
-1.312500000000000000e+00,8.783782977118036184e-02
-1.187500000000000000e+00,9.657891015946781788e-02
-1.062500000000000000e+00,1.068808545336145110e-01
-9.375000000000000000e-01,1.189853407754974668e-01
-8.125000000000000000e-01,1.330487950613536419e-01
-6.875000000000000000e-01,1.490196443368691226e-01
-5.625000000000000000e-01,1.664939106136761326e-01
-4.375000000000000000e-01,1.845482109631285117e-01
-3.125000000000000000e-01,2.014945813513824568e-01
-1.875000000000000000e-01,2.149053696870022179e-01
-6.250000000000000000e-02,2.221788396632952411e-01
6.250000000000000000e-02,2.216503329845527781e-01
1.875000000000000000e-01,2.135132728158554150e-01
3.125000000000000000e-01,1.995968207144465101e-01
4.375000000000000000e-01,1.824194254118779723e-01
5.625000000000000000e-01,1.642461228072870094e-01
6.875000000000000000e-01,1.467225760951154923e-01
8.125000000000000000e-01,1.308404630808540359e-01
9.375000000000000000e-01,1.169852722764002928e-01
1.062500000000000000e+00,1.051405729835747094e-01
1.187500000000000000e+00,9.509943774294114804e-02
1.312500000000000000e+00,8.658908783482893723e-02
1.437500000000000000e+00,7.934974289224326627e-02
1.562500000000000000e+00,7.315830478882059951e-02
1.687500000000000000e+00,6.782596405266308470e-02
1.812500000000000000e+00,6.319808399323185999e-02
1.937500000000000000e+00,5.915061621215907117e-02
2.062500000000000000e+00,5.558510503255695984e-02
2.187500000000000000e+00,5.242224121255865954e-02
2.312500000000000000e+00,4.959858965482696891e-02
2.437500000000000000e+00,4.706296246473964245e-02
2.562500000000000000e+00,4.477386713409508417e-02
2.687500000000000000e+00,4.269719140334165414e-02
2.812500000000000000e+00,4.080471988324473054e-02
2.937500000000000000e+00,3.907298591227630069e-02
3.062500000000000000e+00,3.748233610740922539e-02
3.187500000000000000e+00,3.601619360113840485e-02
3.312500000000000000e+00,3.466048110532609500e-02
3.437500000000000000e+00,3.340316754496974738e-02
3.562500000000000000e+00,3.223390938438756154e-02
3.687500000000000000e+00,3.114376467542127880e-02
3.812500000000000000e+00,3.012496330419811921e-02
3.937500000000000000e+00,2.917072099965192788e-02
