# omega_z*kolmogorov_time,p_x
-3.937500000000000000e+00,9.936073984061369879e-01
-3.812500000000000000e+00,9.931777589471103562e-01
-3.687500000000000000e+00,9.927031560615552364e-01
-3.562500000000000000e+00,9.921770593096841395e-01
-3.437500000000000000e+00,9.915916999282987643e-01
-3.312500000000000000e+00,9.909377751289499825e-01
-3.187500000000000000e+00,9.902040653706186690e-01
-3.062500000000000000e+00,9.893769333883281059e-01
-2.937500000000000000e+00,9.884396601337011035e-01
-2.812500000000000000e+00,9.873715518721605244e-01
-2.687500000000000000e+00,9.861467196436165539e-01
-2.562500000000000000e+00,9.847323782336725451e-01
-2.437500000000000000e+00,9.830864194671151690e-01
-2.312500000000000000e+00,9.811538476202816828e-01
-2.187500000000000000e+00,9.788613484158390499e-01
-2.062500000000000000e+00,9.761099782557618454e-01
-1.937500000000000000e+00,9.727659328537334726e-01
-1.812500000000000000e+00,9.686451745366307930e-01
-1.687500000000000000e+00,9.634883193434304882e-01
-1.562500000000000000e+00,9.569177231194315736e-01
-1.437500000000000000e+00,9.483866774652937037e-01
-1.312500000000000000e+00,9.370944480752166905e-01
-1.187500000000000000e+00,9.218549198942120881e-01
-1.062500000000000000e+00,9.009391767292294073e-01
-9.375000000000000000e-01,8.718391068199191629e-01
-8.125000000000000000e-01,8.310272327512980839e-01
-6.875000000000000000e-01,7.739281072922647997e-01
-5.625000000000000000e-01,6.952422432097429272e-01
-4.375000000000000000e-01,5.893078166812786289e-01
-3.125000000000000000e-01,4.515483819042127589e-01
-1.875000000000000000e-01,2.817403707944180491e-01
-6.250000000000000000e-02,8.756080587743925170e-02
6.250000000000000000e-02,-1.148157949009941670e-01
1.875000000000000000e-01,-3.063117040200401542e-01
3.125000000000000000e-01,-4.724468903593408431e-01
4.375000000000000000e-01,-6.068226956861002552e-01
5.625000000000000000e-01,-7.098235593717335812e-01
6.875000000000000000e-01,-7.854808473109056166e-01
8.125000000000000000e-01,-8.395353129155954663e-01
9.375000000000000000e-01,-8.778323821655946713e-01
1.062500000000000000e+00,-9.050872438470090042e-01
1.187500000000000000e+00,-9.247392317746619961e-01
1.312500000000000000e+00,-9.391537311612493388e-01
1.437500000000000000e+00,-9.498938705598332088e-01
1.562500000000000000e+00,-9.580411632477351391e-01
1.687500000000000000e+00,-9.643472388076598234e-01
1.812500000000000000e+00,-9.693194832015955553e-01
1.937500000000000000e+00,-9.733046723454654714e-01
2.062500000000000000e+00,-9.765479410039661357e-01
2.187500000000000000e+00,-9.792251512433933769e-01
2.312500000000000000e+00,-9.814613834414610549e-01
2.437500000000000000e+00,-9.833492549853396492e-01
2.562500000000000000e+00,-9.849583322086817860e-01
2.687500000000000000e+00,-9.863421876023815704e-01
2.812500000000000000e+00,-9.875416940597401272e-01
2.937500000000000000e+00,-9.885886308329706607e-01
3.062500000000000000e+00,-9.895080879765346671e-01
3.187500000000000000e+00,-9.903201290701034720e-01
3.312500000000000000e+00,-9.910409757366677175e-01
3.437500000000000000e+00,-9.916838709099623506e-01
3.562500000000000000e+00,-9.922597196855639234e-01
3.687500000000000000e+00,-9.927775724637067922e-01
3.812500000000000000e+00,-9.932449940634292540e-01
3.937500000000000000e+00,-9.936683490263288343e-01
