# value,p_j_0_0,p_j_0_1,p_j_0_2,p_j_1_0,p_j_1_1,p_j_1_2,p_j_2_0,p_j_2_1,p_j_2_2
-1.114062500000000000e+01,1.182857380042180500e-03,4.240589690439021940e-04,8.520520789138954988e-05,4.747318565053351702e-03,1.695821756088652216e-04,1.779321467987124037e-03,2.866980446054733823e-03,1.569488028900070230e-03,1.304478273914347504e-04
-1.042187500000000000e+01,1.663658533388689704e-03,4.696121786091653292e-04,1.378084779692822419e-04,6.536004917370275002e-03,4.370002217613066348e-04,3.053859040424200793e-03,5.361698864021715097e-03,2.036047938802742607e-03,6.587615283267459626e-04
-9.703125000000000000e+00,3.372103219740023479e-03,7.435526161311781668e-04,5.358747322003961115e-04,8.122921678094585651e-03,3.782986994351609416e-04,3.377213648278704593e-03,7.799188939389812766e-03,2.802808821325964220e-03,1.147940881044628167e-03
-8.984375000000000000e+00,5.740665315525515268e-03,1.291433491175205577e-03,9.070265204574308546e-04,1.061726714762292745e-02,9.457467485879043597e-04,5.077159702512573647e-03,9.983255569799545995e-03,5.821726177181135373e-03,1.845836757588797472e-03
-8.265625000000000000e+00,8.747228742122312509e-03,2.178582247458697718e-03,1.507190056479767526e-03,1.355370560236168233e-02,2.674180461524409361e-03,7.399846069215110927e-03,1.285488708464088865e-02,9.453562044385206004e-03,2.772016332067987667e-03
-7.546875000000000000e+00,1.279286948263367620e-02,3.777396373177695048e-03,2.915819532263786481e-03,1.944762113422776606e-02,5.439674402222830808e-03,1.071250696802839193e-02,1.634871085940944879e-02,1.265626938780655547e-02,3.782986994351613969e-03
-6.828125000000000000e+00,2.157278038870883916e-02,7.247101521746335089e-03,5.513497987079136325e-03,2.535301360288676892e-02,8.479108780443200474e-03,1.665893288078723264e-02,2.263876401030252838e-02,1.467283715932795989e-02,5.596211795092542393e-03
-6.109375000000000000e+00,3.145534351906491971e-02,1.253168795140376102e-02,1.050167128514088548e-02,3.057369973529526844e-02,1.119894598155457208e-02,2.222359753173752672e-02,2.971290995256095635e-02,1.978955481059928648e-02,8.074720515529761750e-03
-5.390625000000000000e+00,4.487159541276413560e-02,2.023618510919401176e-02,1.692737563344244231e-02,3.877047009296369362e-02,1.454493275414480563e-02,2.864589507986293332e-02,3.554416899637944521e-02,2.822923767250024724e-02,1.319552245079566415e-02
-4.671875000000000000e+00,6.259864492633429589e-02,3.374954472672878070e-02,2.975382691545003580e-02,4.766151980787106113e-02,2.292620566404433846e-02,3.707335400545878901e-02,4.366086564762880484e-02,3.741694999452798570e-02,1.862908858173578999e-02
-3.953125000000000000e+00,8.283802099580635236e-02,4.519313214965273856e-02,4.581345064313312176e-02,6.279007011561453522e-02,3.370119620657655718e-02,4.979050787975757703e-02,5.627981931322832698e-02,4.903273660863526756e-02,2.945656884528980932e-02
-3.234375000000000000e+00,1.014963421141947125e-01,6.506106097151975742e-02,7.005256392866779369e-02,7.452920732864357078e-02,4.421529109432578014e-02,6.720369893330395417e-02,6.951978412804481200e-02,6.925504026359717569e-02,4.083006644349636283e-02
-2.515625000000000000e+00,1.180067707991824255e-01,9.224100463876577782e-02,9.442882109622821596e-02,8.322606546253132065e-02,6.110176235014657536e-02,8.649554641942604205e-02,8.029422187844041658e-02,8.399869353456204668e-02,6.026234093388457835e-02
