# surftimeconst,average_velocity_axis_0_t_inf__params_1o0,average_velocity_axis_0_t_inf__params_7o0,average_velocity_axis_0_t_inf__params_6o0,average_velocity_axis_0_t_inf__params_5o0,average_velocity_axis_0_t_inf__params_4o0,average_velocity_axis_0_t_inf__params_3o0,average_velocity_axis_0_t_inf__params_8o0,average_velocity_axis_0_t_inf__params_2o0
0.000000000000000000e+00,2.144132107082237226e-01,1.514061174164526902e+00,1.288599391715704812e+00,1.068577992348631600e+00,8.681718204745338952e-01,6.411217041033534514e-01,1.723475311938974075e+00,4.265073819997078353e-01
8.163265306122448328e-02,2.300568874685005594e-01,1.546490642353385958e+00,1.318675196627428603e+00,1.101083266707678421e+00,9.035616548511420376e-01,6.712502868972151093e-01,1.755146997264818820e+00,4.509147883764868525e-01
1.632653061224489666e-01,2.447528992769978096e-01,1.576145754134486543e+00,1.346601828935846346e+00,1.131248993672296699e+00,9.362284562496382412e-01,6.992657506767150366e-01,1.783776046151493988e+00,4.737781892357249558e-01
2.448979591836734637e-01,2.585259197656027963e-01,1.603103505935080442e+00,1.372426412244288185e+00,1.159135877926829261e+00,9.662533041835369430e-01,7.252277637533591781e-01,1.809454904319986790e+00,4.951371633133561101e-01
3.265306122448979331e-01,2.714006225662030092e-01,1.627440894182418551e+00,1.396196070156083602e+00,1.184804624155618935e+00,9.937172781663535792e-01,7.491959944386541448e-01,1.832276017491285325e+00,5.150312893453143914e-01
4.081632653061224025e-01,2.834016813106856603e-01,1.649234915303753324e+00,1.417957926274562075e+00,1.208315937043008992e+00,1.018701457711602698e+00,7.712301110441055485e-01,1.852331831386377914e+00,5.335001460675342644e-01
4.897959183673469274e-01,2.945537696309382669e-01,1.668562565726335878e+00,1.437759104203053306e+00,1.229730521273341814e+00,1.041286922332799625e+00,7.913897818812200002e-01,1.869714791726252434e+00,5.505833122159493609e-01
5.714285714285713969e-01,3.048815611588481245e-01,1.685500841877417555e+00,1.455646727544887220e+00,1.249109081530960896e+00,1.061554751543458908e+00,8.097346752615035559e-01,1.884517344231896541e+00,5.663203665264943121e-01
6.530612244897958663e-01,3.144097295263026948e-01,1.700126740184250140e+00,1.471667919903393518e+00,1.266512322500209065e+00,1.079586024857095650e+00,8.263244594964623824e-01,1.896831934624298555e+00,5.807508877351028609e-01
7.346938775510203357e-01,3.231629483651892176e-01,1.712517257074085197e+00,1.485869804881902123e+00,1.282000948865428702e+00,1.095461821787224510e+00,8.412188028976027576e-01,1.906751008624446131e+00,5.939144545777091944e-01
8.163265306122448051e-01,3.311658913073951549e-01,1.722749388974174067e+00,1.498299506083742516e+00,1.295635665310963525e+00,1.109263221847361036e+00,8.544773737764308486e-01,1.914367011953327591e+00,6.058506457902476106e-01
8.979591836734692745e-01,3.384432319848079684e-01,1.730900132311768314e+00,1.509004147112243954e+00,1.307477176521155915e+00,1.121071304551019443e+00,8.661598404444528221e-01,1.919772390331930367e+00,6.165990401086519634e-01
