# time,u_0,95CLI,u_1,95CLI,u_2,95CLI,vs,reorientationtime
9.997999999999999332e+00,-1.215848963687500561e-01,2.338689949898083154e-02,1.467985244687498338e-02,1.582804915306585888e-02,-1.142006226562500629e-02,1.584843423941709184e-02,4.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,-1.332997519550000176e-01,2.850026527173176935e-02,-1.321242768999995529e-02,1.975929903506265864e-02,-7.791706859999997237e-03,1.946460309098653821e-02,5.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,-1.173507627357142924e-01,2.582537351398212638e-02,-1.698715300714287099e-02,2.217506579569723107e-02,2.071271209999998170e-02,1.933255501230212933e-02,6.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,-7.335758078999995990e-02,3.171896982459777858e-02,6.627295440000012181e-03,3.179219315806624396e-02,1.896140919999985200e-03,2.370629480822661686e-02,7.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,-9.960018738749998324e-02,3.000951005494869456e-02,1.261081979999998867e-02,1.994198676575030180e-02,3.052388962499964775e-03,3.615313191920137975e-02,8.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,-9.600698414531250169e-02,1.219826443096975327e-02,-9.858594890624805714e-04,1.023912925638536739e-02,3.010767109375023926e-04,1.006285163188162107e-02,2.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,-1.252696702300884757e-01,1.819080517004394507e-02,-1.615789539822999523e-03,1.645038606310421023e-02,4.664661350442475887e-03,1.235141987195738540e-02,3.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,-5.312688142734373065e-02,6.494098271583126879e-03,5.705096572265659985e-04,6.015353575062733736e-03,-5.288099157421879450e-03,5.790641505532470937e-03,1.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,-1.156207598785713581e-01,2.853805235961814207e-02,-1.255419814999997677e-02,1.945902294298947760e-02,-1.602630830714284541e-02,1.681961665313891699e-02,6.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,-1.333080452900000101e-01,3.986095807212049202e-02,1.383373559999967212e-03,2.563656479210920172e-02,-8.945751919999942597e-03,2.763305649542117590e-02,7.000000000000000000e+00,1.000000000000000000e+00
