# time,average_velocity_axis_0_t_inf,95CLI,vs,reorientationtime
9.997999999999999332e+00,6.678949149204841396e-01,2.445574908227127545e-02,4.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,8.340619123824766223e-01,2.427889811060099379e-02,5.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,1.064568713742748418e+00,2.763573012649053751e-02,6.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,1.261204570914183032e+00,3.811777968608787148e-02,7.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,1.505422847069413983e+00,3.134408743815478987e-02,8.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,2.516578460223294900e-01,1.275837430968403997e-02,2.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,4.534393294588122125e-01,1.851213393174844582e-02,3.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,1.147496648743811382e-01,6.313568321960129869e-03,1.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,9.905812448203927811e-01,3.147001048600055889e-02,6.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,1.174181781356271381e+00,2.530737978923638248e-02,7.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,3.510883805079600961e-01,1.955032172530683440e-02,3.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,7.448927610522104725e-01,3.188190306216981407e-02,5.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,7.501986432442739328e-02,6.148780174425269758e-03,1.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,1.387743598719743954e+00,4.454931178610616049e-02,8.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,1.968709581760101912e-01,1.131910520828661310e-02,2.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,5.209331506926385691e-01,2.402669551864072828e-02,4.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,1.001189787957591504e+00,4.768768530197337041e-02,7.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,1.230140915683136882e+00,4.892012430920830018e-02,8.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,1.231008225082516616e-01,1.110881514004733242e-02,2.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,2.724535668195586235e-01,2.113186125213856875e-02,3.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,7.814164154259425343e-01,3.537616550474748101e-02,6.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,4.507193049938112983e-02,6.194460797703591273e-03,1.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,3.988501762852570409e-01,2.805056742895391600e-02,4.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,5.994200265053011289e-01,3.147586974228716583e-02,5.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,6.807693002886291422e-01,5.820924670447868293e-02,6.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,3.285995392437862650e-02,6.167501410909664514e-03,1.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,3.034879788457691685e-01,2.720692443846206565e-02,4.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,1.913288259421795923e-01,1.917221666903201616e-02,3.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,9.661949342993600420e-02,1.222886734707095795e-02,2.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,1.081972025655131064e+00,6.047602750384162285e-02,8.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,5.062161082216443120e-01,4.084158275017635981e-02,5.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,8.292161432286457856e-01,6.053848558554250636e-02,7.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,2.629001222119423664e-01,2.593897256698487336e-02,4.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,5.819182908010173128e-01,5.749247811262363228e-02,6.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,4.054843668733747464e-01,3.709755218476890049e-02,5.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,1.445379509530224649e-01,1.664251239320878664e-02,3.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,6.930126689400380180e-02,1.063771848067421658e-02,2.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,2.314770415020504096e-02,6.194075629955909761e-03,1.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,7.263576915383076482e-01,1.030310387160263824e-01,7.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,9.423637852570514450e-01,8.565800074214874327e-02,8.000000000000000000e+00,4.000000000000000000e+00
