# omega_z*kolmogorov_time,angle_z
-3.937500000000000000e+00,nan
-3.812500000000000000e+00,nan
-3.687500000000000000e+00,nan
-3.562500000000000000e+00,nan
-3.437500000000000000e+00,nan
-3.312500000000000000e+00,nan
-3.187500000000000000e+00,nan
-3.062500000000000000e+00,nan
-2.937500000000000000e+00,nan
-2.812500000000000000e+00,nan
-2.687500000000000000e+00,nan
-2.562500000000000000e+00,nan
-2.437500000000000000e+00,nan
-2.312500000000000000e+00,nan
-2.187500000000000000e+00,1.092850213246956192e+00
-2.062500000000000000e+00,1.275345972808590078e+00
-1.937500000000000000e+00,1.218115523418634494e+00
-1.812500000000000000e+00,9.829909795099225356e-01
-1.687500000000000000e+00,1.002130314143396372e+00
-1.562500000000000000e+00,9.999774565538747106e-01
-1.437500000000000000e+00,8.690046623839279283e-01
-1.312500000000000000e+00,7.800610762223001426e-01
-1.187500000000000000e+00,6.754988495355287448e-01
-1.062500000000000000e+00,5.972542601288376440e-01
-9.375000000000000000e-01,5.132471936688205449e-01
-8.125000000000000000e-01,4.370620522418867671e-01
-6.875000000000000000e-01,3.862223869733029669e-01
-5.625000000000000000e-01,3.245632255783231224e-01
-4.375000000000000000e-01,2.530454713854574100e-01
-3.125000000000000000e-01,1.805795225928077674e-01
-1.875000000000000000e-01,1.085056694419611889e-01
-6.250000000000000000e-02,3.711266511702062537e-02
6.250000000000000000e-02,-3.488864982134298048e-02
1.875000000000000000e-01,-1.095717470469605159e-01
3.125000000000000000e-01,-1.817417793872362353e-01
4.375000000000000000e-01,-2.553959053787821509e-01
5.625000000000000000e-01,-3.229515144470262444e-01
6.875000000000000000e-01,-3.819589501151311461e-01
8.125000000000000000e-01,-4.427264977898612841e-01
9.375000000000000000e-01,-5.006911813879285633e-01
1.062500000000000000e+00,-5.537572314577986488e-01
1.187500000000000000e+00,-6.040234591084788773e-01
1.312500000000000000e+00,-6.302758838900797134e-01
1.437500000000000000e+00,-6.927614983180946373e-01
1.562500000000000000e+00,-7.956881627086271891e-01
1.687500000000000000e+00,-8.719101409746474740e-01
1.812500000000000000e+00,-9.195386078600265023e-01
1.937500000000000000e+00,-1.034727528152512122e+00
2.062500000000000000e+00,-1.161749860630635345e+00
2.187500000000000000e+00,-1.246458269332396007e+00
2.312500000000000000e+00,-1.189944755651748620e+00
2.437500000000000000e+00,-1.570369363699952059e+00
2.562500000000000000e+00,-2.498431705813144887e+00
2.687500000000000000e+00,-9.479967187237626769e-01
2.812500000000000000e+00,-1.387025255835335091e+00
2.937500000000000000e+00,-1.798165085355760251e+00
3.062500000000000000e+00,-1.286387254409958159e+00
3.187500000000000000e+00,-1.048509182820223373e-01
3.312500000000000000e+00,nan
3.437500000000000000e+00,nan
3.562500000000000000e+00,nan
3.687500000000000000e+00,nan
3.812500000000000000e+00,nan
3.937500000000000000e+00,nan
