# omega_z*kolmogorov_time,p_x
-3.937500000000000000e+00,nan
-3.812500000000000000e+00,nan
-3.687500000000000000e+00,nan
-3.562500000000000000e+00,nan
-3.437500000000000000e+00,nan
-3.312500000000000000e+00,nan
-3.187500000000000000e+00,nan
-3.062500000000000000e+00,nan
-2.937500000000000000e+00,nan
-2.812500000000000000e+00,nan
-2.687500000000000000e+00,nan
-2.562500000000000000e+00,nan
-2.437500000000000000e+00,nan
-2.312500000000000000e+00,nan
-2.187500000000000000e+00,nan
-2.062500000000000000e+00,nan
-1.937500000000000000e+00,nan
-1.812500000000000000e+00,nan
-1.687500000000000000e+00,nan
-1.562500000000000000e+00,nan
-1.437500000000000000e+00,nan
-1.312500000000000000e+00,nan
-1.187500000000000000e+00,nan
-1.062500000000000000e+00,nan
-9.375000000000000000e-01,-1.116227768910413420e+00
-8.125000000000000000e-01,-8.178648352838473468e-01
-6.875000000000000000e-01,-6.346943105523780160e-01
-5.625000000000000000e-01,-4.856292729288440024e-01
-4.375000000000000000e-01,-3.672506031330807219e-01
-3.125000000000000000e-01,-2.514462257034886794e-01
-1.875000000000000000e-01,-1.488022099416668742e-01
-6.250000000000000000e-02,-4.928122676862706220e-02
6.250000000000000000e-02,4.928122676862706220e-02
1.875000000000000000e-01,1.488022099416668742e-01
3.125000000000000000e-01,2.514462257034886794e-01
4.375000000000000000e-01,3.672506031330807219e-01
5.625000000000000000e-01,4.856292729288440024e-01
6.875000000000000000e-01,6.346943105523780160e-01
8.125000000000000000e-01,8.178648352838473468e-01
9.375000000000000000e-01,1.116227768910413420e+00
1.062500000000000000e+00,nan
1.187500000000000000e+00,nan
1.312500000000000000e+00,nan
1.437500000000000000e+00,nan
1.562500000000000000e+00,nan
1.687500000000000000e+00,nan
1.812500000000000000e+00,nan
1.937500000000000000e+00,nan
2.062500000000000000e+00,nan
2.187500000000000000e+00,nan
2.312500000000000000e+00,nan
2.437500000000000000e+00,nan
2.562500000000000000e+00,nan
2.687500000000000000e+00,nan
2.812500000000000000e+00,nan
2.937500000000000000e+00,nan
3.062500000000000000e+00,nan
3.187500000000000000e+00,nan
3.312500000000000000e+00,nan
3.437500000000000000e+00,nan
3.562500000000000000e+00,nan
3.687500000000000000e+00,nan
3.812500000000000000e+00,nan
3.937500000000000000e+00,nan
