# omega_z*kolmogorov_time,p_x
-3.937500000000000000e+00,nan
-3.812500000000000000e+00,nan
-3.687500000000000000e+00,nan
-3.562500000000000000e+00,2.401567499999999744e-01
-3.437500000000000000e+00,-1.134330769230769004e-01
-3.312500000000000000e+00,-2.317251025641025586e-01
-3.187500000000000000e+00,-2.452669999999999850e-01
-3.062500000000000000e+00,-2.529854285714284168e-01
-2.937500000000000000e+00,-2.206732628571427823e-01
-2.812500000000000000e+00,-1.036019736842107124e-02
-2.687500000000000000e+00,1.707905690140846811e-01
-2.562500000000000000e+00,8.728031313131315305e-02
-2.437500000000000000e+00,6.500650209205012520e-02
-2.312500000000000000e+00,3.812771566054239808e-02
-2.187500000000000000e+00,4.476460726072607060e-02
-2.062500000000000000e+00,6.418458255813951074e-02
-1.937500000000000000e+00,1.303407695688571510e-01
-1.812500000000000000e+00,2.019412513470218995e-01
-1.687500000000000000e+00,2.392996622058139733e-01
-1.562500000000000000e+00,3.065194586351502326e-01
-1.437500000000000000e+00,3.543750409120523526e-01
-1.312500000000000000e+00,4.107900900026377200e-01
-1.187500000000000000e+00,4.776260892129610136e-01
-1.062500000000000000e+00,5.364046072371799756e-01
-9.375000000000000000e-01,6.009142989479673291e-01
-8.125000000000000000e-01,6.501343941232610169e-01
-6.875000000000000000e-01,7.033407283859409720e-01
-5.625000000000000000e-01,7.510436802395498157e-01
-4.375000000000000000e-01,7.947372795277367619e-01
-3.125000000000000000e-01,8.244310983312899133e-01
-1.875000000000000000e-01,8.461247090913271984e-01
-6.250000000000000000e-02,8.596644564235206287e-01
6.250000000000000000e-02,8.582878449855577685e-01
1.875000000000000000e-01,8.461291819265212011e-01
3.125000000000000000e-01,8.240008061473474976e-01
4.375000000000000000e-01,7.912042821637534917e-01
5.625000000000000000e-01,7.553096611866789711e-01
6.875000000000000000e-01,7.124462650798869534e-01
8.125000000000000000e-01,6.622651766166877119e-01
9.375000000000000000e-01,6.100053724517735532e-01
1.062500000000000000e+00,5.494450961659560484e-01
1.187500000000000000e+00,4.986700177584835747e-01
1.312500000000000000e+00,4.394525215031284682e-01
1.437500000000000000e+00,3.881631237744498364e-01
1.562500000000000000e+00,3.364109429812270902e-01
1.687500000000000000e+00,2.951454623013760048e-01
1.812500000000000000e+00,2.366859614784777854e-01
1.937500000000000000e+00,1.424820247902365833e-01
2.062500000000000000e+00,9.399313083333314667e-02
2.187500000000000000e+00,9.168259759243337081e-02
2.312500000000000000e+00,8.041512444160825446e-02
2.437500000000000000e+00,1.679586733668342324e-02
2.562500000000000000e+00,-5.930882692307701265e-02
2.687500000000000000e+00,-2.428725986547087268e-01
2.812500000000000000e+00,-2.002460779220779641e-01
2.937500000000000000e+00,-1.407300062111802308e-01
3.062500000000000000e+00,-3.278547619047618433e-02
3.187500000000000000e+00,-6.315775757575756155e-02
3.312500000000000000e+00,-3.321783703703704016e-01
3.437500000000000000e+00,-5.376653333333333284e-01
3.562500000000000000e+00,-4.059685263157894464e-01
3.687500000000000000e+00,-6.887564705882352756e-02
3.812500000000000000e+00,-1.159422499999999828e-01
3.937500000000000000e+00,-2.082894000000000134e-01
