# duxdy*kolmogorov_time,p_x
-3.937500000000000000e+00,nan
-3.812500000000000000e+00,nan
-3.687500000000000000e+00,nan
-3.562500000000000000e+00,nan
-3.437500000000000000e+00,nan
-3.312500000000000000e+00,nan
-3.187500000000000000e+00,nan
-3.062500000000000000e+00,nan
-2.937500000000000000e+00,nan
-2.812500000000000000e+00,nan
-2.687500000000000000e+00,nan
-2.562500000000000000e+00,nan
-2.437500000000000000e+00,1.540555555555555844e-01
-2.312500000000000000e+00,3.403202173913043582e-01
-2.187500000000000000e+00,-9.346416279069774680e-02
-2.062500000000000000e+00,-7.766865934065930732e-02
-1.937500000000000000e+00,2.023352974683544914e-01
-1.812500000000000000e+00,1.805816563573883760e-01
-1.687500000000000000e+00,1.405399856115107683e-02
-1.562500000000000000e+00,1.553406082474228789e-01
-1.437500000000000000e+00,7.086560606060621215e-02
-1.312500000000000000e+00,8.420339062879343695e-02
-1.187500000000000000e+00,1.134958069234521388e-01
-1.062500000000000000e+00,1.641477779835928408e-01
-9.375000000000000000e-01,2.354321439774938463e-01
-8.125000000000000000e-01,3.063533520434039703e-01
-6.875000000000000000e-01,3.561080211901432868e-01
-5.625000000000000000e-01,4.180769219809608028e-01
-4.375000000000000000e-01,4.798017551020353211e-01
-3.125000000000000000e-01,5.278027818669462912e-01
-1.875000000000000000e-01,5.644023381944894835e-01
-6.250000000000000000e-02,5.850551703508215518e-01
6.250000000000000000e-02,5.794111172446038127e-01
1.875000000000000000e-01,5.608146439684786877e-01
3.125000000000000000e-01,5.169945383817056150e-01
4.375000000000000000e-01,4.639427596316574864e-01
5.625000000000000000e-01,3.988941293781906872e-01
6.875000000000000000e-01,3.619981846403567682e-01
8.125000000000000000e-01,3.295539612620298486e-01
9.375000000000000000e-01,2.682807988786867770e-01
1.062500000000000000e+00,2.396753185320868174e-01
1.187500000000000000e+00,1.887308045950860103e-01
1.312500000000000000e+00,1.819796923236088881e-01
1.437500000000000000e+00,9.304192994858616339e-02
1.562500000000000000e+00,-1.817780565167235671e-02
1.687500000000000000e+00,1.030253087843832766e-01
1.812500000000000000e+00,1.525222242990648472e-02
1.937500000000000000e+00,2.032470462962963353e-01
2.062500000000000000e+00,-2.953830701754394869e-02
2.187500000000000000e+00,9.195255319148911560e-03
2.312500000000000000e+00,3.437138666666671866e-02
2.437500000000000000e+00,2.426444000000000101e-01
2.562500000000000000e+00,3.639822307692307524e-01
2.687500000000000000e+00,nan
2.812500000000000000e+00,nan
2.937500000000000000e+00,nan
3.062500000000000000e+00,nan
3.187500000000000000e+00,nan
3.312500000000000000e+00,nan
3.437500000000000000e+00,nan
3.562500000000000000e+00,nan
3.687500000000000000e+00,nan
3.812500000000000000e+00,nan
3.937500000000000000e+00,nan
