# duxdy*kolmogorov_time,p_y
-3.937500000000000000e+00,nan
-3.812500000000000000e+00,nan
-3.687500000000000000e+00,nan
-3.562500000000000000e+00,nan
-3.437500000000000000e+00,nan
-3.312500000000000000e+00,nan
-3.187500000000000000e+00,nan
-3.062500000000000000e+00,nan
-2.937500000000000000e+00,nan
-2.812500000000000000e+00,nan
-2.687500000000000000e+00,nan
-2.562500000000000000e+00,nan
-2.437500000000000000e+00,nan
-2.312500000000000000e+00,6.983100000000000418e-02
-2.187500000000000000e+00,1.535007567567567288e-01
-2.062500000000000000e+00,4.311171258741260948e-01
-1.937500000000000000e+00,2.974129336099582965e-01
-1.812500000000000000e+00,2.553800149812733289e-01
-1.687500000000000000e+00,1.833160263157892766e-01
-1.562500000000000000e+00,2.372403930789707960e-01
-1.437500000000000000e+00,1.365716812641084299e-01
-1.312500000000000000e+00,1.950836068538786827e-01
-1.187500000000000000e+00,2.524398787960225321e-01
-1.062500000000000000e+00,2.519692854071484689e-01
-9.375000000000000000e-01,2.105193786613963336e-01
-8.125000000000000000e-01,2.299039003824376870e-01
-6.875000000000000000e-01,2.350141644281339426e-01
-5.625000000000000000e-01,2.319102955219596307e-01
-4.375000000000000000e-01,1.996760566639421419e-01
-3.125000000000000000e-01,1.654917708965244760e-01
-1.875000000000000000e-01,1.160761510207613256e-01
-6.250000000000000000e-02,4.369004651162878422e-02
6.250000000000000000e-02,-3.049139996928032156e-02
1.875000000000000000e-01,-9.733862992192755803e-02
3.125000000000000000e-01,-1.506995254178266352e-01
4.375000000000000000e-01,-2.075385304305893130e-01
5.625000000000000000e-01,-2.327101958872465903e-01
6.875000000000000000e-01,-2.314748974304742524e-01
8.125000000000000000e-01,-2.348905619323365668e-01
9.375000000000000000e-01,-2.399642358039155432e-01
1.062500000000000000e+00,-2.102340155868178684e-01
1.187500000000000000e+00,-2.446136799382372384e-01
1.312500000000000000e+00,-1.876472721205181549e-01
1.437500000000000000e+00,-1.781029747974794686e-01
1.562500000000000000e+00,-2.463584037467700383e-01
1.687500000000000000e+00,-1.618097175141242350e-01
1.812500000000000000e+00,-2.006562100538599458e-01
1.937500000000000000e+00,-1.706079213973798192e-01
2.062500000000000000e+00,-3.483994965986394465e-01
2.187500000000000000e+00,1.660683098591549112e-02
2.312500000000000000e+00,2.101168205128204902e-01
2.437500000000000000e+00,1.275570217391304162e-01
2.562500000000000000e+00,1.213314285714282587e-03
2.687500000000000000e+00,1.010240000000000027e-01
2.812500000000000000e+00,7.164813725490194740e-02
2.937500000000000000e+00,2.532973714285714495e-01
3.062500000000000000e+00,-3.886327692307692261e-01
3.187500000000000000e+00,-7.726791000000000631e-01
3.312500000000000000e+00,-9.104490909090909856e-01
3.437500000000000000e+00,nan
3.562500000000000000e+00,nan
3.687500000000000000e+00,nan
3.812500000000000000e+00,nan
3.937500000000000000e+00,nan
