# omega_z*kolmogorov_time,angle_z
-3.937500000000000000e+00,-5.358144230838745026e-01
-3.812500000000000000e+00,-5.432808913712022791e-01
-3.687500000000000000e+00,3.656325119785897027e-02
-3.562500000000000000e+00,1.081215832072989214e+00
-3.437500000000000000e+00,2.254620997840639074e+00
-3.312500000000000000e+00,2.449135081709919337e+00
-3.187500000000000000e+00,1.171832531875889760e+00
-3.062500000000000000e+00,2.865710941238733156e+00
-2.937500000000000000e+00,2.334136770655321325e+00
-2.812500000000000000e+00,-1.482329993111520583e+00
-2.687500000000000000e+00,-1.252121833276212293e+00
-2.562500000000000000e+00,-1.356191718803604562e+00
-2.437500000000000000e+00,-1.833309998204419644e+00
-2.312500000000000000e+00,-1.318909106687042643e+00
-2.187500000000000000e+00,-1.158148748889707091e+00
-2.062500000000000000e+00,-1.576721457724729714e+00
-1.937500000000000000e+00,-1.507391938763364969e+00
-1.812500000000000000e+00,-1.439378404471550077e+00
-1.687500000000000000e+00,-1.378918449884962261e+00
-1.562500000000000000e+00,-1.284089485997895963e+00
-1.437500000000000000e+00,-1.311821294732782306e+00
-1.312500000000000000e+00,-1.223609752642494941e+00
-1.187500000000000000e+00,-1.106915981358205459e+00
-1.062500000000000000e+00,-1.007663711047849686e+00
-9.375000000000000000e-01,-9.083503166366659887e-01
-8.125000000000000000e-01,-8.004267110774052618e-01
-6.875000000000000000e-01,-6.741104936972364126e-01
-5.625000000000000000e-01,-5.548102381493003055e-01
-4.375000000000000000e-01,-4.449777646661084440e-01
-3.125000000000000000e-01,-3.307465048809288266e-01
-1.875000000000000000e-01,-2.006678037128344638e-01
-6.250000000000000000e-02,-5.719711149184211058e-02
6.250000000000000000e-02,8.960461960321523811e-02
1.875000000000000000e-01,2.271438977590311548e-01
3.125000000000000000e-01,3.555235282289960219e-01
4.375000000000000000e-01,4.671040116812213983e-01
5.625000000000000000e-01,6.010239998354429680e-01
6.875000000000000000e-01,7.082154907032177649e-01
8.125000000000000000e-01,7.992019232935427819e-01
9.375000000000000000e-01,9.007505096697182578e-01
1.062500000000000000e+00,1.005896768223758064e+00
1.187500000000000000e+00,1.132714379571127417e+00
1.312500000000000000e+00,1.204768001425601032e+00
1.437500000000000000e+00,1.265109831859051459e+00
1.562500000000000000e+00,1.330704567973799657e+00
1.687500000000000000e+00,1.483506217366662661e+00
1.812500000000000000e+00,1.456487806534462415e+00
1.937500000000000000e+00,1.688505773368921270e+00
2.062500000000000000e+00,1.696509639573964057e+00
2.187500000000000000e+00,1.661245268251855700e+00
2.312500000000000000e+00,1.584289274232205225e+00
2.437500000000000000e+00,1.879762967402159868e+00
2.562500000000000000e+00,1.642594023624149857e+00
2.687500000000000000e+00,1.778266181158085990e+00
2.812500000000000000e+00,9.515990971918550922e-01
2.937500000000000000e+00,1.851977157460688028e+00
3.062500000000000000e+00,7.587275320821773583e-01
3.187500000000000000e+00,1.451885434072402115e+00
3.312500000000000000e+00,1.394613953374994386e+00
3.437500000000000000e+00,-3.051144277887024359e+00
3.562500000000000000e+00,nan
3.687500000000000000e+00,nan
3.812500000000000000e+00,nan
3.937500000000000000e+00,nan
