# omega_z*kolmogorov_time,p_y
-3.937500000000000000e+00,1.306468571428571757e-01
-3.812500000000000000e+00,4.024609000000000103e-01
-3.687500000000000000e+00,5.031413999999999609e-01
-3.562500000000000000e+00,3.624712380952380686e-01
-3.437500000000000000e+00,-1.637724523809524491e-01
-3.312500000000000000e+00,5.834928571428574934e-02
-3.187500000000000000e+00,1.136205806451613121e-01
-3.062500000000000000e+00,1.277184662162162143e-01
-2.937500000000000000e+00,1.566807033898304502e-01
-2.812500000000000000e+00,-1.789248448275862768e-01
-2.687500000000000000e+00,2.721184415584422100e-03
-2.562500000000000000e+00,4.823911340206190473e-02
-2.437500000000000000e+00,-1.019160112359551208e-02
-2.312500000000000000e+00,-9.138672151898749596e-02
-2.187500000000000000e+00,-1.101127759756712621e-01
-2.062500000000000000e+00,-9.801302880498234671e-02
-1.937500000000000000e+00,-1.866308167791706496e-01
-1.812500000000000000e+00,-2.392778044471515209e-01
-1.687500000000000000e+00,-1.823972758231617586e-01
-1.562500000000000000e+00,-1.935679823343421646e-01
-1.437500000000000000e+00,-2.067872635662666991e-01
-1.312500000000000000e+00,-2.082502735888864254e-01
-1.187500000000000000e+00,-2.099023553199346193e-01
-1.062500000000000000e+00,-2.099680926960963423e-01
-9.375000000000000000e-01,-2.172392987414052123e-01
-8.125000000000000000e-01,-2.101068831364492906e-01
-6.875000000000000000e-01,-2.055312520962496448e-01
-5.625000000000000000e-01,-1.763165489383254070e-01
-4.375000000000000000e-01,-1.422910941151222242e-01
-3.125000000000000000e-01,-1.060284852906792780e-01
-1.875000000000000000e-01,-6.965455446955251539e-02
-6.250000000000000000e-02,-2.379864093825244387e-02
6.250000000000000000e-02,3.459957103232488146e-02
1.875000000000000000e-01,8.570825269262093149e-02
3.125000000000000000e-01,1.298096785310323131e-01
4.375000000000000000e-01,1.637955247382774093e-01
5.625000000000000000e-01,1.858568154024843877e-01
6.875000000000000000e-01,2.113056923453413283e-01
8.125000000000000000e-01,2.212953172680526270e-01
9.375000000000000000e-01,2.208063837687303244e-01
1.062500000000000000e+00,2.250768693715176905e-01
1.187500000000000000e+00,2.239970167824972824e-01
1.312500000000000000e+00,2.088694545276487680e-01
1.437500000000000000e+00,1.885330626301835455e-01
1.562500000000000000e+00,1.663465716586151610e-01
1.687500000000000000e+00,2.086124836483644884e-01
1.812500000000000000e+00,1.759899181848856298e-01
1.937500000000000000e+00,1.459880113008541758e-01
2.062500000000000000e+00,1.350377716632442660e-01
2.187500000000000000e+00,4.432533317214696483e-02
2.312500000000000000e+00,8.984797579529735234e-02
2.437500000000000000e+00,1.075553382716048501e-01
2.562500000000000000e+00,4.724859605911328059e-02
2.687500000000000000e+00,6.426474212034379019e-02
2.812500000000000000e+00,6.878012420382167980e-02
2.937500000000000000e+00,2.272821940928269890e-02
3.062500000000000000e+00,2.246747169811322276e-02
3.187500000000000000e+00,-2.153733066666667084e-01
3.312500000000000000e+00,-1.793801076923076943e-01
3.437500000000000000e+00,-8.808333333333331211e-03
3.562500000000000000e+00,4.170400000000001189e-02
3.687500000000000000e+00,7.586540000000001338e-02
3.812500000000000000e+00,4.809200000000000280e-02
3.937500000000000000e+00,-5.719729411764709615e-02
