# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.439999999999999725e-01,1.586408066860465205e-01,1.123926908615706655e-01
6.899999999999999467e-01,2.532883152173913688e-01,9.157771176831372428e-02
1.034000000000000030e+00,2.881267377901354232e-01,7.404266410440893398e-02
1.379999999999999893e+00,3.193275815217391234e-01,6.420986951669221954e-02
1.723999999999999977e+00,3.263974224187935480e-01,6.005086775027618923e-02
2.068000000000000060e+00,3.203714186411992237e-01,5.335300891602559603e-02
2.414000000000000146e+00,3.259555846106048094e-01,4.863495413256423844e-02
2.758000000000000007e+00,3.212075269670051081e-01,4.648897750494966619e-02
3.101999999999999869e+00,3.215907327933591464e-01,4.169589693658223156e-02
3.447999999999999954e+00,3.266843142763921071e-01,3.970747116080527300e-02
3.791999999999999815e+00,3.257353103573312758e-01,3.866190823135566557e-02
4.137999999999999901e+00,3.269875392701788175e-01,3.745549692088503274e-02
4.482000000000000206e+00,3.392456248605533187e-01,3.701604408321058221e-02
4.825999999999999623e+00,3.446267580553253884e-01,3.647703046638028912e-02
5.171999999999999709e+00,3.428019141531323255e-01,3.510659947355598137e-02
5.516000000000000014e+00,3.409455419461566716e-01,3.487918615010454637e-02
5.860000000000000320e+00,3.452030876706484452e-01,3.376864602223619144e-02
6.206000000000000405e+00,3.495497678657750740e-01,3.437373547764083909e-02
6.549999999999999822e+00,3.510059327290076525e-01,3.373456529351886307e-02
6.895999999999999908e+00,3.527468006815545065e-01,3.248762868451698926e-02
7.240000000000000213e+00,3.557568046443370102e-01,3.148657320311483432e-02
7.583999999999999631e+00,3.572337012954904800e-01,3.097122702995547261e-02
7.929999999999999716e+00,3.588058204602774248e-01,2.998424828888833493e-02
8.273999999999999133e+00,3.601551225978970594e-01,2.903757618396526907e-02
8.618000000000000327e+00,3.604748491529357057e-01,2.892222523755449276e-02
8.964000000000000412e+00,3.601900327002454105e-01,2.746714584877517004e-02
9.307999999999999829e+00,3.600377598571121718e-01,2.673348100373705225e-02
9.653999999999999915e+00,3.579210155764449564e-01,2.671466451646339196e-02
9.997999999999999332e+00,3.595719722069413704e-01,2.644259817081260830e-02
