# omega_z*kolmogorov_time,angle_z
-3.937500000000000000e+00,nan
-3.812500000000000000e+00,-2.469866959811182650e+00
-3.687500000000000000e+00,-2.644259180053894820e+00
-3.562500000000000000e+00,3.056050315014343433e+00
-3.437500000000000000e+00,2.948656152901210081e+00
-3.312500000000000000e+00,2.890519453866112087e+00
-3.187500000000000000e+00,2.988982878094021967e+00
-3.062500000000000000e+00,2.548306174661370882e+00
-2.937500000000000000e+00,2.610812343231852850e+00
-2.812500000000000000e+00,2.432257191675907038e+00
-2.687500000000000000e+00,2.376455456514114495e+00
-2.562500000000000000e+00,2.279799685548459021e+00
-2.437500000000000000e+00,2.155853681488731244e+00
-2.312500000000000000e+00,2.014321072377459831e+00
-2.187500000000000000e+00,1.959252740337184440e+00
-2.062500000000000000e+00,1.794536527317474484e+00
-1.937500000000000000e+00,1.671440243486622679e+00
-1.812500000000000000e+00,1.601611421576911720e+00
-1.687500000000000000e+00,1.452959794937719540e+00
-1.562500000000000000e+00,1.348815345340480532e+00
-1.437500000000000000e+00,1.188407167119587937e+00
-1.312500000000000000e+00,1.094685239597208648e+00
-1.187500000000000000e+00,9.367079728485843138e-01
-1.062500000000000000e+00,8.427852472415185980e-01
-9.375000000000000000e-01,7.391384502936559908e-01
-8.125000000000000000e-01,6.220016480983031615e-01
-6.875000000000000000e-01,5.288383009795973866e-01
-5.625000000000000000e-01,4.428910900294119601e-01
-4.375000000000000000e-01,3.452044984218584078e-01
-3.125000000000000000e-01,2.429508247617052641e-01
-1.875000000000000000e-01,1.485821553207984369e-01
-6.250000000000000000e-02,4.799575047748019102e-02
6.250000000000000000e-02,-4.801605518390836269e-02
1.875000000000000000e-01,-1.477141827313865341e-01
3.125000000000000000e-01,-2.460092467484350232e-01
4.375000000000000000e-01,-3.476567620999518882e-01
5.625000000000000000e-01,-4.464264411553332534e-01
6.875000000000000000e-01,-5.421616311702536217e-01
8.125000000000000000e-01,-6.287944984393021297e-01
9.375000000000000000e-01,-7.150255062006023454e-01
1.062500000000000000e+00,-8.098169358153468611e-01
1.187500000000000000e+00,-9.152932906889662545e-01
1.312500000000000000e+00,-1.022602888154026557e+00
1.437500000000000000e+00,-1.124343541173911998e+00
1.562500000000000000e+00,-1.218430198850102508e+00
1.687500000000000000e+00,-1.356751123548777471e+00
1.812500000000000000e+00,-1.547234939374579898e+00
1.937500000000000000e+00,-1.672116116841618094e+00
2.062500000000000000e+00,-1.826046837921126098e+00
2.187500000000000000e+00,-1.972126518536291284e+00
2.312500000000000000e+00,-2.059128829252762305e+00
2.437500000000000000e+00,-2.167332537832846739e+00
2.562500000000000000e+00,-2.073394885699918699e+00
2.687500000000000000e+00,-2.400560214241041823e+00
2.812500000000000000e+00,-2.509046484108881536e+00
2.937500000000000000e+00,-2.534177374095464508e+00
3.062500000000000000e+00,-2.617850267815468701e+00
3.187500000000000000e+00,-2.679104067612206208e+00
3.312500000000000000e+00,-2.203429109644083894e+00
3.437500000000000000e+00,-2.525060542411905473e+00
3.562500000000000000e+00,-2.833764266568804313e+00
3.687500000000000000e+00,-2.903849884498933775e+00
3.812500000000000000e+00,3.126862536012899429e+00
3.937500000000000000e+00,-2.689527462185561379e+00
