# omega_z*kolmogorov_time,angle_z
-3.937500000000000000e+00,nan
-3.812500000000000000e+00,nan
-3.687500000000000000e+00,nan
-3.562500000000000000e+00,nan
-3.437500000000000000e+00,nan
-3.312500000000000000e+00,nan
-3.187500000000000000e+00,nan
-3.062500000000000000e+00,nan
-2.937500000000000000e+00,nan
-2.812500000000000000e+00,-5.296951124147881718e-01
-2.687500000000000000e+00,-5.444390528436999777e-01
-2.562500000000000000e+00,9.994118241402217828e-01
-2.437500000000000000e+00,-2.862604939801261406e+00
-2.312500000000000000e+00,-1.301058941419647619e+00
-2.187500000000000000e+00,3.145302759756036376e-02
-2.062500000000000000e+00,-8.079494369384752073e-01
-1.937500000000000000e+00,-2.368150206463325025e-01
-1.812500000000000000e+00,4.347265175425527040e-01
-1.687500000000000000e+00,-1.708787167653178729e+00
-1.562500000000000000e+00,-2.401704381031827928e+00
-1.437500000000000000e+00,-2.113525055158601340e+00
-1.312500000000000000e+00,-1.717062896191606569e+00
-1.187500000000000000e+00,-1.648978987145360176e+00
-1.062500000000000000e+00,-1.566701046301858913e+00
-9.375000000000000000e-01,-1.421888113840755086e+00
-8.125000000000000000e-01,-1.320612464664161045e+00
-6.875000000000000000e-01,-1.222271519770745885e+00
-5.625000000000000000e-01,-1.097967356237869785e+00
-4.375000000000000000e-01,-9.699345998196652330e-01
-3.125000000000000000e-01,-7.847296215669627983e-01
-1.875000000000000000e-01,-5.340439683114622804e-01
-6.250000000000000000e-02,-2.003310269706031210e-01
6.250000000000000000e-02,2.133232769359934000e-01
1.875000000000000000e-01,5.477567348965822758e-01
3.125000000000000000e-01,7.837742734228347885e-01
4.375000000000000000e-01,9.772189279365175452e-01
5.625000000000000000e-01,1.110119094607727730e+00
6.875000000000000000e-01,1.201312396835700014e+00
8.125000000000000000e-01,1.288712347512459999e+00
9.375000000000000000e-01,1.396763035097877248e+00
1.062500000000000000e+00,1.410696473247222471e+00
1.187500000000000000e+00,1.511319296664048961e+00
1.312500000000000000e+00,1.524325984248488197e+00
1.437500000000000000e+00,1.620521684349824021e+00
1.562500000000000000e+00,1.526882231533218448e+00
1.687500000000000000e+00,1.492997625482122226e+00
1.812500000000000000e+00,1.259711498185920764e+00
1.937500000000000000e+00,1.447248518244441895e+00
2.062500000000000000e+00,1.709936024497018814e-01
2.187500000000000000e+00,2.926760238373316891e+00
2.312500000000000000e+00,1.840189625985204414e+00
2.437500000000000000e+00,1.656806946493268207e+00
2.562500000000000000e+00,nan
2.687500000000000000e+00,nan
2.812500000000000000e+00,nan
2.937500000000000000e+00,nan
3.062500000000000000e+00,nan
3.187500000000000000e+00,nan
3.312500000000000000e+00,nan
3.437500000000000000e+00,nan
3.562500000000000000e+00,nan
3.687500000000000000e+00,nan
3.812500000000000000e+00,nan
3.937500000000000000e+00,nan
