# duxdy*kolmogorov_time,p_x
-3.937500000000000000e+00,nan
-3.812500000000000000e+00,nan
-3.687500000000000000e+00,nan
-3.562500000000000000e+00,nan
-3.437500000000000000e+00,nan
-3.312500000000000000e+00,nan
-3.187500000000000000e+00,nan
-3.062500000000000000e+00,nan
-2.937500000000000000e+00,nan
-2.812500000000000000e+00,nan
-2.687500000000000000e+00,nan
-2.562500000000000000e+00,2.691434615384615814e-01
-2.437500000000000000e+00,4.383118000000000292e-01
-2.312500000000000000e+00,8.154502391304349063e-01
-2.187500000000000000e+00,4.951536483516483789e-01
-2.062500000000000000e+00,2.625196464646464833e-01
-1.937500000000000000e+00,9.796673717948727045e-02
-1.812500000000000000e+00,-1.238103970149253413e-01
-1.687500000000000000e+00,1.016012333965845942e-02
-1.562500000000000000e+00,1.017889104651162890e-01
-1.437500000000000000e+00,7.702359276315801084e-02
-1.312500000000000000e+00,3.536931555090667978e-02
-1.187500000000000000e+00,2.887054552410107597e-02
-1.062500000000000000e+00,3.161112988300619070e-02
-9.375000000000000000e-01,3.810801627425508542e-02
-8.125000000000000000e-01,7.154977068335927060e-02
-6.875000000000000000e-01,1.274578935603885299e-01
-5.625000000000000000e-01,1.971271605886852352e-01
-4.375000000000000000e-01,2.938288198029177511e-01
-3.125000000000000000e-01,3.966710935890209178e-01
-1.875000000000000000e-01,5.219441092912646685e-01
-6.250000000000000000e-02,6.376905785041330210e-01
6.250000000000000000e-02,6.329189758761057938e-01
1.875000000000000000e-01,5.202126673900046017e-01
3.125000000000000000e-01,4.025658707642031375e-01
4.375000000000000000e-01,2.897724497812981803e-01
5.625000000000000000e-01,2.047001546639695690e-01
6.875000000000000000e-01,1.472030203441545282e-01
8.125000000000000000e-01,8.441777038232917141e-02
9.375000000000000000e-01,5.633159930004857929e-02
1.062500000000000000e+00,3.141719652939210794e-02
1.187500000000000000e+00,2.941500358369425819e-02
1.312500000000000000e+00,7.101108183430458742e-02
1.437500000000000000e+00,1.701181061076605383e-01
1.562500000000000000e+00,1.010800548780487612e-01
1.687500000000000000e+00,6.516038833746894132e-02
1.812500000000000000e+00,7.266323489932892399e-02
1.937500000000000000e+00,1.710824320388349973e-01
2.062500000000000000e+00,1.314299230769231108e-01
2.187500000000000000e+00,1.333911999999999876e-01
2.312500000000000000e+00,1.665738620689654892e-01
2.437500000000000000e+00,4.365824800000000505e-01
2.562500000000000000e+00,2.648115666666665535e-01
2.687500000000000000e+00,nan
2.812500000000000000e+00,nan
2.937500000000000000e+00,nan
3.062500000000000000e+00,nan
3.187500000000000000e+00,nan
3.312500000000000000e+00,nan
3.437500000000000000e+00,nan
3.562500000000000000e+00,nan
3.687500000000000000e+00,nan
3.812500000000000000e+00,nan
3.937500000000000000e+00,nan
