# omega_z*kolmogorov_time,p_x
-3.937500000000000000e+00,nan
-3.812500000000000000e+00,3.809510000000000673e-02
-3.687500000000000000e+00,1.283070000000000044e-01
-3.562500000000000000e+00,3.881711290322581998e-01
-3.437500000000000000e+00,4.539861874999999158e-01
-3.312500000000000000e+00,5.426651486486487874e-01
-3.187500000000000000e+00,5.899041153846157348e-01
-3.062500000000000000e+00,6.348436639344261501e-01
-2.937500000000000000e+00,4.567643016528927236e-01
-2.812500000000000000e+00,2.669708851351351719e-01
-2.687500000000000000e+00,2.022561521739129897e-01
-2.562500000000000000e+00,8.291705315614618377e-02
-2.437500000000000000e+00,3.402870645161290564e-02
-2.312500000000000000e+00,-8.064817167919789698e-02
-2.187500000000000000e+00,-1.359131490461049363e-01
-2.062500000000000000e+00,-1.960793934617633960e-01
-1.937500000000000000e+00,-2.138960661648175998e-01
-1.812500000000000000e+00,-2.614652954131019280e-01
-1.687500000000000000e+00,-2.653880284822484059e-01
-1.562500000000000000e+00,-2.703559586316623964e-01
-1.437500000000000000e+00,-2.040623191043405005e-01
-1.312500000000000000e+00,-1.462755748199965344e-01
-1.187500000000000000e+00,-5.179213675816233403e-02
-1.062500000000000000e+00,4.583021364908752143e-02
-9.375000000000000000e-01,1.396665086476449602e-01
-8.125000000000000000e-01,2.386273565956795462e-01
-6.875000000000000000e-01,3.288011867692005041e-01
-5.625000000000000000e-01,4.206341017846480512e-01
-4.375000000000000000e-01,4.972849073050530366e-01
-3.125000000000000000e-01,5.664151228781850733e-01
-1.875000000000000000e-01,6.150750193169265412e-01
-6.250000000000000000e-02,6.482486617685584429e-01
6.250000000000000000e-02,6.519005102403596652e-01
1.875000000000000000e-01,6.192262550475547966e-01
3.125000000000000000e-01,5.652079759778925183e-01
4.375000000000000000e-01,4.952204708164641977e-01
5.625000000000000000e-01,4.101863783180005329e-01
6.875000000000000000e-01,3.190825039366109173e-01
8.125000000000000000e-01,2.277117282316457325e-01
9.375000000000000000e-01,1.282445558044428002e-01
1.062500000000000000e+00,4.452257256024675508e-02
1.187500000000000000e+00,-5.406538227055909113e-02
1.312500000000000000e+00,-1.597342683761913962e-01
1.437500000000000000e+00,-2.274640190576464605e-01
1.562500000000000000e+00,-2.596964376528129725e-01
1.687500000000000000e+00,-3.040666565943833111e-01
1.812500000000000000e+00,-2.426834029678489879e-01
1.937500000000000000e+00,-2.191251125933826316e-01
2.062500000000000000e+00,-1.396519724086505709e-01
2.187500000000000000e+00,-1.446245020768432421e-01
2.312500000000000000e+00,-7.422136815920410413e-03
2.437500000000000000e+00,1.480722083333332051e-01
2.562500000000000000e+00,1.581145086372360009e-01
2.687500000000000000e+00,3.433954060773483641e-01
2.812500000000000000e+00,3.251342315789478299e-01
2.937500000000000000e+00,4.578405213270141383e-01
3.062500000000000000e+00,5.965466855345910036e-01
3.187500000000000000e+00,7.359946986301371119e-01
3.312500000000000000e+00,7.898647073170733668e-01
3.437500000000000000e+00,7.991442432432432907e-01
3.562500000000000000e+00,5.008599999999999719e-01
3.687500000000000000e+00,4.134833500000000273e-01
3.812500000000000000e+00,nan
3.937500000000000000e+00,nan
