# surftimeconst,average_velocity_axis_0_t_inf__params_8o0,average_velocity_axis_0_t_inf__params_1o0,average_velocity_axis_0_t_inf__params_4o0
0.000000000000000000e+00,2.122374551284807787e+00,2.688625307988782298e-01,1.061306960783289233e+00
1.632653061224489666e-01,2.125807779289123012e+00,2.824073270232216326e-01,1.077116181763206892e+00
3.265306122448979331e-01,2.125269477512695016e+00,2.944300036522214947e-01,1.089782135700543275e+00
4.897959183673469274e-01,2.120920923441277584e+00,3.049852347589348533e-01,1.099427371364647632e+00
6.530612244897958663e-01,2.112923394560624057e+00,3.141276944164184126e-01,1.106174437524870324e+00
8.163265306122448051e-01,2.101438168356489999e+00,3.219120566977290987e-01,1.110145882950561713e+00
9.795918367346938549e-01,2.086626522314628307e+00,3.283929956759236712e-01,1.111464256411071716e+00
1.142857142857142794e+00,2.068649733920794098e+00,3.336251854240590564e-01,1.110252106675750916e+00
1.306122448979591733e+00,2.047669080660740715e+00,3.376633000151921249e-01,1.106631982513949009e+00
1.469387755102040671e+00,2.023845840020223719e+00,3.405620135223796363e-01,1.100726432695016133e+00
1.632653061224489610e+00,1.997341289484995563e+00,3.423760000186785168e-01,1.092658005988302428e+00
1.795918367346938549e+00,1.968316706540810923e+00,3.431599335771455261e-01,1.082549251163157811e+00
1.959183673469387710e+00,1.936933368673424694e+00,3.429684882708377014e-01,1.070522716988932865e+00
2.122448979591836427e+00,1.903352553368589994e+00,3.418563381728115802e-01,1.056700952234977731e+00
2.285714285714285587e+00,1.867735538112061500e+00,3.398781573561242553e-01,1.041206505670641880e+00
2.448979591836734304e+00,1.830243600389593661e+00,3.370886198938325973e-01,1.024161926065276118e+00
2.612244897959183465e+00,1.791038017686940043e+00,3.335423998589933103e-01,1.005689762188230141e+00
2.775510204081632626e+00,1.750280067489854652e+00,3.292941713246632096e-01,9.859125628088545312e-01
2.938775510204081343e+00,1.708131027284092607e+00,3.243986083638993323e-01,9.649528766964987625e-01
3.102040816326530503e+00,1.664752174555407027e+00,3.189103850497583825e-01,9.429332526205134180e-01
3.265306122448979220e+00,1.620304786789552365e+00,3.128841754552972865e-01,9.199762393502487479e-01
3.428571428571428381e+00,1.574950141472282850e+00,3.063746536535727483e-01,8.962043856550543364e-01
3.591836734693877098e+00,1.528849516089353155e+00,2.994364937176418606e-01,8.717402403042808778e-01
3.755102040816326259e+00,1.482164188126516624e+00,2.921243697205612166e-01,8.467063520672777344e-01
3.918367346938775420e+00,1.435055435069527707e+00,2.844929557353877980e-01,8.212252697133960444e-01
4.081632653061224580e+00,1.387684534404140635e+00,2.765969258351784199e-01,7.954195420119849480e-01
4.244897959183672853e+00,1.340212763616109637e+00,2.684909540929900640e-01,7.694117177323955836e-01
4.408163265306122014e+00,1.292801400191188499e+00,2.602297145818793789e-01,7.433243456439770913e-01
4.571428571428571175e+00,1.245611721615131895e+00,2.518678813749031242e-01,7.172799745160800544e-01
4.734693877551020336e+00,1.198805005373693167e+00,2.434601285451184483e-01,6.914011531180546122e-01
4.897959183673468608e+00,1.152542528952627432e+00,2.350611301655821384e-01,6.658104302192510149e-01
5.061224489795917769e+00,1.106985569837688033e+00,2.267255603093510374e-01,6.406303545890190687e-01
5.224489795918366930e+00,1.062295405514630087e+00,2.185080930494817664e-01,6.159834749967088019e-01
5.387755102040816091e+00,1.018633313469205603e+00,2.104634024590312791e-01,5.919923402116706868e-01
5.551020408163265252e+00,9.761605711871710334e-01,2.026461626110565017e-01,5.687794990032548625e-01
5.714285714285713524e+00,9.350384561542806061e-01,1.951110475786142495e-01,5.464675001408108024e-01
5.877551020408162685e+00,8.954282458562865532e-01,1.879127314347612820e-01,5.251788923936899778e-01
6.040816326530611846e+00,8.574912177789442147e-01,1.811058882525546365e-01,5.050362245312409737e-01
6.204081632653061007e+00,8.213886494080080425e-01,1.747451921050512391e-01,4.861620453228150396e-01
6.367346938775509280e+00,7.872818182292313782e-01,1.688853170653077385e-01,4.686789035377616486e-01
6.530612244897958441e+00,7.553320017283688959e-01,1.635809372063808942e-01,4.527093479454316061e-01
6.693877551020407601e+00,7.257004773911746032e-01,1.588867266013276325e-01,4.383759273151743852e-01
6.857142857142856762e+00,6.985485227034022859e-01,1.548573593232046575e-01,4.258011904163396810e-01
7.020408163265305923e+00,6.740374151508063960e-01,1.515475094450694504e-01,4.151076860182787431e-01
7.183673469387754196e+00,6.523284322191407192e-01,1.490118510399779383e-01,4.064179628903410446e-01
7.346938775510203357e+00,6.335828513941614837e-01,1.473050581809877135e-01,3.998545698018769468e-01
7.510204081632652517e+00,6.179619501616193666e-01,1.464818049411553691e-01,3.955400555222361447e-01
7.673469387755101678e+00,6.056270060072703743e-01,1.465967653935373871e-01,3.935969688207692219e-01
7.836734693877550839e+00,5.967392964168700686e-01,1.477046136111913599e-01,3.941478584668263174e-01
8.000000000000000000e+00,5.914600988761700151e-01,1.498600236671735475e-01,3.973152732297577927e-01
