# time,average_velocity_axis_0_t_inf,95CLI,vs,surftimeconst
9.992000000000000881e+00,2.094899169335468159e+00,1.789783335443282525e-02,8.000000000000000000e+00,0.000000000000000000e+00
9.992000000000000881e+00,2.642872645772867957e-01,3.964115667790728791e-03,1.000000000000000000e+00,0.000000000000000000e+00
9.992000000000000881e+00,1.046293520754103312e+00,1.086045400599112282e-02,4.000000000000000000e+00,0.000000000000000000e+00
9.992000000000000881e+00,2.133195106084867732e+00,1.456931981721838743e-02,8.000000000000000000e+00,1.000000000000000000e+00
9.992000000000000881e+00,3.361159511593649896e-01,3.882656207809930243e-03,1.000000000000000000e+00,1.000000000000000000e+00
9.992000000000000881e+00,1.136613820744095227e+00,7.550567837938621484e-03,4.000000000000000000e+00,1.000000000000000000e+00
9.992000000000000881e+00,3.457639185567203954e-01,3.627594919253029210e-03,1.000000000000000000e+00,2.000000000000000000e+00
9.992000000000000881e+00,1.941089865642513956e+00,1.325766837899293102e-02,8.000000000000000000e+00,2.000000000000000000e+00
9.992000000000000881e+00,1.073602499186849357e+00,6.966849079948137305e-03,4.000000000000000000e+00,2.000000000000000000e+00
9.992000000000000881e+00,1.667988196807445922e+00,1.130582356431467442e-02,8.000000000000000000e+00,3.000000000000000000e+00
9.992000000000000881e+00,3.202831435069930510e-01,3.890283756001469782e-03,1.000000000000000000e+00,3.000000000000000000e+00
9.992000000000000881e+00,9.494154495471376354e-01,8.759654501431122717e-03,4.000000000000000000e+00,3.000000000000000000e+00
9.992000000000000881e+00,1.355318517313850890e+00,2.850907973335343321e-02,8.000000000000000000e+00,4.000000000000000000e+00
9.992000000000000881e+00,7.852187030874698825e-01,1.299189061738706755e-02,4.000000000000000000e+00,4.000000000000000000e+00
9.992000000000000881e+00,2.747010163795098325e-01,3.876530484767915039e-03,1.000000000000000000e+00,4.000000000000000000e+00
9.992000000000000881e+00,6.490766550740592056e-01,1.772741923744329193e-02,4.000000000000000000e+00,5.000000000000000000e+00
9.992000000000000881e+00,1.177360594725780363e+00,1.945895585139438902e-02,8.000000000000000000e+00,5.000000000000000000e+00
9.992000000000000881e+00,2.259412927803179927e-01,4.160031569087723792e-03,1.000000000000000000e+00,5.000000000000000000e+00
9.992000000000000881e+00,5.219067926215972264e-01,1.804699552495338602e-02,4.000000000000000000e+00,6.000000000000000000e+00
9.992000000000000881e+00,1.871771351651633775e-01,4.227723516730587210e-03,1.000000000000000000e+00,6.000000000000000000e+00
9.992000000000000881e+00,8.456817328863089900e-01,3.214749962961755553e-02,8.000000000000000000e+00,6.000000000000000000e+00
9.992000000000000881e+00,4.305160190652521646e-01,1.530391264477073618e-02,4.000000000000000000e+00,7.000000000000000000e+00
9.992000000000000881e+00,1.585670748512872652e-01,4.220476158781896400e-03,1.000000000000000000e+00,7.000000000000000000e+00
9.992000000000000881e+00,7.085778247598077950e-01,4.546980860839201777e-02,8.000000000000000000e+00,7.000000000000000000e+00
9.992000000000000881e+00,3.861387000225179333e-01,2.150306285151654465e-02,4.000000000000000000e+00,8.000000000000000000e+00
9.992000000000000881e+00,1.452846493992068500e-01,4.166918837099122148e-03,1.000000000000000000e+00,8.000000000000000000e+00
9.992000000000000881e+00,5.741404998999198872e-01,3.894590654592899187e-02,8.000000000000000000e+00,8.000000000000000000e+00
