# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.439999999999999725e-01,7.836509356831395934e-01,6.520849875169107412e-02
6.879999999999999449e-01,8.566580895712210264e-01,4.807427633523595617e-02
1.032000000000000028e+00,9.017781613372091165e-01,3.649999130134188446e-02
1.375999999999999890e+00,9.554856922238372796e-01,3.393190697542284445e-02
1.719999999999999973e+00,9.561965843023255696e-01,3.330021856044857592e-02
2.064000000000000057e+00,9.361997865188953494e-01,2.799614714173182667e-02
2.407999999999999918e+00,9.094923951411960639e-01,2.315574052333657651e-02
2.759999999999999787e+00,9.018436141304349007e-01,2.023301388599536149e-02
3.104000000000000092e+00,9.078770991059922357e-01,1.925257589293797797e-02
3.447999999999999954e+00,9.209318672056264754e-01,1.760233753193628584e-02
3.791999999999999815e+00,9.143660007911392773e-01,1.697304427250588207e-02
4.136000000000000121e+00,9.089419842541102135e-01,1.636458192206582257e-02
4.480000000000000426e+00,9.181054094587053349e-01,1.526532034425280571e-02
4.823999999999999844e+00,9.233345641583747820e-01,1.534021471163527633e-02
5.168000000000000149e+00,9.234133580446981515e-01,1.577796860971142703e-02
5.511999999999999567e+00,9.262579684098330990e-01,1.661408949293764759e-02
5.855999999999999872e+00,9.200191603697063236e-01,1.676082727966152555e-02
6.200000000000000178e+00,9.267890196572580175e-01,1.549223690246634769e-02
6.543999999999999595e+00,9.265001575871028017e-01,1.383948648602170012e-02
6.887999999999999901e+00,9.236070838777583614e-01,1.424969675701662046e-02
7.232000000000000206e+00,9.296640841053650517e-01,1.362870227121333599e-02
7.583999999999999631e+00,9.281075413699895194e-01,1.292542274213559321e-02
7.927999999999999936e+00,9.306217993188699023e-01,1.190869564697041166e-02
8.272000000000000242e+00,9.337958568816489002e-01,1.181683770540558828e-02
8.615999999999999659e+00,9.391618518599118559e-01,1.226190103442100984e-02
8.960000000000000853e+00,9.437671247209820091e-01,1.192899572551568352e-02
9.304000000000000270e+00,9.447832971705717453e-01,1.064662312702445088e-02
9.647999999999999687e+00,9.431770379871475818e-01,1.007845156562151359e-02
9.992000000000000881e+00,9.494154495471376354e-01,8.759654501431122717e-03
