# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,1.146016811594202878e+00,2.941462999286836300e-01
6.899999999999999467e-01,1.101539855072463991e+00,2.154157241351064289e-01
1.034999999999999920e+00,1.092205797101449161e+00,1.638090136346098125e-01
1.379999999999999893e+00,1.113647898550724546e+00,1.404660859008232399e-01
1.721999999999999975e+00,1.194397619047619097e+00,1.483016996978318292e-01
2.067000000000000171e+00,1.192273004354136301e+00,1.076884480480242157e-01
2.411999999999999922e+00,1.130315920398010210e+00,1.119536278612422858e-01
2.757000000000000117e+00,1.100149474066013600e+00,8.448540272206311874e-02
3.101999999999999869e+00,1.067388620245003361e+00,8.872739973414686676e-02
3.447000000000000064e+00,1.069898375398897539e+00,1.068899950198757692e-01
3.791999999999999815e+00,1.090115611814346019e+00,1.004713637359783834e-01
4.136999999999999567e+00,1.063320618805898121e+00,1.075978475535463302e-01
4.482000000000000206e+00,1.074551494868362322e+00,9.670090606007228362e-02
4.826999999999999957e+00,1.088310979904702602e+00,7.848206115698497243e-02
5.168999999999999595e+00,1.077605939253240663e+00,9.871201999644571567e-02
5.514000000000000234e+00,1.092270946681175081e+00,9.281644516829537506e-02
5.858999999999999986e+00,1.089496313364055613e+00,8.036477780550230210e-02
6.203999999999999737e+00,1.103351434558349720e+00,7.585393653029426364e-02
6.549000000000000377e+00,1.136326034509085314e+00,8.312783769617594631e-02
6.894000000000000128e+00,1.133239019437191741e+00,9.418619326905305900e-02
7.238999999999999879e+00,1.124710650642353871e+00,1.112474832780255274e-01
7.583999999999999631e+00,1.133633254219409414e+00,1.101150839932529546e-01
7.929000000000000270e+00,1.146621831252364831e+00,1.028508060652089245e-01
8.273999999999999133e+00,1.149221114334058713e+00,9.676692002802055048e-02
8.615999999999999659e+00,1.152448711699164630e+00,1.021408971724766940e-01
8.961000000000000298e+00,1.149696373172636843e+00,1.011655367179035703e-01
9.305999999999999162e+00,1.157835052654201835e+00,9.110382511555090157e-02
9.650999999999999801e+00,1.160195254377784702e+00,9.434371422329386470e-02
9.996000000000000441e+00,1.165471018407362891e+00,9.571637871897895056e-02
