# surftimeconst,average_velocity_axis_0_t_inf__params_0o8,average_velocity_axis_0_t_inf__params_0o4,average_velocity_axis_0_t_inf__params_0o2,average_velocity_axis_0_t_inf__params_0o1,average_velocity_axis_0_t_inf__params_0o05
0.000000000000000000e+00,-1.747421274686502546e-01,-5.356969285500199351e-01,-7.581319601246145901e-01,-8.662664711503826886e-01,-9.239273048543739097e-01
6.122448979591836593e-02,-1.684694488442514959e-01,-5.018449370355843042e-01,-7.217542215979841913e-01,-8.435707938594967370e-01,-9.078426710515388187e-01
1.224489795918367319e-01,-1.635854697856805318e-01,-4.709670745310649553e-01,-6.883871525015727855e-01,-8.225591788865528331e-01,-8.930129890364572054e-01
1.836734693877550839e-01,-1.600296158922516199e-01,-4.429620743789480786e-01,-6.579277786606948508e-01,-8.031774539009566283e-01,-8.793950849870614261e-01
2.448979591836734637e-01,-1.577413127632788792e-01,-4.177286699217201416e-01,-6.302731259006653097e-01,-7.853714465721134408e-01,-8.669457850812846145e-01
3.061224489795918435e-01,-1.566599859980765674e-01,-3.951655945018673344e-01,-6.053202200467986405e-01,-7.690869845694290330e-01,-8.556219154970596819e-01
3.673469387755101678e-01,-1.567250611959588313e-01,-3.751715814618762357e-01,-5.829660869244103205e-01,-7.542698955623090562e-01,-8.453803024123196508e-01
4.285714285714285476e-01,-1.578759639562398731e-01,-3.576453641442329245e-01,-5.631077523588146061e-01,-7.408660072201589397e-01,-8.361777720049970997e-01
4.897959183673469274e-01,-1.600521198782338395e-01,-3.424856758914238686e-01,-5.456422421753263086e-01,-7.288211472123843349e-01,-8.279711504530250510e-01
5.510204081632652517e-01,-1.631929545612549326e-01,-3.295912500459352579e-01,-5.304665821992602392e-01,-7.180811432083910040e-01,-8.207172639343363052e-01
6.122448979591836871e-01,-1.672378936046173548e-01,-3.188608199502535601e-01,-5.174777982559310985e-01,-7.085918228775841543e-01,-8.143729386268638848e-01
6.734693877551020114e-01,-1.721263626076352804e-01,-3.101931189468650762e-01,-5.065729161706541417e-01,-7.002990138893696592e-01,-8.088950007085405902e-01
7.346938775510203357e-01,-1.777977871696229117e-01,-3.034868803782559965e-01,-4.976489617687434586e-01,-6.931485439131529480e-01,-8.042402763572994440e-01
7.959183673469387710e-01,-1.841915928898943955e-01,-2.986408375869127885e-01,-4.906029608755141935e-01,-6.870862406183398940e-01,-8.003655917510730244e-01
8.571428571428570953e-01,-1.912472053677639339e-01,-2.955537239153218643e-01,-4.853319393162811579e-01,-6.820579316743357046e-01,-7.972277730677944652e-01
9.183673469387755306e-01,-1.989040502025457569e-01,-2.941242727059692474e-01,-4.817329229163589965e-01,-6.780094447505463640e-01,-7.947836464853966776e-01
9.795918367346938549e-01,-2.071015529935539556e-01,-2.942512173013416277e-01,-4.797029375010624097e-01,-6.748866075163768574e-01,-7.929900381818122401e-01
