# time,average_velocity_axis_0_t_inf,95CLI,us,surftimeconst
2.598699999999999832e+01,-2.133151128154344434e-01,3.388757415343249951e-02,8.000000000000000444e-01,0.000000000000000000e+00
2.598699999999999832e+01,-5.953747382001784993e-01,1.932857705960353348e-02,4.000000000000000222e-01,0.000000000000000000e+00
2.598699999999999832e+01,-7.970656080904610086e-01,9.250993717120604976e-03,2.000000000000000111e-01,0.000000000000000000e+00
2.598699999999999832e+01,-9.042463855103064496e-01,4.521726785789524812e-03,1.000000000000000056e-01,0.000000000000000000e+00
2.598699999999999832e+01,-9.536558249976077040e-01,2.254295319692341086e-03,5.000000000000000278e-02,0.000000000000000000e+00
2.598699999999999832e+01,-8.284154578115444645e-01,5.436569054862855181e-03,5.000000000000000278e-02,2.500000000000000000e-01
2.598699999999999832e+01,-3.449455402227593059e-01,2.897783470325896588e-02,4.000000000000000222e-01,2.500000000000000000e-01
2.598699999999999832e+01,-5.930466695752806272e-01,2.116071569243784325e-02,2.000000000000000111e-01,2.500000000000000000e-01
2.598699999999999832e+01,-7.394339946802699348e-01,1.119559031086288931e-02,1.000000000000000056e-01,2.500000000000000000e-01
2.598699999999999832e+01,-9.883624072632861413e-02,1.881704092072673459e-02,8.000000000000000444e-01,2.500000000000000000e-01
2.598699999999999832e+01,-8.133675456731052078e-01,5.508376537763485375e-03,5.000000000000000278e-02,5.000000000000000000e-01
2.598699999999999832e+01,-3.060370755536253040e-01,2.278316742643676437e-02,4.000000000000000222e-01,5.000000000000000000e-01
2.598699999999999832e+01,-1.546470370192945809e-01,1.061346215510518623e-02,8.000000000000000444e-01,5.000000000000000000e-01
2.598699999999999832e+01,-5.106035706791491879e-01,2.022607251569786060e-02,2.000000000000000111e-01,5.000000000000000000e-01
2.598699999999999832e+01,-7.011674362802388094e-01,1.142066289970406455e-02,1.000000000000000056e-01,5.000000000000000000e-01
2.598699999999999832e+01,-6.969790835254596750e-01,1.140383411514907935e-02,1.000000000000000056e-01,7.500000000000000000e-01
2.598699999999999832e+01,-3.041866321641686910e-01,1.975871829850719269e-02,4.000000000000000222e-01,7.500000000000000000e-01
2.598699999999999832e+01,-1.850943532990985685e-01,7.544217144010147320e-03,8.000000000000000444e-01,7.500000000000000000e-01
2.598699999999999832e+01,-4.841758212311123577e-01,1.990813263012548850e-02,2.000000000000000111e-01,7.500000000000000000e-01
2.598699999999999832e+01,-8.046319497623767303e-01,5.540906159665653918e-03,5.000000000000000278e-02,7.500000000000000000e-01
2.598699999999999832e+01,-8.009011049695967666e-01,5.540491331540610756e-03,5.000000000000000278e-02,1.000000000000000000e+00
2.598699999999999832e+01,-3.095194282491071647e-01,1.902212302276043432e-02,4.000000000000000222e-01,1.000000000000000000e+00
2.598699999999999832e+01,-6.863592880913971239e-01,1.122628606856624495e-02,1.000000000000000056e-01,1.000000000000000000e+00
2.598699999999999832e+01,-4.902941808345205321e-01,1.916239351908208613e-02,2.000000000000000111e-01,1.000000000000000000e+00
2.598699999999999832e+01,-2.198049158016999460e-01,9.764387554508761197e-03,8.000000000000000444e-01,1.000000000000000000e+00
2.598699999999999832e+01,-3.396438350601664324e-01,1.858887462004310195e-02,4.000000000000000222e-01,1.250000000000000000e+00
2.598699999999999832e+01,-5.111389967150707925e-01,1.880718294211844097e-02,2.000000000000000111e-01,1.250000000000000000e+00
2.598699999999999832e+01,-6.892127529126335084e-01,1.119861158782631608e-02,1.000000000000000056e-01,1.250000000000000000e+00
2.598699999999999832e+01,-2.737676310682813918e-01,1.533547744145756855e-02,8.000000000000000444e-01,1.250000000000000000e+00
2.598699999999999832e+01,-8.030663948422611664e-01,5.510458860773471794e-03,5.000000000000000278e-02,1.250000000000000000e+00
2.598699999999999832e+01,-5.379321766881323130e-01,1.896617756934236218e-02,2.000000000000000111e-01,1.500000000000000000e+00
2.598699999999999832e+01,-3.749746709458323668e-01,1.900774310050154861e-02,4.000000000000000222e-01,1.500000000000000000e+00
2.598699999999999832e+01,-6.907760729019136736e-01,1.120672716378550565e-02,1.000000000000000056e-01,1.500000000000000000e+00
2.598699999999999832e+01,-2.946372943143470979e-01,1.279066972404798927e-02,8.000000000000000444e-01,1.500000000000000000e+00
2.598699999999999832e+01,-8.088345840628728967e-01,5.380189267087239977e-03,5.000000000000000278e-02,1.500000000000000000e+00
2.598699999999999832e+01,-8.142942050216993577e-01,5.335908607664319354e-03,5.000000000000000278e-02,1.750000000000000000e+00
2.598699999999999832e+01,-3.909647032638855491e-01,2.049665203297348567e-02,4.000000000000000222e-01,1.750000000000000000e+00
2.598699999999999832e+01,-7.005106236721410085e-01,1.095017342681252684e-02,1.000000000000000056e-01,1.750000000000000000e+00
2.598699999999999832e+01,-5.548127869653514121e-01,1.851515140727012787e-02,2.000000000000000111e-01,1.750000000000000000e+00
2.598699999999999832e+01,-3.242642977689787487e-01,1.355421309226599244e-02,8.000000000000000444e-01,1.750000000000000000e+00
2.598699999999999832e+01,-7.002967440148765155e-01,1.106841157943604798e-02,1.000000000000000056e-01,2.000000000000000000e+00
2.598699999999999832e+01,-3.586039762424382826e-01,1.993475083073723356e-02,8.000000000000000444e-01,2.000000000000000000e+00
2.598699999999999832e+01,-5.817489908909398988e-01,1.804647484373463756e-02,2.000000000000000111e-01,2.000000000000000000e+00
2.598699999999999832e+01,-4.337353970761956834e-01,2.323902664970563595e-02,4.000000000000000222e-01,2.000000000000000000e+00
2.598699999999999832e+01,-8.192556317464688709e-01,5.333434182326618825e-03,5.000000000000000278e-02,2.000000000000000000e+00
2.598699999999999832e+01,-3.951733676885538782e-01,2.718095449396765867e-02,8.000000000000000444e-01,2.250000000000000000e+00
2.598699999999999832e+01,-8.169975993544080772e-01,5.341772359324479733e-03,5.000000000000000278e-02,2.250000000000000000e+00
2.598699999999999832e+01,-4.401064043811623860e-01,2.374103000554396783e-02,4.000000000000000222e-01,2.250000000000000000e+00
2.598699999999999832e+01,-5.983699463576016564e-01,1.758280721761337761e-02,2.000000000000000111e-01,2.250000000000000000e+00
2.598699999999999832e+01,-7.168615763625194592e-01,1.087632452833989585e-02,1.000000000000000056e-01,2.250000000000000000e+00
2.598699999999999832e+01,-8.216128883285663820e-01,5.312867972434205839e-03,5.000000000000000278e-02,2.500000000000000000e+00
2.598699999999999832e+01,-4.906691163517592491e-01,2.562864285638215278e-02,4.000000000000000222e-01,2.500000000000000000e+00
2.598699999999999832e+01,-6.126696266685379699e-01,1.800722115063831466e-02,2.000000000000000111e-01,2.500000000000000000e+00
2.598699999999999832e+01,-3.986451145509960492e-01,2.606385503082181768e-02,8.000000000000000444e-01,2.500000000000000000e+00
2.598699999999999832e+01,-7.222260730721242750e-01,1.064879342370645375e-02,1.000000000000000056e-01,2.500000000000000000e+00
2.598699999999999832e+01,-6.254234979239885472e-01,1.793641806572363051e-02,2.000000000000000111e-01,2.750000000000000000e+00
2.598699999999999832e+01,-8.224213752497602226e-01,5.300960435147261500e-03,5.000000000000000278e-02,2.750000000000000000e+00
2.598699999999999832e+01,-5.077194635199316908e-01,2.554426782499602880e-02,4.000000000000000222e-01,2.750000000000000000e+00
2.598699999999999832e+01,-4.096301258949726631e-01,2.828081054421381982e-02,8.000000000000000444e-01,2.750000000000000000e+00
2.598699999999999832e+01,-7.389627671098636386e-01,1.056815346000503954e-02,1.000000000000000056e-01,2.750000000000000000e+00
2.598699999999999832e+01,-8.300584571857049232e-01,5.224784935330360584e-03,5.000000000000000278e-02,3.000000000000000000e+00
2.598699999999999832e+01,-7.513807782892095721e-01,1.023306324955543245e-02,1.000000000000000056e-01,3.000000000000000000e+00
2.598699999999999832e+01,-5.341217514439476899e-01,2.711965131396522691e-02,4.000000000000000222e-01,3.000000000000000000e+00
2.598699999999999832e+01,-3.914234173601713884e-01,2.499896980798245807e-02,8.000000000000000444e-01,3.000000000000000000e+00
2.598699999999999832e+01,-6.453021669687256656e-01,1.780199957265403421e-02,2.000000000000000111e-01,3.000000000000000000e+00
