# pos_1,max_average_velocity_axis,parameter
1.389139705019461386e-03,-1.798707333506735853e-02,0.000000000000000000e+00
2.470278535103650856e-03,-7.280220300663284294e-02,0.000000000000000000e+00
4.392845456035934966e-03,-1.628085475942377403e-01,0.000000000000000000e+00
7.811706625951745156e-03,-2.968274902671819704e-01,0.000000000000000000e+00
1.389139705019461560e-02,-4.519438185232045324e-01,0.000000000000000000e+00
2.470278535103651030e-02,-5.800142753525340256e-01,2.500000000000000000e-01
4.392845456035934792e-02,-6.591370979511060879e-01,2.500000000000000000e-01
7.811706625951746197e-02,-7.221877360464167284e-01,2.500000000000000000e-01
1.389139705019461490e-01,-7.841641047235855533e-01,5.000000000000000000e-01
2.470278535103651030e-01,-8.624445974098273737e-01,5.000000000000000000e-01
4.392845456035935348e-01,-9.474839160619221712e-01,7.500000000000000000e-01
7.811706625951745364e-01,-1.033308307099470635e+00,1.250000000000000000e+00
