# pos_1,average_velocity_axis
1.389139705019461386e-03,-5.750671063731942895e-02
2.470278535103650856e-03,-1.246489250107169627e-01
4.392845456035934966e-03,-2.278751173619871784e-01
7.811706625951745156e-03,-3.711554399484799927e-01
1.389139705019461560e-02,-5.168201282428319665e-01
2.470278535103651030e-02,-6.178596921308223688e-01
4.392845456035934792e-02,-6.857934074560776416e-01
7.811706625951746197e-02,-7.379107614777469237e-01
1.389139705019461490e-01,-7.944100928325110722e-01
2.470278535103651030e-01,-8.654028167545418926e-01
4.392845456035935348e-01,-9.478516838922417254e-01
7.811706625951745364e-01,-1.033625249847716754e+00
