# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.970000000000000195e-01,-9.631752064311738248e-01,3.048121133105069925e-03
1.794000000000000039e+00,-9.510254355939699034e-01,3.231415403008372836e-03
2.690999999999999837e+00,-9.407338212941604993e-01,3.394301609843646244e-03
3.581500000000000128e+00,-9.323370363782587100e-01,3.544378580537032013e-03
4.478500000000000369e+00,-9.250324497918245292e-01,3.686009106758268098e-03
5.375499999999999723e+00,-9.186153320434931047e-01,3.813085626391255617e-03
6.272499999999999964e+00,-9.129208327635948139e-01,3.931389525946624337e-03
7.169500000000000206e+00,-9.074702680417775502e-01,4.040890911752691682e-03
8.066499999999999559e+00,-9.021937443713872185e-01,4.142086209960459293e-03
8.963499999999999801e+00,-8.970479659734881261e-01,4.237955936666225332e-03
9.853999999999999204e+00,-8.922750570232577116e-01,4.327728098184116523e-03
1.075099999999999945e+01,-8.876635136952066851e-01,4.413377858401767648e-03
1.164799999999999969e+01,-8.832574783969643351e-01,4.493904551605968321e-03
1.254499999999999993e+01,-8.789320594465285241e-01,4.569794957918166083e-03
1.344200000000000017e+01,-8.746619359548378769e-01,4.640705690488898007e-03
1.433900000000000041e+01,-8.703661166919505199e-01,4.707174416248108631e-03
1.523600000000000065e+01,-8.661216109915714778e-01,4.770509149704338370e-03
1.613299999999999912e+01,-8.619123191664848083e-01,4.830419055113084961e-03
1.702349999999999852e+01,-8.577119110609872088e-01,4.886755092877290499e-03
1.792050000000000054e+01,-8.535754738387902885e-01,4.940568371974649216e-03
1.881749999999999901e+01,-8.495360394181852293e-01,4.991984166780215164e-03
1.971450000000000102e+01,-8.455615361785780992e-01,5.041122633486598559e-03
2.061149999999999949e+01,-8.417007910209944876e-01,5.088527305001893340e-03
2.150850000000000151e+01,-8.379012745199682088e-01,5.133888008100482604e-03
2.240549999999999997e+01,-8.341202442694487518e-01,5.177415133369388765e-03
2.329599999999999937e+01,-8.303928999546507095e-01,5.218503419497876744e-03
2.419300000000000139e+01,-8.266496927507979153e-01,5.258286161177824596e-03
2.508999999999999986e+01,-8.229251847781925422e-01,5.296419478108728082e-03
2.598699999999999832e+01,-8.192556317464688709e-01,5.333434182326618825e-03
