# pos_1,concentration
1.389139705019461386e-03,1.105234712605730474e+00
2.470278535103650856e-03,1.356041788217631439e+00
4.392845456035934966e-03,9.214246562414171171e-01
7.811706625951745156e-03,9.112383887912716141e-01
1.389139705019461560e-02,1.024854006234404480e+00
2.470278535103651030e-02,1.084833430574105417e+00
4.392845456035934792e-02,9.722618786547365666e-01
7.811706625951746197e-02,1.005935711548011646e+00
1.389139705019461490e-01,9.896874471969493436e-01
2.470278535103651030e-01,1.022681515280796871e+00
4.392845456035935348e-01,1.008483399624227062e+00
7.811706625951745364e-01,9.900337082926345955e-01
