# time,average_velocity_axis_0_t_inf,95CLI,us,surftimeconst
2.598699999999999832e+01,1.796608331638346767e+00,4.056876102018163593e-02,8.000000000000000444e-01,0.000000000000000000e+00
2.598699999999999832e+01,1.392493119385359357e+00,2.070656961598237727e-02,4.000000000000000222e-01,0.000000000000000000e+00
2.598699999999999832e+01,1.197552574929999114e+00,9.144419118952572603e-03,2.000000000000000111e-01,0.000000000000000000e+00
2.598699999999999832e+01,1.096836237377110557e+00,4.780030044496205548e-03,1.000000000000000056e-01,0.000000000000000000e+00
2.598699999999999832e+01,1.051111717229394893e+00,2.319865765987839078e-03,5.000000000000000278e-02,0.000000000000000000e+00
2.598699999999999832e+01,1.092549808518664456e+00,1.598712139139482451e-03,5.000000000000000278e-02,2.500000000000000000e-01
2.598699999999999832e+01,1.501069007638724750e+00,6.115954019656826349e-03,4.000000000000000222e-01,2.500000000000000000e-01
2.598699999999999832e+01,1.285677144001865280e+00,4.199628111377661822e-03,2.000000000000000111e-01,2.500000000000000000e-01
2.598699999999999832e+01,1.159523902451863320e+00,2.797815216847447922e-03,1.000000000000000056e-01,2.500000000000000000e-01
2.598699999999999832e+01,1.917426195044147130e+00,6.367497328597422450e-03,8.000000000000000444e-01,2.500000000000000000e-01
2.598699999999999832e+01,1.106854445586607838e+00,1.524276132937939492e-03,5.000000000000000278e-02,5.000000000000000000e-01
2.598699999999999832e+01,1.504921570178208823e+00,5.059213066927623070e-03,4.000000000000000222e-01,5.000000000000000000e-01
2.598699999999999832e+01,1.903292870139936532e+00,6.201604657207435492e-03,8.000000000000000444e-01,5.000000000000000000e-01
2.598699999999999832e+01,1.300359090058170741e+00,3.619659210864561820e-03,2.000000000000000111e-01,5.000000000000000000e-01
2.598699999999999832e+01,1.175731358357178902e+00,2.548546578724452533e-03,1.000000000000000056e-01,5.000000000000000000e-01
2.598699999999999832e+01,1.182335714927461590e+00,2.530484651116262414e-03,1.000000000000000056e-01,7.500000000000000000e-01
2.598699999999999832e+01,1.504124754491664051e+00,4.030730424061582454e-03,4.000000000000000222e-01,7.500000000000000000e-01
2.598699999999999832e+01,1.877764423027840524e+00,8.072484391932475620e-03,8.000000000000000444e-01,7.500000000000000000e-01
2.598699999999999832e+01,1.305226900732545658e+00,3.417300677583836981e-03,2.000000000000000111e-01,7.500000000000000000e-01
2.598699999999999832e+01,1.111758995624673174e+00,1.504774575072262551e-03,5.000000000000000278e-02,7.500000000000000000e-01
2.598699999999999832e+01,1.114419488627279353e+00,1.510543645010577977e-03,5.000000000000000278e-02,1.000000000000000000e+00
2.598699999999999832e+01,1.491287605341132139e+00,5.073892449743927849e-03,4.000000000000000222e-01,1.000000000000000000e+00
2.598699999999999832e+01,1.183879016671872675e+00,2.523567791177006286e-03,1.000000000000000056e-01,1.000000000000000000e+00
2.598699999999999832e+01,1.303248364097327361e+00,3.602601887868129259e-03,2.000000000000000111e-01,1.000000000000000000e+00
2.598699999999999832e+01,1.854349041867872749e+00,1.027638788091503677e-02,8.000000000000000444e-01,1.000000000000000000e+00
2.598699999999999832e+01,1.482615954478978981e+00,6.037425813956692755e-03,4.000000000000000222e-01,1.250000000000000000e+00
2.598699999999999832e+01,1.295742733261306956e+00,3.653107074949241747e-03,2.000000000000000111e-01,1.250000000000000000e+00
2.598699999999999832e+01,1.181412950818593544e+00,2.579745784426628729e-03,1.000000000000000056e-01,1.250000000000000000e+00
2.598699999999999832e+01,1.826111440335552727e+00,7.966923268742123060e-03,8.000000000000000444e-01,1.250000000000000000e+00
2.598699999999999832e+01,1.114320566345545549e+00,1.533520205593605096e-03,5.000000000000000278e-02,1.250000000000000000e+00
2.598699999999999832e+01,1.289089557920386930e+00,4.255954397317880146e-03,2.000000000000000111e-01,1.500000000000000000e+00
2.598699999999999832e+01,1.462022250978600724e+00,6.847770579742651006e-03,4.000000000000000222e-01,1.500000000000000000e+00
2.598699999999999832e+01,1.178912024747795995e+00,2.703315218186667923e-03,1.000000000000000056e-01,1.500000000000000000e+00
2.598699999999999832e+01,1.788533817144051019e+00,1.289717140767473839e-02,8.000000000000000444e-01,1.500000000000000000e+00
2.598699999999999832e+01,1.113245901163423035e+00,1.555129281698007949e-03,5.000000000000000278e-02,1.500000000000000000e+00
2.598699999999999832e+01,1.112948735027902147e+00,1.590874288283510712e-03,5.000000000000000278e-02,1.750000000000000000e+00
2.598699999999999832e+01,1.443579521496349383e+00,7.878355677682701702e-03,4.000000000000000222e-01,1.750000000000000000e+00
2.598699999999999832e+01,1.177827055844030468e+00,2.721537320506320270e-03,1.000000000000000056e-01,1.750000000000000000e+00
2.598699999999999832e+01,1.281363787891827810e+00,4.230849016086915722e-03,2.000000000000000111e-01,1.750000000000000000e+00
2.598699999999999832e+01,1.738588429222460929e+00,1.862845805560695359e-02,8.000000000000000444e-01,1.750000000000000000e+00
2.598699999999999832e+01,1.176978201763492660e+00,2.744052260419854814e-03,1.000000000000000056e-01,2.000000000000000000e+00
2.598699999999999832e+01,1.708176488558250883e+00,1.773034988089963737e-02,8.000000000000000444e-01,2.000000000000000000e+00
2.598699999999999832e+01,1.275501998520199631e+00,4.613022962438932846e-03,2.000000000000000111e-01,2.000000000000000000e+00
2.598699999999999832e+01,1.426252141919432948e+00,1.022296539059808565e-02,4.000000000000000222e-01,2.000000000000000000e+00
2.598699999999999832e+01,1.112350477407743510e+00,1.609350743736332997e-03,5.000000000000000278e-02,2.000000000000000000e+00
2.598699999999999832e+01,1.661491313945827164e+00,2.077050139268021151e-02,8.000000000000000444e-01,2.250000000000000000e+00
2.598699999999999832e+01,1.108737258259930414e+00,1.646697777361231076e-03,5.000000000000000278e-02,2.250000000000000000e+00
2.598699999999999832e+01,1.412254988530214028e+00,9.515257514242815920e-03,4.000000000000000222e-01,2.250000000000000000e+00
2.598699999999999832e+01,1.266489747810267907e+00,4.814098854488200845e-03,2.000000000000000111e-01,2.250000000000000000e+00
2.598699999999999832e+01,1.173711261093792757e+00,2.837388058377376433e-03,1.000000000000000056e-01,2.250000000000000000e+00
2.598699999999999832e+01,1.105662457993708214e+00,1.671573695797517025e-03,5.000000000000000278e-02,2.500000000000000000e+00
2.598699999999999832e+01,1.399189417669793656e+00,9.320846215444404323e-03,4.000000000000000222e-01,2.500000000000000000e+00
2.598699999999999832e+01,1.262491221205095604e+00,5.059581829112064222e-03,2.000000000000000111e-01,2.500000000000000000e+00
2.598699999999999832e+01,1.588883217904085488e+00,2.446449097824316896e-02,8.000000000000000444e-01,2.500000000000000000e+00
2.598699999999999832e+01,1.168813210365973632e+00,2.927982513017405013e-03,1.000000000000000056e-01,2.500000000000000000e+00
2.598699999999999832e+01,1.255118601805957468e+00,5.127042643894414407e-03,2.000000000000000111e-01,2.750000000000000000e+00
2.598699999999999832e+01,1.104061894620554041e+00,1.693386939089860195e-03,5.000000000000000278e-02,2.750000000000000000e+00
2.598699999999999832e+01,1.383714482096092713e+00,9.017639440718174665e-03,4.000000000000000222e-01,2.750000000000000000e+00
2.598699999999999832e+01,1.557888049990458601e+00,2.156539069319128241e-02,8.000000000000000444e-01,2.750000000000000000e+00
2.598699999999999832e+01,1.166018693707350895e+00,2.992540889715795092e-03,1.000000000000000056e-01,2.750000000000000000e+00
2.598699999999999832e+01,1.102644217915120350e+00,1.691942709976900503e-03,5.000000000000000278e-02,3.000000000000000000e+00
2.598699999999999832e+01,1.163123854073621066e+00,3.028335741002675507e-03,1.000000000000000056e-01,3.000000000000000000e+00
2.598699999999999832e+01,1.365837826915003994e+00,1.052338449802639984e-02,4.000000000000000222e-01,3.000000000000000000e+00
2.598699999999999832e+01,1.517464882362688172e+00,2.322989826912310110e-02,8.000000000000000444e-01,3.000000000000000000e+00
2.598699999999999832e+01,1.246742310406189880e+00,5.484939709734586513e-03,2.000000000000000111e-01,3.000000000000000000e+00
