# pos_1,average_velocity_axis
1.389139705019461386e-03,9.796105160660655009e-02
2.470278535103650856e-03,1.876317689530675736e-01
4.392845456035934966e-03,2.855240742254555597e-01
7.811706625951745156e-03,4.290693606068195498e-01
1.389139705019461560e-02,6.469393259238881422e-01
2.470278535103651030e-02,7.956611357025537012e-01
4.392845456035934792e-02,8.511915525023914242e-01
7.811706625951746197e-02,8.944393956490628295e-01
1.389139705019461490e-01,9.591373433430729900e-01
2.470278535103651030e-01,1.030174191677204254e+00
4.392845456035935348e-01,1.107008273423639721e+00
7.811706625951745364e-01,1.179252527469329070e+00
