# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.970000000000000195e-01,1.041843323444565872e+00,2.640872334237654318e-03
1.794000000000000039e+00,1.052359773918025709e+00,2.483532771845328203e-03
2.690999999999999837e+00,1.061262514615466834e+00,2.373160894834968736e-03
3.581500000000000128e+00,1.068233277879483190e+00,2.283511619146231034e-03
4.478500000000000369e+00,1.073851449106055567e+00,2.210550553562790153e-03
5.375499999999999723e+00,1.078259340048054016e+00,2.149742864543676725e-03
6.272499999999999964e+00,1.081928904220452958e+00,2.095645525536064899e-03
7.169500000000000206e+00,1.085103778305000155e+00,2.047017080521330423e-03
8.066499999999999559e+00,1.087928484309322208e+00,2.004907372474803388e-03
8.963499999999999801e+00,1.090450328689975379e+00,1.967628945006505252e-03
9.853999999999999204e+00,1.092693808984563253e+00,1.933084376827233107e-03
1.075099999999999945e+01,1.094768201969143817e+00,1.901077847157152303e-03
1.164799999999999969e+01,1.096601752394535723e+00,1.870263424702946686e-03
1.254499999999999993e+01,1.098233051861023046e+00,1.839643458494880264e-03
1.344200000000000017e+01,1.099729839864716618e+00,1.811017408421529288e-03
1.433900000000000041e+01,1.101107490434225067e+00,1.784685788059422887e-03
1.523600000000000065e+01,1.102402423461106951e+00,1.760653588275451183e-03
1.613299999999999912e+01,1.103663211912296216e+00,1.738670611109130416e-03
1.702349999999999852e+01,1.104876597689227191e+00,1.718949927458095781e-03
1.792050000000000054e+01,1.106019338264624396e+00,1.699936454267398202e-03
1.881749999999999901e+01,1.107092185013914598e+00,1.680644850895773781e-03
1.971450000000000102e+01,1.108153636242762641e+00,1.661199312605014279e-03
2.061149999999999949e+01,1.109189378168240703e+00,1.642187240420732615e-03
2.150850000000000151e+01,1.110174498458458503e+00,1.623411338700160751e-03
2.240549999999999997e+01,1.111131682601351089e+00,1.605083470575294864e-03
2.329599999999999937e+01,1.112024422644143362e+00,1.586927140458298984e-03
2.419300000000000139e+01,1.112858078962355890e+00,1.569171202736069750e-03
2.508999999999999986e+01,1.113628230598924240e+00,1.551278240813378905e-03
2.598699999999999832e+01,1.114320566345545549e+00,1.533520205593605096e-03
