# pos_1,max_average_velocity_axis,parameter
1.389139705019461386e-03,1.693462119744237326e-01,0.000000000000000000e+00
2.470278535103650856e-03,2.211775188825362559e-01,0.000000000000000000e+00
4.392845456035934966e-03,3.112944827914082002e-01,0.000000000000000000e+00
7.811706625951745156e-03,4.544421069815250402e-01,0.000000000000000000e+00
1.389139705019461560e-02,7.514749470712771551e-01,2.500000000000000000e-01
2.470278535103651030e-02,8.776333650512480045e-01,2.500000000000000000e-01
4.392845456035934792e-02,9.242664299312987053e-01,2.500000000000000000e-01
7.811706625951746197e-02,9.678258860988989687e-01,2.500000000000000000e-01
1.389139705019461490e-01,1.025971608220614062e+00,5.000000000000000000e-01
2.470278535103651030e-01,1.091756229140912637e+00,7.500000000000000000e-01
4.392845456035935348e-01,1.162484166521544404e+00,1.000000000000000000e+00
7.811706625951745364e-01,1.233292741972974005e+00,1.000000000000000000e+00
