# pos_1,concentration
1.389139705019461386e-03,3.216234271203113781e+00
2.470278535103650856e-03,2.712932163286462917e+00
4.392845456035934966e-03,5.085312892846766131e-01
7.811706625951745156e-03,8.579044773513054833e-01
1.389139705019461560e-02,3.216234271203112782e-01
2.470278535103651030e-02,1.266035009533682754e+00
4.392845456035934792e-02,9.662094496408855093e-01
7.811706625951746197e-02,1.229663084203537871e+00
1.389139705019461490e-01,8.683832532248404457e-01
2.470278535103651030e-01,1.085172865314585122e+00
4.392845456035935348e-01,1.006891952783659727e+00
7.811706625951745364e-01,9.722917409981461923e-01
