# surftimeconst,average_velocity_axis_1_t_inf__params_0o8,average_velocity_axis_1_t_inf__params_0o4,average_velocity_axis_1_t_inf__params_0o2,average_velocity_axis_1_t_inf__params_0o1,average_velocity_axis_1_t_inf__params_0o05
0.000000000000000000e+00,8.304906796641642330e-01,4.147759629577838503e-01,2.081375668536979973e-01,1.066770121921983283e-01,5.523039630306086911e-02
6.122448979591836593e-02,8.082956281286168831e-01,4.077130909516480384e-01,2.071704814975139641e-01,1.075026256711704153e-01,5.670256738126644436e-02
1.224489795918367319e-01,7.863339701023051020e-01,4.005142707788722500e-01,2.059992074246330684e-01,1.081468825308092296e-01,5.802681061091634340e-02
1.836734693877550839e-01,7.646173746083402278e-01,3.931925291422417312e-01,2.046333990602671182e-01,1.086173463777544007e-01,5.920830478670609937e-02
2.448979591836734637e-01,7.431575106698338207e-01,3.857608927445417280e-01,2.030827108296278938e-01,1.089215808186455442e-01,6.025222870333128006e-02
3.061224489795918435e-01,7.219660473098973297e-01,3.782323882885577082e-01,2.013567971579271754e-01,1.090671494601222896e-01,6.116376115548744635e-02
3.673469387755101678e-01,7.010546535516423150e-01,3.706200424770747515e-01,1.994653124703767155e-01,1.090616159088242526e-01,6.194808093787016606e-02
4.285714285714285476e-01,6.804349984181801148e-01,3.629368820128782702e-01,1.974179111921882668e-01,1.089125437713910766e-01,6.261036684517498618e-02
4.897959183673469274e-01,6.601187509326222891e-01,3.551959335987536215e-01,1.952242477485736372e-01,1.086274966544623910e-01,6.315579767209747453e-02
5.510204081632652517e-01,6.401175801180802871e-01,3.474102239374858847e-01,1.928939765647446070e-01,1.082140381646778254e-01,6.358955221333319197e-02
6.122448979591836871e-01,6.204431549976654470e-01,3.395927797318605834e-01,1.904367520659129287e-01,1.076797319086769816e-01,6.391680926357769243e-02
6.734693877551020114e-01,6.011071445944895508e-01,3.317566276846630191e-01,1.878622286772904104e-01,1.070321414930994891e-01,6.414274761752655762e-02
7.346938775510203357e-01,5.821212179316638258e-01,3.239147944986782712e-01,1.851800608240887769e-01,1.062788305245850190e-01,6.427254606987532759e-02
7.959183673469387710e-01,5.634970440322997209e-01,3.160803068766918078e-01,1.823999029315198639e-01,1.054273626097731731e-01,6.431138341531955627e-02
8.571428571428570953e-01,5.452462919195087965e-01,3.082661915214888193e-01,1.795314094247953962e-01,1.044853013553035392e-01,6.426443844855481147e-02
9.183673469387755306e-01,5.273806306164025015e-01,3.004854751358547738e-01,1.765842347291271819e-01,1.034602103678158025e-01,6.413688996427666100e-02
9.795918367346938549e-01,5.099117291460923962e-01,2.927511844225747506e-01,1.735680332697270012e-01,1.023596532539495646e-01,6.393391675718065881e-02
1.040816326530612290e+00,4.928512565316897631e-01,2.850763460844342179e-01,1.704924594718065511e-01,1.011911936203444412e-01,6.366069762196237269e-02
1.102040816326530503e+00,4.762108817963062735e-01,2.774739868242184770e-01,1.673671677605777230e-01,9.996239507364008958e-02,6.332241135331734272e-02
1.163265306122448939e+00,4.600022739630532653e-01,2.699571333447127186e-01,1.642018125612521862e-01,9.868082122047611149e-02,6.292423674594115057e-02
1.224489795918367374e+00,4.442371020550421878e-01,2.625388123487022440e-01,1.610060482990418040e-01,9.735403566749216420e-02,6.247135259452935019e-02
1.285714285714285587e+00,4.289270350953847122e-01,2.552320505389724659e-01,1.577895293991582737e-01,9.598960202132782171e-02,6.196893769377750244e-02
1.346938775510204023e+00,4.140837421071920654e-01,2.480498746183085468e-01,1.545619102868134309e-01,9.459508388862275519e-02,6.142217083838114738e-02
1.408163265306122458e+00,3.997188921135757522e-01,2.410053112894958716e-01,1.513328453872190005e-01,9.317804487601658026e-02,6.083623082303586671e-02
1.469387755102040671e+00,3.858441541376474992e-01,2.341113872553196862e-01,1.481119891255868182e-01,9.174604859014895419e-02,6.021629644243723517e-02
1.530612244897959107e+00,3.724711972025184781e-01,2.273811292185653199e-01,1.449089959271286365e-01,9.030665863765945101e-02,5.956754649128078588e-02
1.591836734693877542e+00,3.596116903313001933e-01,2.208275638820180742e-01,1.417335202170562081e-01,8.886743862518772796e-02,5.889515976426210053e-02
1.653061224489795977e+00,3.472773025471043162e-01,2.144637179484631950e-01,1.385952164205812853e-01,8.743595215937334519e-02,5.820431505607670530e-02
1.714285714285714191e+00,3.354797028730421848e-01,2.083026181206860672e-01,1.355037389629157041e-01,8.601976284685605711e-02,5.750019116142018882e-02
1.775510204081632626e+00,3.242305603322252483e-01,2.023572911014719367e-01,1.324687422692711891e-01,8.462643429427540998e-02,5.678796687498811196e-02
1.836734693877551061e+00,3.135415439477650112e-01,1.966407635936060772e-01,1.294998807648595762e-01,8.326353010827103329e-02,5.607282099147600785e-02
1.897959183673469274e+00,3.034243227427730338e-01,1.911660622998738734e-01,1.266068088748925624e-01,8.193861389548258434e-02,5.535993230557946509e-02
1.959183673469387710e+00,2.938905657403605431e-01,1.859462139230604882e-01,1.237991810245819835e-01,8.065924926254966487e-02,5.465447961199403071e-02
