# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.970000000000000195e-01,3.376898993032047269e-02,3.571395729596403145e-04
1.794000000000000039e+00,3.657372497137151984e-02,3.950448568505529612e-04
2.690999999999999837e+00,3.924698385920560861e-02,3.960859542336553222e-04
3.581500000000000128e+00,4.069262816836052149e-02,3.915057279668689139e-04
4.478500000000000369e+00,4.180891248141376665e-02,3.869528557948452856e-04
5.375499999999999723e+00,4.268309385422015823e-02,3.800970140434839625e-04
6.272499999999999964e+00,4.322296919931126885e-02,3.732501716232853456e-04
7.169500000000000206e+00,4.367816973854022483e-02,3.672886731213973908e-04
8.066499999999999559e+00,4.413816487853888110e-02,3.615885108752191169e-04
8.963499999999999801e+00,4.456835462436788131e-02,3.569552001886598116e-04
9.853999999999999204e+00,4.498512330339386051e-02,3.529541269409784492e-04
1.075099999999999945e+01,4.534813745397062168e-02,3.485884737406897880e-04
1.164799999999999969e+01,4.567838924787221561e-02,3.449412982250363302e-04
1.254499999999999993e+01,4.602427036712682107e-02,3.411594821958371915e-04
1.344200000000000017e+01,4.637479565565951617e-02,3.369060355742554448e-04
1.433900000000000041e+01,4.670834706694043659e-02,3.326017396504811854e-04
1.523600000000000065e+01,4.708944488373675158e-02,3.279127346630745436e-04
1.613299999999999912e+01,4.746174965233886101e-02,3.234117564725718231e-04
1.702349999999999852e+01,4.781198387664260807e-02,3.190419811025201860e-04
1.792050000000000054e+01,4.818783301622777543e-02,3.144175467903331670e-04
1.881749999999999901e+01,4.856078868424117123e-02,3.101481953212745072e-04
1.971450000000000102e+01,4.891232247354978385e-02,3.056801444085808649e-04
2.061149999999999949e+01,4.925620774251435879e-02,3.004757420110447017e-04
2.150850000000000151e+01,4.957219830832619578e-02,2.951947243200930869e-04
2.240549999999999997e+01,4.986765676181482282e-02,2.891682795830003263e-04
2.329599999999999937e+01,5.013059051593037746e-02,2.827161238195290333e-04
2.419300000000000139e+01,5.037310518064894854e-02,2.759899990864737927e-04
2.508999999999999986e+01,5.058236372342635179e-02,2.687824673470878031e-04
2.598699999999999832e+01,5.076126867547076094e-02,2.614233495389879712e-04
