# pos_1,max_average_velocity_axis,parameter
1.389139705019461386e-03,9.999613011573109389e-02,0.000000000000000000e+00
2.470278535103650856e-03,1.000227066124647346e-01,0.000000000000000000e+00
4.392845456035934966e-03,9.989337782441219671e-02,0.000000000000000000e+00
7.811706625951745156e-03,9.994420068617580755e-02,0.000000000000000000e+00
1.389139705019461560e-02,1.002122657810787382e-01,0.000000000000000000e+00
2.470278535103651030e-02,1.005760796229841214e-01,0.000000000000000000e+00
4.392845456035934792e-02,1.110201276842390089e-01,2.500000000000000000e-01
7.811706625951746197e-02,1.196322972306608362e-01,2.500000000000000000e-01
1.389139705019461490e-01,1.223218963031222212e-01,2.500000000000000000e-01
2.470278535103651030e-01,1.218206107161793478e-01,5.000000000000000000e-01
4.392845456035935348e-01,1.193660285694244511e-01,5.000000000000000000e-01
7.811706625951745364e-01,1.154977596336195095e-01,7.500000000000000000e-01
