# pos_1,concentration
1.389139705019461386e-03,3.220264639964019793e+00
2.470278535103650856e-03,0.000000000000000000e+00
4.392845456035934966e-03,5.091685465394193422e-01
7.811706625951745156e-03,1.145306060824883954e+00
1.389139705019461560e-02,9.660793919892056714e-01
2.470278535103651030e-02,6.338107597853462893e-01
4.392845456035934792e-02,1.120170802386722286e+00
7.811706625951746197e-02,5.153877273711977569e-01
1.389139705019461490e-01,7.406608671917244147e-01
2.470278535103651030e-01,7.877362300189302280e-01
4.392845456035935348e-01,1.359480019260249861e+00
7.811706625951745364e-01,9.677836213970270052e-01
