# pos_1,average_velocity_axis
1.389139705019461386e-03,5.093968231631199051e-02
2.470278535103650856e-03,5.923071457849455462e-02
4.392845456035934966e-03,6.200984120611712641e-02
7.811706625951745156e-03,5.496482122105177115e-02
1.389139705019461560e-02,4.585229745296315329e-02
2.470278535103651030e-02,4.933707486898165906e-02
4.392845456035934792e-02,6.058858776018183345e-02
7.811706625951746197e-02,6.791652383250580682e-02
1.389139705019461490e-01,7.469024035584381771e-02
2.470278535103651030e-01,8.744923922459048315e-02
4.392845456035935348e-01,1.053079985061011747e-01
7.811706625951745364e-01,1.405008935865304509e-01
