# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.970000000000000195e-01,6.353921393356277980e-02,1.855014075144270462e-03
1.794000000000000039e+00,7.100457953868670458e-02,1.639775772487418867e-03
2.690999999999999837e+00,7.574563121209494654e-02,1.502082062278598798e-03
3.581500000000000128e+00,7.864649469677131854e-02,1.395916162965370015e-03
4.478500000000000369e+00,8.041661485497572648e-02,1.312542391903355780e-03
5.375499999999999723e+00,8.145291118989519963e-02,1.254550601492765644e-03
6.272499999999999964e+00,8.245688375863773067e-02,1.212389881531886898e-03
7.169500000000000206e+00,8.336454041741590826e-02,1.164396842727984235e-03
8.066499999999999559e+00,8.393223251075235258e-02,1.124579108634136742e-03
8.963499999999999801e+00,8.466127225392731936e-02,1.081478501943534346e-03
9.853999999999999204e+00,8.506717890516959923e-02,1.039051441502467652e-03
1.075099999999999945e+01,8.544653833752870187e-02,1.006568595367248560e-03
1.164799999999999969e+01,8.599825835747951230e-02,9.782063576681259299e-04
1.254499999999999993e+01,8.629257431608199080e-02,9.583318312489522497e-04
1.344200000000000017e+01,8.661428438408280694e-02,9.385546057193439040e-04
1.433900000000000041e+01,8.676794558485036168e-02,9.162374298581462328e-04
1.523600000000000065e+01,8.685124172434760537e-02,8.998179602536072281e-04
1.613299999999999912e+01,8.696660213522455773e-02,8.822531491374093968e-04
1.702349999999999852e+01,8.701838231766723109e-02,8.674570971790276008e-04
1.792050000000000054e+01,8.712093828950463748e-02,8.486333230556174180e-04
1.881749999999999901e+01,8.712938024964872463e-02,8.318150184990066517e-04
1.971450000000000102e+01,8.714202576889820695e-02,8.176907907886650593e-04
2.061149999999999949e+01,8.716383325675550187e-02,8.047598291013955546e-04
2.150850000000000151e+01,8.719594131250028857e-02,7.930059631044403300e-04
2.240549999999999997e+01,8.726932305708635929e-02,7.816180828443022562e-04
2.329599999999999937e+01,8.738120806177840372e-02,7.704933162113958506e-04
2.419300000000000139e+01,8.753099019145131610e-02,7.619463942898847039e-04
2.508999999999999986e+01,8.756101339958892449e-02,7.535828790568915511e-04
2.598699999999999832e+01,8.756997863155975559e-02,7.457698589577836656e-04
