# pos_1,max_average_velocity_axis,parameter
1.389139705019461386e-03,1.993765385905608978e-01,0.000000000000000000e+00
2.470278535103650856e-03,2.063522228013994486e-01,0.000000000000000000e+00
4.392845456035934966e-03,2.041629971102243979e-01,0.000000000000000000e+00
7.811706625951745156e-03,2.003445236339809754e-01,0.000000000000000000e+00
1.389139705019461560e-02,2.021927497789569317e-01,0.000000000000000000e+00
2.470278535103651030e-02,2.002545126167853129e-01,0.000000000000000000e+00
4.392845456035934792e-02,2.193538906119338605e-01,2.500000000000000000e-01
7.811706625951746197e-02,2.277776766710876977e-01,2.500000000000000000e-01
1.389139705019461490e-01,2.241555203896402060e-01,2.500000000000000000e-01
2.470278535103651030e-01,2.230027009547628503e-01,2.500000000000000000e-01
4.392845456035935348e-01,2.176411053315212840e-01,2.500000000000000000e-01
7.811706625951745364e-01,2.101303855677024157e-01,2.500000000000000000e-01
