# pos_1,concentration
1.389139705019461386e-03,0.000000000000000000e+00
2.470278535103650856e-03,0.000000000000000000e+00
4.392845456035934966e-03,5.091685465394193422e-01
7.811706625951745156e-03,8.589795456186630762e-01
1.389139705019461560e-02,3.220264639964018905e-01
2.470278535103651030e-02,1.448710308080791265e+00
4.392845456035934792e-02,9.674202384248965503e-01
7.811706625951746197e-02,1.173938712345506064e+00
1.389139705019461490e-01,9.338767455895655711e-01
2.470278535103651030e-01,1.122750488762613186e+00
4.392845456035935348e-01,1.074345633198174887e+00
7.811706625951745364e-01,9.248346441160938403e-01
