# pos_1,average_velocity_axis
1.389139705019461386e-03,6.593453355154729745e-02
2.470278535103650856e-03,8.650852912777709514e-02
4.392845456035934966e-03,7.470663877914719697e-02
7.811706625951745156e-03,8.761046804227456963e-02
1.389139705019461560e-02,8.327453914819497871e-02
2.470278535103651030e-02,9.640468941225584232e-02
4.392845456035934792e-02,1.091080203772804708e-01
7.811706625951746197e-02,1.093339503137920610e-01
1.389139705019461490e-01,1.104380893537518366e-01
2.470278535103651030e-01,1.201082333576514449e-01
4.392845456035935348e-01,1.503797506113958293e-01
7.811706625951745364e-01,2.111130764641825364e-01
