# surftimeconst,average_velocity_axis_0_t_inf__params_0o5,average_velocity_axis_0_t_inf__params_4o0,average_velocity_axis_0_t_inf__params_1o0,average_velocity_axis_0_t_inf__params_8o0
0.000000000000000000e+00,1.094343552527324848e-01,8.372466283384817354e-01,1.980757524273344394e-01,1.771017190359966076e+00
3.571428571428571230e-02,1.111892893136998683e-01,8.523920783893543796e-01,2.059620161711266106e-01,1.779022211674186504e+00
7.142857142857142461e-02,1.129801325664205464e-01,8.668961055855455289e-01,2.135112995452377593e-01,1.786760154865241867e+00
1.071428571428571369e-01,1.148036683181129641e-01,8.807730766605982309e-01,2.207325020490928935e-01,1.794233173254371483e+00
1.428571428571428492e-01,1.166566798759955947e-01,8.940373583480552000e-01,2.276345231821170767e-01,1.801443420162816444e+00
1.785714285714285476e-01,1.185359505472868002e-01,9.067033173814594837e-01,2.342262624437353724e-01,1.808393048911816958e+00
2.142857142857142738e-01,1.204382636392050537e-01,9.187853204943541297e-01,2.405166193333728164e-01,1.815084212822613896e+00
2.500000000000000000e-01,1.223604024589688144e-01,9.302977344202821852e-01,2.465144933504544167e-01,1.821519065216447242e+00
2.857142857142856984e-01,1.242991503137964998e-01,9.412549258927862539e-01,2.522287839944052923e-01,1.827699759414557645e+00
3.214285714285713969e-01,1.262512905109065553e-01,9.516712616454096052e-01,2.576683907646503680e-01,1.833628448738185757e+00
3.571428571428570953e-01,1.282136063575173845e-01,9.615611084116949536e-01,2.628422131606147905e-01,1.839307286508571337e+00
3.928571428571428492e-01,1.301828811608474468e-01,9.709388329251854577e-01,2.677591506817235678e-01,1.844738426046955482e+00
4.285714285714285476e-01,1.321558982281152428e-01,9.798188019194239429e-01,2.724281028274017080e-01,1.849924020674578173e+00
4.642857142857142461e-01,1.341294408665390792e-01,9.882153821279533457e-01,2.768579690970743301e-01,1.854866223712680284e+00
5.000000000000000000e-01,1.361002923833375122e-01,9.961429402843166026e-01,2.810576489901664421e-01,1.859567188482502242e+00
5.357142857142856984e-01,1.380652360857289318e-01,1.003615843122056761e+00,2.850360420061031075e-01,1.864029068305283587e+00
5.714285714285713969e-01,1.400210552809317277e-01,1.010648457374716980e+00,2.888020476443093343e-01,1.868254016502266079e+00
6.071428571428570953e-01,1.419645332761644563e-01,1.017255149775839751e+00,2.923645654042100750e-01,1.872244186394689480e+00
6.428571428571427937e-01,1.438924533786454518e-01,1.023450287058967900e+00,2.957324947852305042e-01,1.876001731303794218e+00
6.785714285714284921e-01,1.458015988955931597e-01,1.029248235957645141e+00,2.989147352867956853e-01,1.879528804550820942e+00
7.142857142857141906e-01,1.476887531342260529e-01,1.034663363205413633e+00,3.019201864083306264e-01,1.882827559457010080e+00
7.500000000000000000e-01,1.495506994017625768e-01,1.039710035535817090e+00,3.047577476492602799e-01,1.885900149343601617e+00
7.857142857142856984e-01,1.513842210054211490e-01,1.044402619682397670e+00,3.074363185090098760e-01,1.888748727531836646e+00
8.214285714285713969e-01,1.531861012524202148e-01,1.048755482378699089e+00,3.099647984870042006e-01,1.891375447342955374e+00
8.571428571428570953e-01,1.549531234499781918e-01,1.052782990358263504e+00,3.123520870826685947e-01,1.893782462098198005e+00
