# averaged_norm_measured_gradient_derivative,95CLI,correlation_time,95CLI,vs,surftimeconst
2.597366290254026353e+02,5.914622551688936830e-02,4.418443040406313388e-02,8.638304990142673008e-05,5.000000000000000000e-01,0.000000000000000000e+00
3.561356923391871305e+02,5.045985270208468876e+00,3.299086810647305218e-02,3.712757887512083479e-04,8.000000000000000000e+00,0.000000000000000000e+00
2.861405961179407313e+02,1.038085236022749935e+00,3.985449365359130386e-02,4.168671120990427408e-04,4.000000000000000000e+00,0.000000000000000000e+00
2.611407150555686485e+02,1.301833165373827150e-01,4.397421929653797662e-02,1.635179949725285345e-04,1.000000000000000000e+00,0.000000000000000000e+00
2.597607322560641023e+02,5.797282368204379616e-02,4.389338405457654524e-02,8.650172627161677110e-05,5.000000000000000000e-01,1.000000000000000000e+00
3.546338072548784339e+02,2.786439231626085533e+00,3.048949184897341291e-02,2.759587624829952296e-04,8.000000000000000000e+00,1.000000000000000000e+00
2.897426797333747572e+02,8.947106240444397951e-01,3.745320454293801782e-02,3.051605023685531278e-04,4.000000000000000000e+00,1.000000000000000000e+00
2.613091779591867407e+02,1.267009835913882609e-01,4.289972997126952070e-02,1.568130201936980637e-04,1.000000000000000000e+00,1.000000000000000000e+00
2.596828622766790318e+02,5.905454639690742996e-02,4.355885447891399975e-02,8.775701009110653268e-05,5.000000000000000000e-01,2.000000000000000000e+00
3.451491719188898060e+02,2.539710713336913450e+00,2.987201135446144323e-02,3.119820935898905937e-04,8.000000000000000000e+00,2.000000000000000000e+00
2.871907186045804110e+02,8.932220477301586747e-01,3.578220850369963346e-02,2.351677908053429150e-04,4.000000000000000000e+00,2.000000000000000000e+00
2.610990501801337587e+02,1.216905161517464334e-01,4.197402758926898486e-02,1.529074236018526016e-04,1.000000000000000000e+00,2.000000000000000000e+00
3.381012098128943535e+02,2.721515002085344470e+00,2.917432379297444159e-02,4.371118168788895196e-04,8.000000000000000000e+00,3.000000000000000000e+00
2.838561371000098461e+02,8.212885682382140562e-01,3.500249426849678935e-02,2.989215492079419891e-04,4.000000000000000000e+00,3.000000000000000000e+00
2.608135236466689548e+02,1.199428083727343552e-01,4.182894852962212168e-02,1.646158030767015288e-04,1.000000000000000000e+00,3.000000000000000000e+00
2.596226796832274317e+02,5.920406096112740268e-02,4.351296509103856625e-02,8.811105193851983413e-05,5.000000000000000000e-01,3.000000000000000000e+00
2.607516377090927904e+02,1.288229130400634359e-01,4.195602447547022718e-02,1.650607285654925177e-04,1.000000000000000000e+00,4.000000000000000000e+00
3.308544927680159162e+02,2.748546020624118569e+00,2.992259988433723303e-02,3.132973016638154339e-04,8.000000000000000000e+00,4.000000000000000000e+00
2.596202656562310267e+02,5.799624065184162680e-02,4.363500617218815658e-02,8.831762945651771299e-05,5.000000000000000000e-01,4.000000000000000000e+00
2.835414109048076057e+02,8.183877072227004890e-01,3.504580361926723509e-02,3.821828237168139498e-04,4.000000000000000000e+00,4.000000000000000000e+00
3.274348084619326755e+02,3.031510764190773699e+00,3.008464631565115413e-02,3.561784055233083103e-04,8.000000000000000000e+00,5.000000000000000000e+00
2.608697530680318550e+02,1.293530988585350483e-01,4.231166060196386858e-02,1.688883519698828586e-04,1.000000000000000000e+00,5.000000000000000000e+00
2.597086939350568855e+02,6.002825473748246016e-02,4.364017134062953690e-02,8.939882726467332269e-05,5.000000000000000000e-01,5.000000000000000000e+00
2.823136566690879476e+02,7.371621977131619374e-01,3.592327380247975488e-02,3.323624073259150765e-04,4.000000000000000000e+00,5.000000000000000000e+00
3.348086949942761521e+02,1.790598546185654172e+00,3.094872029745085462e-02,2.911038031488609695e-04,8.000000000000000000e+00,6.000000000000000000e+00
2.819315794211100865e+02,5.379657481807688102e-01,3.602537495372129528e-02,3.220428308804487846e-04,4.000000000000000000e+00,6.000000000000000000e+00
2.596349299330687472e+02,5.812799002954437827e-02,4.376967166820226740e-02,8.858163627235461223e-05,5.000000000000000000e-01,6.000000000000000000e+00
2.607265374127825908e+02,1.286407064268138278e-01,4.264015825337377774e-02,1.739420717381729201e-04,1.000000000000000000e+00,6.000000000000000000e+00
2.806668395434483045e+02,8.779195786273356061e-01,3.673177897690609039e-02,3.872326961355535479e-04,4.000000000000000000e+00,7.000000000000000000e+00
2.606575199135068033e+02,1.256365477041815060e-01,4.273854155964613988e-02,1.676927176489516509e-04,1.000000000000000000e+00,7.000000000000000000e+00
2.595228680694578998e+02,5.761846395247648134e-02,4.379795541197135933e-02,8.788438040668621390e-05,5.000000000000000000e-01,7.000000000000000000e+00
3.344394581991423365e+02,1.890439432448282053e+00,3.139485217102355730e-02,1.585770738711578850e-04,8.000000000000000000e+00,7.000000000000000000e+00
2.596248313915439212e+02,5.874718608548316207e-02,4.389484033976482485e-02,8.837731158824439369e-05,5.000000000000000000e-01,8.000000000000000000e+00
2.815534604443050739e+02,1.107308809083126899e+00,3.784936877686946588e-02,5.495648934950943167e-04,4.000000000000000000e+00,8.000000000000000000e+00
2.606613862514528819e+02,1.277154842383582400e-01,4.305543656831400251e-02,1.709427472564632137e-04,1.000000000000000000e+00,8.000000000000000000e+00
3.313101077004213266e+02,3.371036063349637235e+00,3.196649284363854704e-02,6.584772283005909744e-04,8.000000000000000000e+00,8.000000000000000000e+00
