# time,omega_active^2,95CLI,vs,surftimeconst
9.996000000000000441e+00,4.164218532614913215e+01,1.972962820566316888e-01,5.000000000000000000e-01,2.500000000000000000e-01
9.996000000000000441e+00,4.090210858042379982e+01,8.579097346634457777e-01,4.000000000000000000e+00,2.500000000000000000e-01
9.996000000000000441e+00,4.116865296671464591e+01,3.553815220560952448e-01,1.000000000000000000e+00,2.500000000000000000e-01
9.996000000000000441e+00,4.439905859841533697e+01,1.240858974086363142e+00,8.000000000000000000e+00,2.500000000000000000e-01
9.996000000000000441e+00,8.346423869953241592e+01,1.713712607976396685e+00,8.000000000000000000e+00,5.000000000000000000e-01
9.996000000000000441e+00,6.951892868861295938e+01,1.982117121124062076e-01,5.000000000000000000e-01,5.000000000000000000e-01
9.996000000000000441e+00,7.231557165176747048e+01,9.596144451750157067e-01,4.000000000000000000e+00,5.000000000000000000e-01
9.996000000000000441e+00,6.930579989502609806e+01,3.744634182390325639e-01,1.000000000000000000e+00,5.000000000000000000e-01
9.996000000000000441e+00,1.143348606015293853e+02,2.287662342205868393e-01,5.000000000000000000e-01,7.500000000000000000e-01
9.996000000000000441e+00,1.254237590634743924e+02,1.323370556017753774e+00,4.000000000000000000e+00,7.500000000000000000e-01
9.996000000000000441e+00,1.148874037989835131e+02,4.278604229647991475e-01,1.000000000000000000e+00,7.500000000000000000e-01
9.996000000000000441e+00,1.466388072724943186e+02,2.610148086800585521e+00,8.000000000000000000e+00,7.500000000000000000e-01
9.996000000000000441e+00,3.578710631128876685e+02,7.977452037401679519e+00,8.000000000000000000e+00,1.250000000000000000e+00
9.996000000000000441e+00,2.500828857057360608e+02,5.546696766035993376e-01,5.000000000000000000e-01,1.250000000000000000e+00
9.996000000000000441e+00,3.137445449400803454e+02,3.929558581714707621e+00,4.000000000000000000e+00,1.250000000000000000e+00
9.996000000000000441e+00,2.586177104188985822e+02,1.071315872689369675e+00,1.000000000000000000e+00,1.250000000000000000e+00
9.996000000000000441e+00,5.237045873140351659e+02,8.061900225007232024e+00,8.000000000000000000e+00,1.500000000000000000e+00
9.996000000000000441e+00,3.380974482841740496e+02,8.510085304846598531e-01,5.000000000000000000e-01,1.500000000000000000e+00
9.996000000000000441e+00,4.475678170571442251e+02,5.436137677534519597e+00,4.000000000000000000e+00,1.500000000000000000e+00
9.996000000000000441e+00,3.556116500329123369e+02,1.772297047193154729e+00,1.000000000000000000e+00,1.500000000000000000e+00
9.996000000000000441e+00,4.704075640250616743e+02,2.709450757938895560e+00,1.000000000000000000e+00,1.750000000000000000e+00
9.996000000000000441e+00,4.415596068344013929e+02,1.308259975603071057e+00,5.000000000000000000e-01,1.750000000000000000e+00
9.996000000000000441e+00,7.530989685328713676e+02,2.317582574114197769e+01,8.000000000000000000e+00,1.750000000000000000e+00
9.996000000000000441e+00,6.445890567591417266e+02,1.127377770069036877e+01,4.000000000000000000e+00,1.750000000000000000e+00
