# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,2.352449020606884322e-01,1.735168386366625279e-02
6.899999999999999467e-01,2.429132614356884212e-01,1.439831021184211947e-02
1.034999999999999920e+00,2.472171148475241775e-01,1.346295089131786110e-02
1.379999999999999893e+00,2.470140065953351227e-01,1.251453629577967824e-02
1.721999999999999975e+00,2.462595387812137049e-01,1.180137837369434062e-02
2.067000000000000171e+00,2.432000625529148197e-01,1.109200706758696996e-02
2.411999999999999922e+00,2.425159318965070532e-01,1.048885599119644269e-02
2.757000000000000117e+00,2.434484097297787142e-01,9.919222876725962770e-03
3.101999999999999869e+00,2.426449005304037732e-01,9.347569249391951551e-03
3.447000000000000064e+00,2.433360227756926064e-01,8.949838904062947659e-03
3.791999999999999815e+00,2.423131878687862784e-01,8.655673691452937454e-03
4.136999999999999567e+00,2.439971991989213496e-01,8.419648213041483822e-03
4.482000000000000206e+00,2.440618206332273443e-01,8.089579149310140160e-03
4.826999999999999957e+00,2.435713272995649881e-01,7.825517895744467031e-03
5.168999999999999595e+00,2.434442286270918354e-01,7.519605692266869215e-03
5.514000000000000234e+00,2.430574172348227147e-01,7.307309160662704174e-03
5.858999999999999986e+00,2.439106961178848787e-01,7.135256527570191937e-03
6.203999999999999737e+00,2.444306604421038753e-01,6.920864017929463131e-03
6.549000000000000377e+00,2.436036583292773561e-01,6.800431105115904706e-03
6.894000000000000128e+00,2.446200078306317027e-01,6.752463588493375773e-03
7.238999999999999879e+00,2.460287714279855709e-01,6.732235661397596022e-03
7.583999999999999631e+00,2.467899450632087266e-01,6.599441842732725778e-03
7.929000000000000270e+00,2.465235715017656815e-01,6.494478011222248534e-03
8.273999999999999133e+00,2.466267137645032914e-01,6.469442378932657549e-03
8.615999999999999659e+00,2.466496617167551753e-01,6.483709034061159969e-03
8.961000000000000298e+00,2.470843773539504462e-01,6.445111386240217656e-03
9.305999999999999162e+00,2.474886309068074497e-01,6.320889492299139496e-03
9.650999999999999801e+00,2.471930340565420547e-01,6.205148465087098782e-03
9.996000000000000441e+00,2.468663351082620583e-01,6.144986308497373331e-03
