# distance__t_0.0,pdf__t_0.0,distance__t_2.499,pdf__t_2.499,distance__t_4.998,pdf__t_4.998,distance__t_7.5,pdf__t_7.5,distance__t_9.999,pdf__t_9.999
-4.949999999999999956e-01,0.000000000000000000e+00,1.749209999999999932e-01,0.000000000000000000e+00,3.412519999999999998e-01,0.000000000000000000e+00,-1.150689999999999769e-01,0.000000000000000000e+00,-2.688429999999999986e-01,0.000000000000000000e+00
-4.849999999999999867e-01,0.000000000000000000e+00,1.849210000000000020e-01,0.000000000000000000e+00,3.512520000000000087e-01,0.000000000000000000e+00,-1.050689999999999819e-01,0.000000000000000000e+00,-2.588429999999999898e-01,0.000000000000000000e+00
-4.749999999999999778e-01,0.000000000000000000e+00,1.949209999999999832e-01,0.000000000000000000e+00,3.612520000000000175e-01,0.000000000000000000e+00,-9.506899999999998685e-02,0.000000000000000000e+00,-2.488429999999999809e-01,0.000000000000000000e+00
-4.649999999999999689e-01,0.000000000000000000e+00,2.049209999999999920e-01,0.000000000000000000e+00,3.712520000000000264e-01,0.000000000000000000e+00,-8.506899999999997797e-02,0.000000000000000000e+00,-2.388429999999999997e-01,0.000000000000000000e+00
-4.550000000000000155e-01,0.000000000000000000e+00,2.149209999999999732e-01,0.000000000000000000e+00,3.812519999999999798e-01,0.000000000000000000e+00,-7.506899999999996909e-02,0.000000000000000000e+00,-2.288430000000000186e-01,0.000000000000000000e+00
-4.450000000000000067e-01,0.000000000000000000e+00,2.249209999999999821e-01,0.000000000000000000e+00,3.912519999999999887e-01,0.000000000000000000e+00,-6.506899999999998796e-02,0.000000000000000000e+00,-2.188430000000000097e-01,0.000000000000000000e+00
-4.349999999999999978e-01,0.000000000000000000e+00,2.349209999999999909e-01,0.000000000000000000e+00,4.012519999999999976e-01,0.000000000000000000e+00,-5.506899999999997908e-02,0.000000000000000000e+00,-2.088430000000000009e-01,0.000000000000000000e+00
-4.249999999999999889e-01,0.000000000000000000e+00,2.449209999999999998e-01,0.000000000000000000e+00,4.112520000000000064e-01,0.000000000000000000e+00,-4.506899999999997714e-02,0.000000000000000000e+00,-1.988429999999999920e-01,0.000000000000000000e+00
-4.150000000000000355e-01,0.000000000000000000e+00,2.549209999999999532e-01,0.000000000000000000e+00,4.212519999999999598e-01,0.000000000000000000e+00,-3.506899999999998213e-02,0.000000000000000000e+00,-1.888429999999999831e-01,0.000000000000000000e+00
-4.050000000000000266e-01,0.000000000000000000e+00,2.649209999999999621e-01,0.000000000000000000e+00,4.312519999999999687e-01,0.000000000000000000e+00,-2.506899999999998019e-02,0.000000000000000000e+00,-1.788430000000000020e-01,0.000000000000000000e+00
-3.950000000000000178e-01,0.000000000000000000e+00,2.749209999999999710e-01,0.000000000000000000e+00,4.412519999999999776e-01,0.000000000000000000e+00,-1.506899999999997825e-02,0.000000000000000000e+00,-1.688430000000000208e-01,0.000000000000000000e+00
-3.850000000000000089e-01,0.000000000000000000e+00,2.849209999999999798e-01,0.000000000000000000e+00,4.512519999999999865e-01,0.000000000000000000e+00,-5.068999999999983241e-03,0.000000000000000000e+00,-1.588430000000000120e-01,0.000000000000000000e+00
-3.750000000000000000e-01,0.000000000000000000e+00,2.949209999999999887e-01,0.000000000000000000e+00,4.612519999999999953e-01,0.000000000000000000e+00,4.931000000000018701e-03,0.000000000000000000e+00,-1.488430000000000031e-01,0.000000000000000000e+00
-3.649999999999999911e-01,0.000000000000000000e+00,3.049209999999999976e-01,0.000000000000000000e+00,4.712520000000000042e-01,0.000000000000000000e+00,1.493100000000002758e-02,0.000000000000000000e+00,-1.388429999999999942e-01,0.000000000000000000e+00
-3.549999999999999822e-01,0.000000000000000000e+00,3.149210000000000065e-01,0.000000000000000000e+00,4.812520000000000131e-01,0.000000000000000000e+00,2.493100000000002259e-02,0.000000000000000000e+00,-1.288429999999999853e-01,0.000000000000000000e+00
-3.449999999999999734e-01,0.000000000000000000e+00,3.249210000000000154e-01,0.000000000000000000e+00,4.912520000000000220e-01,0.000000000000000000e+00,3.493100000000001759e-02,0.000000000000000000e+00,-1.188430000000000042e-01,0.000000000000000000e+00
-3.349999999999999645e-01,0.000000000000000000e+00,3.349210000000000242e-01,0.000000000000000000e+00,5.012520000000000309e-01,0.000000000000000000e+00,4.493100000000002647e-02,0.000000000000000000e+00,-1.088429999999999953e-01,0.000000000000000000e+00
-3.249999999999999556e-01,0.000000000000000000e+00,3.449210000000000331e-01,0.000000000000000000e+00,5.112520000000000397e-01,0.000000000000000000e+00,5.493100000000002148e-02,0.000000000000000000e+00,-9.884300000000000030e-02,0.000000000000000000e+00
-3.150000000000000022e-01,0.000000000000000000e+00,3.549209999999999865e-01,0.000000000000000000e+00,5.212519999999999376e-01,0.000000000000000000e+00,6.493100000000001648e-02,0.000000000000000000e+00,-8.884300000000000530e-02,0.000000000000000000e+00
-3.049999999999999933e-01,0.000000000000000000e+00,3.649209999999999954e-01,0.000000000000000000e+00,5.312519999999999465e-01,0.000000000000000000e+00,7.493100000000002536e-02,0.000000000000000000e+00,-7.884299999999999642e-02,0.000000000000000000e+00
-2.950000000000000400e-01,0.000000000000000000e+00,3.749209999999999487e-01,0.000000000000000000e+00,5.412519999999999554e-01,0.000000000000000000e+00,8.493100000000002037e-02,0.000000000000000000e+00,-6.884300000000000141e-02,0.000000000000000000e+00
-2.850000000000000311e-01,0.000000000000000000e+00,3.849209999999999576e-01,0.000000000000000000e+00,5.512519999999999643e-01,0.000000000000000000e+00,9.493100000000001537e-02,0.000000000000000000e+00,-5.884300000000000641e-02,0.000000000000000000e+00
-2.750000000000000222e-01,0.000000000000000000e+00,3.949209999999999665e-01,0.000000000000000000e+00,5.612519999999999731e-01,0.000000000000000000e+00,1.049310000000000243e-01,0.000000000000000000e+00,-4.884299999999999753e-02,0.000000000000000000e+00
-2.650000000000000133e-01,0.000000000000000000e+00,4.049209999999999754e-01,0.000000000000000000e+00,5.712519999999999820e-01,0.000000000000000000e+00,1.149310000000000193e-01,0.000000000000000000e+00,-3.884300000000000253e-02,0.000000000000000000e+00
-2.550000000000000044e-01,0.000000000000000000e+00,4.149209999999999843e-01,0.000000000000000000e+00,5.812519999999999909e-01,0.000000000000000000e+00,1.249310000000000143e-01,0.000000000000000000e+00,-2.884300000000000752e-02,0.000000000000000000e+00
-2.449999999999999956e-01,0.000000000000000000e+00,4.249209999999999932e-01,0.000000000000000000e+00,5.912519999999999998e-01,0.000000000000000000e+00,1.349310000000000231e-01,0.000000000000000000e+00,-1.884299999999999864e-02,0.000000000000000000e+00
