# time,average_distance,95CLI,average_effective_velocity,95CLI
0.000000000000000000e+00,1.000000000000000167e-06,4.585655359953938515e-24,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,1.262500000000000011e-01,0.000000000000000000e+00,-3.659391304347826557e-01,0.000000000000000000e+00
6.899999999999999467e-01,2.205349999999999533e-01,1.202102038679765258e-18,-3.196144927536231362e-01,1.742176867651834031e-18
1.034999999999999920e+00,3.148330000000000295e-01,1.202102038679765258e-18,-3.041855072463768850e-01,1.161451245101222559e-18
1.379999999999999893e+00,2.762970000000000148e-01,0.000000000000000000e+00,-2.002144927536232411e-01,0.000000000000000000e+00
1.725000000000000089e+00,3.924320000000000586e-01,1.202102038679765258e-18,-2.274962318840580144e-01,6.968707470607334006e-19
2.069999999999999840e+00,4.001689999999999969e-01,0.000000000000000000e+00,-1.933178743961352919e-01,0.000000000000000000e+00
2.415000000000000036e+00,2.536209999999999298e-01,1.202102038679765258e-18,-1.050186335403726495e-01,4.977648193290953824e-19
2.757000000000000117e+00,1.654500000000000137e-01,0.000000000000000000e+00,-6.001051867972433812e-02,0.000000000000000000e+00
3.101999999999999869e+00,1.786409999999999665e-01,6.010510193398826290e-19,-5.758865248226949229e-02,1.937624175821672089e-19
3.447000000000000064e+00,2.110229999999999884e-01,0.000000000000000000e+00,-6.121903104148534308e-02,0.000000000000000000e+00
3.791999999999999815e+00,2.540420000000000456e-01,1.202102038679765258e-18,-6.699393459915614635e-02,3.170100312974064698e-19
4.136999999999999567e+00,3.007200000000000428e-01,1.202102038679765258e-18,-7.269011360889536533e-02,2.905733716895734417e-19
4.482000000000000206e+00,2.707590000000000274e-01,0.000000000000000000e+00,-6.041008478357876715e-02,0.000000000000000000e+00
4.826999999999999957e+00,4.071839999999999904e-01,0.000000000000000000e+00,-8.435529314273876311e-02,0.000000000000000000e+00
5.171999999999999709e+00,3.937609999999999166e-01,2.404204077359530516e-18,-7.613302397525134602e-02,4.648499762876123077e-19
5.517000000000000348e+00,2.844950000000000534e-01,1.202102038679765258e-18,-5.156679354721770137e-02,2.178905272212733577e-19
5.862000000000000099e+00,3.467399999999998816e-01,2.404204077359530516e-18,-5.915029000341178594e-02,4.101337559466957457e-19
6.206999999999999851e+00,2.955329999999999346e-01,1.202102038679765258e-18,-4.761269534396648379e-02,1.936687673078403788e-19
6.551999999999999602e+00,3.138519999999999088e-01,2.404204077359530516e-18,-4.790155677655676819e-02,3.669420142490126328e-19
6.897000000000000242e+00,2.286660000000000081e-01,0.000000000000000000e+00,-3.315426997245179280e-02,0.000000000000000000e+00
7.241999999999999993e+00,3.312730000000000397e-01,1.202102038679765258e-18,-4.574316487158244793e-02,1.659903395028673465e-19
7.583999999999999631e+00,3.551549999999999430e-01,1.202102038679765258e-18,-4.682937763713079793e-02,1.585050156487032349e-19
7.929000000000000270e+00,5.223430000000001128e-01,2.404204077359530516e-18,-6.587741203178207328e-02,3.032165566098537789e-19
8.273999999999999133e+00,5.458569999999999256e-01,2.404204077359530516e-18,-6.597244379985496565e-02,2.905733716895734417e-19
8.618999999999999773e+00,4.828400000000001580e-01,3.606306116039295196e-18,-5.602030397958002172e-02,4.184135185101862468e-19
8.964000000000000412e+00,2.861650000000000027e-01,0.000000000000000000e+00,-3.192369477911646825e-02,0.000000000000000000e+00
9.308999999999999275e+00,3.660899999999999155e-01,2.404204077359530516e-18,-3.932635084326994990e-02,2.582666320076840490e-19
9.653999999999999915e+00,4.768150000000001554e-01,3.606306116039295196e-18,-4.939030453697951240e-02,3.735556366313750978e-19
9.999000000000000554e+00,4.403779999999999917e-01,0.000000000000000000e+00,-4.404210421042104029e-02,0.000000000000000000e+00
