# time,average_distance,95CLI,average_effective_velocity,95CLI
0.000000000000000000e+00,1.880908947753906144e-02,5.153650163741299211e-09,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,4.488265347290038704e-02,3.099291733965956050e-04,-7.557554781264153032e-02,8.983454301350597779e-04
6.899999999999999467e-01,1.138200499877929789e-01,9.571592792305735203e-04,-1.376970442177593013e-01,1.387187361203729916e-03
1.034999999999999920e+00,2.215195374755859481e-01,1.856302033856109968e-03,-1.958555053121226186e-01,1.793528535126676440e-03
1.379999999999999893e+00,3.529933816223144172e-01,2.757730007444422586e-03,-2.421625305396923056e-01,1.998355077858277387e-03
1.725000000000000089e+00,4.858616564636230595e-01,3.409735372601568199e-03,-2.707551112962805484e-01,1.976658187015401923e-03
2.069999999999999840e+00,6.135196022644042735e-01,3.911627731167090401e-03,-2.872997646313358855e-01,1.889675232447869929e-03
2.415000000000000036e+00,7.401007667236328968e-01,4.344116753174816214e-03,-2.986715019652562697e-01,1.798806108975079194e-03
2.757000000000000117e+00,8.349763981628418597e-01,4.627994353154022376e-03,-2.960345697081258054e-01,1.678634150581799879e-03
3.101999999999999869e+00,9.241638911437988213e-01,4.898968300773336865e-03,-2.918616381902836565e-01,1.579293456084247902e-03
3.447000000000000064e+00,1.005116441253662174e+00,5.113624234786055822e-03,-2.861350019658030486e-01,1.483499923059488105e-03
3.791999999999999815e+00,1.067306699066162157e+00,5.308583440674715867e-03,-2.765025341742149978e-01,1.399942890473290097e-03
4.136999999999999567e+00,1.124554364227294823e+00,5.511422959862916776e-03,-2.672819131616523958e-01,1.332226966367637761e-03
4.482000000000000206e+00,1.174165891967773323e+00,5.684079912468206763e-03,-2.577770643664065719e-01,1.268201676141946952e-03
4.826999999999999957e+00,1.234880532348632709e+00,5.889852264768493696e-03,-2.519311048003094466e-01,1.220188992079654844e-03
5.171999999999999709e+00,1.294202339263915924e+00,6.116214402609047689e-03,-2.465957559525090714e-01,1.182562722855577762e-03
5.517000000000000348e+00,1.351764179199218763e+00,6.358714596962281376e-03,-2.416086803918215953e-01,1.152567445525155138e-03
5.862000000000000099e+00,1.406590531646728426e+00,6.586592202929270230e-03,-2.367419723932428222e-01,1.123608359421574649e-03
6.206999999999999851e+00,1.453955214263916051e+00,6.785808585695256995e-03,-2.312141332022518148e-01,1.093250940179677421e-03
6.551999999999999602e+00,1.505727359497070150e+00,6.993019953051273808e-03,-2.269411279028588635e-01,1.067310737645188337e-03
6.897000000000000242e+00,1.564486858093261823e+00,7.219636191936889755e-03,-2.241087093831699018e-01,1.046779207182382213e-03
7.241999999999999993e+00,1.618392617492675711e+00,7.443176958887616143e-03,-2.208759359313914317e-01,1.027779198962664418e-03
7.583999999999999631e+00,1.662317715332031431e+00,7.641152353782470347e-03,-2.167073610040206322e-01,1.007535911627435591e-03
7.929000000000000270e+00,1.703313106597900362e+00,7.819710171937244506e-03,-2.124484824215362999e-01,9.862164424186208814e-04
8.273999999999999133e+00,1.745964432250976639e+00,8.003400205070156093e-03,-2.087449048553828568e-01,9.672951661917038053e-04
8.618999999999999773e+00,1.786163753936767851e+00,8.169487829832519990e-03,-2.050533315302504878e-01,9.478463661483374708e-04
8.964000000000000412e+00,1.823937574707031217e+00,8.340161140204645218e-03,-2.013753330242628314e-01,9.304061959175194537e-04
9.308999999999999275e+00,1.859102170257568520e+00,8.485154374410573686e-03,-1.976896638500407755e-01,9.115000939317407331e-04
9.653999999999999915e+00,1.892968836547851641e+00,8.624253316088860075e-03,-1.941329756650417016e-01,8.933347126671701459e-04
9.999000000000000554e+00,1.924042288726806493e+00,8.782155936521349876e-03,-1.905423741623429590e-01,8.783034239945343435e-04
