# distance__t_0.0,pdf__t_0.0,distance__t_2.499,pdf__t_2.499,distance__t_4.998,pdf__t_4.998,distance__t_7.5,pdf__t_7.5,distance__t_9.999,pdf__t_9.999
1.880900500000000017e-02,9.916992185838571191e+07,6.463197999999999166e-02,1.727697760523332765e-02,1.287758150000000157e-01,2.506729747163777972e-02,1.543961549999999794e-01,1.144740707328286387e-02,2.946445649999999694e-01,3.996153053710548714e-02
1.880901499999999837e-02,0.000000000000000000e+00,9.289393999999999429e-02,3.455395521046664836e-02,1.677334450000000088e-01,2.506729747163776237e-02,1.970504650000000080e-01,3.434222121984858989e-02,3.435196949999999583e-01,1.998076526855274357e-02
1.880902500000000005e-02,0.000000000000000000e+00,1.211558999999999969e-01,1.727697760523332418e-02,2.066910750000000019e-01,2.506729747163777972e-02,2.397047750000000088e-01,2.289481414656571387e-02,3.923948250000000026e-01,5.994229580565815785e-02
1.880903500000000172e-02,0.000000000000000000e+00,1.494178600000000134e-01,3.455395521046664836e-02,2.456487050000000227e-01,1.253364873581889194e-01,2.823590850000000096e-01,2.289481414656574162e-02,4.412699549999999915e-01,6.993267843993460076e-02
1.880904499999999993e-02,0.000000000000000000e+00,1.776798199999999883e-01,8.638488802616670070e-02,2.846063349999999881e-01,3.760094620745664529e-02,3.250133949999999827e-01,8.013184951298009395e-02,4.901450849999999804e-01,3.996153053710552877e-02
1.880905499999999814e-02,0.000000000000000000e+00,2.059417799999999632e-01,1.382158208418665934e-01,3.235639650000000089e-01,5.013459494327560106e-02,3.676677050000000113e-01,3.434222121984856907e-02,5.390202149999999692e-01,3.996153053710539693e-02
1.880906499999999981e-02,0.000000000000000000e+00,2.342037399999999936e-01,5.183093281569996907e-02,3.625215949999999743e-01,8.773554115073230186e-02,4.103220149999999844e-01,6.868444243969713814e-02,5.878953449999999581e-01,5.994229580565822724e-02
1.880907500000000149e-02,0.000000000000000000e+00,2.624656999999999685e-01,1.036618656313999381e-01,4.014792249999999951e-01,1.128028386223697693e-01,4.529763250000000130e-01,9.157925658626296650e-02,6.367704750000000580e-01,6.993267843993460076e-02
1.880908499999999969e-02,0.000000000000000000e+00,2.907276599999999989e-01,1.727697760523330683e-01,4.404368550000000160e-01,1.253364873581890027e-01,4.956306349999999861e-01,9.157925658626296650e-02,6.856456049999999358e-01,1.698365047826983221e-01
1.880909499999999790e-02,0.000000000000000000e+00,3.189896199999999737e-01,1.900467536575667360e-01,4.793944849999999813e-01,2.256056772447402048e-01,5.382849450000000147e-01,8.013184951297988579e-02,7.345207350000000357e-01,5.994229580565822724e-02
1.880910499999999957e-02,0.000000000000000000e+00,3.472515800000000041e-01,2.073237312627996543e-01,5.183521150000000022e-01,1.629374335656452177e-01,5.809392550000000988e-01,1.946059202458088055e-01,7.833958649999999135e-01,1.498557395141455750e-01
1.880911500000000125e-02,0.000000000000000000e+00,3.755135400000000345e-01,3.282625744994334682e-01,5.573097449999999675e-01,1.002691898865512021e-01,6.235935649999999608e-01,1.259214778061115703e-01,8.322709950000000134e-01,8.991344370848713963e-02
1.880912499999999946e-02,0.000000000000000000e+00,4.037755000000000094e-01,2.418776864732662679e-01,5.962673750000000439e-01,1.754710823014646037e-01,6.662478750000000449e-01,2.060533273190916781e-01,8.811461250000001133e-01,1.498557395141455750e-01
1.880913499999999766e-02,0.000000000000000000e+00,4.320374599999999843e-01,3.109855968942001336e-01,6.352250049999998982e-01,2.506729747163780053e-01,7.089021850000000180e-01,1.488162919526769268e-01,9.300212549999999911e-01,1.398653568798692015e-01
1.880914499999999934e-02,0.000000000000000000e+00,4.602994200000000147e-01,2.937086192889661884e-01,6.741826349999999746e-01,2.256056772447395387e-01,7.515564949999999911e-01,1.831585131725259330e-01,9.788963850000000910e-01,2.597499484911856560e-01
1.880915500000000101e-02,0.000000000000000000e+00,4.885613799999999896e-01,5.701402609727013182e-01,7.131402650000000509e-01,3.509421646029292075e-01,7.942108050000000752e-01,3.090799909786375310e-01,1.027771514999999969e+00,1.998076526855278867e-01
