# distance,dispersion_effective_velocity
0.000000000000000000e+00,6.200000000000001066e-01
2.105263157894736725e-01,4.274778642270204987e-01
4.210526315789473450e-01,2.727875763719126434e-01
6.315789473684210176e-01,1.653908640227430560e-01
8.421052631578946901e-01,1.186630646542561340e-01
1.052631578947368363e+00,9.347440088995750962e-02
1.263157894736842035e+00,7.730109371392512863e-02
1.473684210526315708e+00,6.596645168372150536e-02
1.684210526315789380e+00,5.755995576134131930e-02
1.894736842105263053e+00,5.106835362117223553e-02
2.105263157894736725e+00,4.590049368511373018e-02
2.315789473684210620e+00,4.168705962117247310e-02
2.526315789473684070e+00,3.818498541358383847e-02
2.736842105263157521e+00,3.522756194814080644e-02
2.947368421052631415e+00,3.269654677780087226e-02
3.157894736842105310e+00,3.050569919446166622e-02
3.368421052631578760e+00,2.859061587926570169e-02
3.578947368421052211e+00,2.690221701991957204e-02
3.789473684210526105e+00,2.540243692300325762e-02
4.000000000000000000e+00,2.406129377248333867e-02
